visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Shinagawa-ku Higashigotanda,total_area_visitors,total_genre_visitors
2016-01-05,air_25e9888d30b386df,0,0,0,0,0,1,0,-0.557171322142023,-0.546023779787848,0.0,0.7241407038573475,-0.7755592351611673,1,12.0,1,1,-1.3842984317142464,-1.3842984317142464
2016-01-06,air_25e9888d30b386df,0,0,0,0,0,0,1,-0.8103510961667985,-1.0574419436440319,0.0,-1.347083215239005,-0.5330522488668118,1,28.0,1,1,-1.3223088629634732,-1.3223088629634732
2016-01-07,air_25e9888d30b386df,0,0,0,0,1,0,0,-0.8356690735692761,-0.8578641236025942,0.0,-0.16352669004108938,-0.848311331049474,1,6.0,1,1,-1.255418933046631,-1.2554189330466308
2016-01-08,air_25e9888d30b386df,1,0,0,0,0,0,0,-1.0761898588928127,-1.1073363986543914,0.0,0.798112986682217,-1.018066221455523,1,8.0,1,1,-0.9322401141443786,-0.9322401141443786
2016-01-09,air_25e9888d30b386df,0,0,1,0,0,0,0,-1.0128949153866187,-1.0200211023862624,0.0,0.847427841898797,-1.0544422693996762,1,13.0,1,1,-0.6828117307914651,-0.6828117307914651
2016-01-10,air_25e9888d30b386df,0,0,0,1,0,0,0,-0.9369409831791862,-0.8578641236025942,0.0,0.8967426971153767,-1.1029436666585473,1,14.0,1,1,-0.9589470824994548,-0.9589470824994547
2016-01-11,air_25e9888d30b386df,0,1,0,0,0,0,0,-1.0382128927890966,-1.1572308536647509,1.0,-0.533388104165438,-0.9331887762524985,1,2.0,1,1,-1.30858785169848,-1.30858785169848
2016-01-13,air_25e9888d30b386df,0,0,0,0,0,0,1,-1.392664576423782,-1.2570197636854696,0.0,0.798112986682217,-1.5030801940442342,1,21.0,1,1,-1.1635371611828367,-1.1635371611828367
2016-01-14,air_25e9888d30b386df,0,0,0,0,1,0,0,-1.1774617685027229,-1.044968329891442,0.0,0.8967426971153767,-1.3697013515823386,1,8.0,1,1,-1.074105569902077,-1.074105569902077
2016-01-15,air_25e9888d30b386df,1,0,0,0,0,0,0,-1.228097723307678,-1.1073363986543914,0.0,0.6501684210324776,-1.1514450639174185,1,21.0,1,1,-0.8075259224679219,-0.8075259224679218
2016-01-16,air_25e9888d30b386df,0,0,1,0,0,0,0,-1.114166824996529,-0.9950738748810826,0.0,0.8967426971153767,-1.175695762546854,1,17.0,1,1,-0.6651704305936166,-0.6651704305936166
2016-01-17,air_25e9888d30b386df,0,0,0,1,0,0,0,-1.2027797459052003,-1.394229514963958,0.0,-0.5827029593820178,-1.115069015973265,1,1.0,1,1,-1.2470883190643136,-1.2470883190643136
2016-01-19,air_25e9888d30b386df,0,0,0,0,0,1,0,-1.291392666813872,-1.394229514963958,0.0,0.8967426971153767,-1.284823906379314,1,15.0,1,1,-1.292416659850452,-1.292416659850452
2016-01-20,air_25e9888d30b386df,0,0,0,0,0,0,1,-1.4179825538262596,-1.3318614462010088,0.0,0.9214001247236665,-1.4788294954147985,1,11.0,1,1,-1.171867775165154,-1.171867775165154
2016-01-21,air_25e9888d30b386df,0,0,0,0,1,0,0,-1.2534157007101556,-1.2819669911906493,0.0,0.4775664277744484,-1.2726985570645963,1,25.0,1,1,-1.0542591071794973,-1.0542591071794973
2016-01-22,air_25e9888d30b386df,1,0,0,0,0,0,0,-1.2027797459052003,-1.1821780811699303,0.0,0.6501684210324776,-1.0301915707702407,1,45.0,1,1,-0.7570522024574109,-0.7570522024574108
2016-01-23,air_25e9888d30b386df,0,0,1,0,0,0,0,-1.443300531228737,-1.6686490175209348,0.0,-1.2977683600224252,-1.078692968029112,1,16.0,1,1,-0.6864870016660168,-0.6864870016660168
2016-01-24,air_25e9888d30b386df,0,0,0,1,0,0,0,-1.5192544634361698,-1.319387832448419,0.0,0.8720852695070869,-1.5394562419883875,1,4.0,1,1,-1.358081499475777,-1.358081499475777
2016-01-26,air_25e9888d30b386df,0,0,0,0,0,1,0,-1.4559595199299757,-1.2694933774380595,0.0,0.7734555590739272,-1.5515815913031052,1,3.0,1,1,-1.2154809895431684,-1.2154809895431682
