visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Ōsaka-fu Neyagawa-shi Honmachi,total_area_visitors,total_genre_visitors
2016-01-01,air_1f7f8fa557bc0d55,1,0,0,0,0,0,0,-1.0757595903505797,-0.9086551701366135,1.0,0.23886647185837984,-1.0801355478175263,1,6.0,1,1,-1.9929864042959673,-1.9929864042959673
2016-01-02,air_1f7f8fa557bc0d55,0,0,1,0,0,0,0,-0.9753617080556038,-0.7899735610930593,1.0,0.6776903638211106,-1.16806344089143,1,5.0,1,1,-1.8449980666258792,-1.844998066625879
2016-01-03,air_1f7f8fa557bc0d55,0,0,0,1,0,0,0,-0.6407021004056849,-0.4015610224050635,1.0,0.5954108840780986,-0.5635591760083412,1,1.0,1,1,-1.7102811027231593,-1.710281102723159
2016-01-04,air_1f7f8fa557bc0d55,0,1,0,0,0,0,0,-0.5960808193856956,-0.4986641570770626,0.0,0.5405578975827572,-0.7394149621561489,1,3.0,1,1,-1.515216948670708,-1.5152169486707079
2016-01-05,air_1f7f8fa557bc0d55,0,0,0,0,0,1,0,-0.7634106232106551,-0.9086551701366135,0.0,-0.8307667648007766,-0.7504059487903869,1,2.0,1,1,-1.3867600667337279,-1.3867600667337279
2016-01-06,air_1f7f8fa557bc0d55,0,0,0,0,0,0,1,-0.7076340219356686,-0.768395086721504,0.0,-0.5290753390763991,-0.5635591760083412,1,2.0,1,1,-1.3234080372404415,-1.3234080372404413
2016-01-07,air_1f7f8fa557bc0d55,0,0,0,0,1,0,0,-0.8861191460156255,-0.9841798304370573,0.0,-1.1598846837728247,-0.7174329888876729,1,4.0,1,1,-1.255047942174563,-1.255047942174563
2016-01-08,air_1f7f8fa557bc0d55,1,0,0,0,0,0,0,-0.9753617080556038,-1.0381260163659456,0.0,-0.4742223525810578,-1.0251806146463365,1,8.0,1,1,-0.9247660176621327,-0.9247660176621326
2016-01-09,air_1f7f8fa557bc0d55,0,0,1,0,0,0,0,-1.0311383093305904,-0.9949690676228349,0.0,0.8422493233071345,-1.0031986413778604,1,3.0,1,1,-0.6698554800172093,-0.6698554800172092
2016-01-10,air_1f7f8fa557bc0d55,0,0,0,1,0,0,0,-0.9976723485655984,-0.9302336445081689,0.0,0.34857244484906263,-1.0361716012805744,1,5.0,1,1,-0.9520599750327582,-0.9520599750327581
2016-01-11,air_1f7f8fa557bc0d55,0,1,0,0,0,0,0,-0.9753617080556038,-0.8870766957650582,1.0,0.21143997861070926,-1.0251806146463365,1,7.0,1,1,-1.3093854536371843,-1.3093854536371843
2016-01-12,air_1f7f8fa557bc0d55,0,0,0,0,0,1,0,-0.9976723485655984,-1.1028614394806113,0.0,-0.14510443360900976,-1.0361716012805744,1,5.0,1,1,-1.3624709487066575,-1.3624709487066575
2016-01-13,air_1f7f8fa557bc0d55,0,0,0,0,0,0,1,-1.2207787536655443,-1.0920722022948337,0.0,-0.22738391335202174,-1.146081467622954,1,11.0,1,1,-1.1611467126884665,-1.1611467126884665
2016-01-16,air_1f7f8fa557bc0d55,0,0,1,0,0,0,0,-1.2542447144305364,-0.9518121188797242,0.0,0.2937194583537212,-1.288964293868048,1,6.0,1,1,-0.6518264439558787,-0.6518264439558786
2016-01-17,air_1f7f8fa557bc0d55,0,0,0,1,0,0,0,-1.131536191625566,-1.178386099781055,0.0,-0.36451637959037514,-1.16806344089143,1,4.0,1,1,-1.246534230701157,-1.2465342307011569
2016-01-18,air_1f7f8fa557bc0d55,0,1,0,0,0,0,0,-0.7968765839756471,-1.0704937279232785,0.0,-1.4067231230018609,-0.7394149621561489,1,3.0,1,1,-1.5259842896517803,-1.5259842896517803
2016-01-19,air_1f7f8fa557bc0d55,0,0,0,0,0,1,0,-1.4773511195304823,-1.556009401283273,0.0,-0.14510443360900976,-1.255991333965334,1,1.0,1,1,-1.2928588372476313,-1.2928588372476313
2016-01-20,air_1f7f8fa557bc0d55,0,0,0,0,0,0,1,-1.354642596725512,-1.4157493178681635,0.0,-0.5839283255717406,-1.2669823205995718,1,3.0,1,1,-1.1696604241618727,-1.1696604241618724
2016-01-21,air_1f7f8fa557bc0d55,0,0,0,0,1,0,0,-1.2319340739205418,-1.2970677088246092,0.0,-0.3096633930950337,-1.157072454257192,1,5.0,1,1,-1.0494668504196691,-1.049466850419669
2016-01-22,air_1f7f8fa557bc0d55,1,0,0,0,0,0,0,-1.243089394175539,-1.210753811338388,0.0,0.18401348536303844,-1.1131085077202403,1,1.0,1,1,-0.7457276734419753,-0.7457276734419752
2016-01-23,air_1f7f8fa557bc0d55,0,0,1,0,0,0,0,-1.3100213157055227,-1.4804847409828295,0.0,-1.242164163515837,-1.2230183740626202,1,6.0,1,1,-0.6736115291966531,-0.673611529196653
2016-01-25,air_1f7f8fa557bc0d55,0,1,0,0,0,0,0,-1.6223702828454474,-1.4265385550539411,0.0,0.65026387057344,-1.6626578394321392,1,3.0,1,1,-1.384256033947432,-1.384256033947432
