visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Karaoke/Party,Hokkaidō Sapporo-shi Minami 3 Jōnishi,total_area_visitors,total_genre_visitors
2016-07-01,air_c8fe396d6c46275d,1,0,0,0,0,0,0,1.1788742517264592,1.2010384189804084,0.0,1.9001323944493023,1.1112660313565146,1,19.0,1,1,1.3757394860460492,1.3757394860460495
2016-07-02,air_c8fe396d6c46275d,0,0,1,0,0,0,0,1.0231385738174215,0.9349405240784203,0.0,-1.1575838753261611,1.157526131506869,1,31.0,1,1,1.529174591471733,1.529174591471733
2016-07-03,air_c8fe396d6c46275d,0,0,0,1,0,0,0,1.0964259516569685,1.1323679944895728,0.0,0.22753546055503182,0.9909897709655933,1,23.0,1,1,-0.38656180856808287,-0.3865618085680828
2016-07-05,air_c8fe396d6c46275d,0,0,0,0,0,1,0,0.7757936736089501,0.892021508771648,0.0,1.4558488338836368,0.6949251300033247,1,10.0,1,1,-0.4875059568744537,-0.48750595687445364
2016-07-06,air_c8fe396d6c46275d,0,0,0,0,0,0,1,0.6933453735394598,0.6688426291764319,0.0,0.8808936378574813,0.8059493703641755,1,7.0,1,1,-0.04408584358683204,-0.04408584358683197
2016-07-07,air_c8fe396d6c46275d,0,0,0,0,1,0,0,0.8582419736784408,1.0121947516306102,0.0,2.266012973738674,0.7781933102739627,1,19.0,1,1,-0.10869009850290937,-0.1086900985029093
2016-07-08,air_c8fe396d6c46275d,1,0,0,0,0,0,0,0.9406902737479311,0.9521081302011292,0.0,2.0046697028176945,0.7874453303040337,1,22.0,1,1,1.1767877464749474,1.1767877464749477
2016-07-09,air_c8fe396d6c46275d,0,0,1,0,0,0,0,1.0689431849671382,1.003610948569256,0.0,0.5411473856602076,0.9632337108753805,1,26.0,1,1,1.4700763810087305,1.4700763810087305
2016-07-10,air_c8fe396d6c46275d,0,0,0,1,0,0,0,0.8399201292185537,0.6774264322377865,0.0,-1.1575838753261611,0.9724857309054512,1,43.0,1,1,-0.2316584246215793,-0.23165842462157923
2016-07-11,air_c8fe396d6c46275d,0,1,0,0,0,0,0,0.7849545958388936,0.7890158720353946,0.0,0.8547593107653834,0.8799655306047426,1,1.0,1,1,-1.179799279441055,-1.179799279441055
2016-07-12,air_c8fe396d6c46275d,0,0,0,0,0,1,0,0.9498511959778746,0.9606919332624837,0.0,2.135341338278184,0.9539816908453095,1,19.0,1,1,-0.4728231716662543,-0.47282317166625426
2016-07-13,air_c8fe396d6c46275d,0,0,0,0,0,0,1,1.151391485036629,1.321211661839371,0.0,1.4819831609757348,1.157526131506869,1,4.0,1,1,-0.40197873303669224,-0.4019787330366922
2016-07-14,air_c8fe396d6c46275d,0,0,0,0,1,0,0,1.0964259516569685,1.158119403673636,0.0,0.6456846940285996,1.1390220914467273,1,6.0,1,1,-0.190546626038621,-0.1905466260386209
2016-07-15,air_c8fe396d6c46275d,1,0,0,0,0,0,0,1.1330696405767422,1.192454615919054,0.0,1.116102581686363,1.157526131506869,1,14.0,1,1,0.969026335778926,0.9690263357789262
2016-07-16,air_c8fe396d6c46275d,0,0,1,0,0,0,0,1.1605524072665723,1.209622222041763,0.0,1.220639890054755,1.2130382516872944,1,28.0,1,1,1.4124464490665478,1.4124464490665478
2016-07-17,air_c8fe396d6c46275d,0,0,0,1,0,0,0,0.9956558071275915,0.7718482659126854,0.0,-1.053046566957769,1.1482741114767983,1,11.0,1,1,0.5057844624602352,0.5057844624602353
2016-07-18,air_c8fe396d6c46275d,0,1,0,0,0,0,0,1.1697133294965156,1.0894489791828006,1.0,-0.7394346418525933,1.1945342116271527,1,30.0,1,1,-0.988923071734463,-0.9889230717344629
2016-07-19,air_c8fe396d6c46275d,0,0,0,0,0,1,0,0.9773339626677046,0.7289292506059131,0.0,-1.1314495482340632,1.1390220914467273,1,2.0,1,1,-0.8171344847985301,-0.81713448479853
2016-07-20,air_c8fe396d6c46275d,0,0,0,0,0,0,1,1.0597822627371951,1.0379461608146738,0.0,0.8547593107653834,1.1112660313565146,1,11.0,1,1,-0.3458170796153296,-0.3458170796153295
2016-07-21,air_c8fe396d6c46275d,0,0,0,0,1,0,0,1.0964259516569685,1.2611250404098897,0.0,0.7502220023969914,1.0742579512362311,1,12.0,1,1,-0.1296130674245935,-0.12961306742459344
2016-07-22,air_c8fe396d6c46275d,1,0,0,0,0,0,0,1.0506213405072518,1.080865176121446,0.0,1.116102581686363,1.083509971266302,1,12.0,1,1,1.0314281729137735,1.0314281729137735
2016-07-23,air_c8fe396d6c46275d,0,0,1,0,0,0,0,1.0506213405072518,1.2010384189804084,0.0,2.213744319554478,1.0187458310558055,1,17.0,1,1,1.3408678711765758,1.3408678711765758
