visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Western food,Tōkyō-to Suginami-ku Asagayaminami,total_area_visitors,total_genre_visitors
2016-01-01,air_79f528087f49df06,1,0,0,0,0,0,0,-0.9426806312899066,-0.9272683111990216,1.0,0.924429731948595,-0.9641735586586904,1,42.0,1,1,-2.0124723482753386,-2.0124723482753386
2016-01-02,air_79f528087f49df06,0,0,1,0,0,0,0,-1.0274294227840384,-0.7588183142693835,1.0,0.17108848770391893,-1.123809299096154,1,41.0,1,1,-1.8649434915877134,-1.8649434915877134
2016-01-03,air_79f528087f49df06,0,0,0,1,0,0,0,-0.7973969887285379,-0.3617576072209502,1.0,0.5979818594425688,-1.0781990875425929,1,61.0,1,1,-1.730644803097117,-1.730644803097117
2016-01-08,air_79f528087f49df06,1,0,0,0,0,0,0,-1.1242851844916175,-1.1438468786799854,0.0,0.8993183571404393,-1.043991428877422,1,20.0,1,1,-0.9475686213220236,-0.9475686213220236
2016-01-09,air_79f528087f49df06,0,0,1,0,0,0,0,-1.100071244064723,-1.0475897375773346,0.0,0.8993183571404393,-1.2150297222032755,1,54.0,1,1,-0.6934495416130515,-0.6934495416130515
2016-01-10,air_79f528087f49df06,0,0,0,1,0,0,0,-0.9668945717168014,-0.7588183142693835,0.0,0.924429731948595,-1.1922246164264951,1,65.0,1,1,-0.9747778351611964,-0.9747778351611964
2016-01-11,air_79f528087f49df06,0,1,0,0,0,0,0,-1.0032154823571435,-1.1558790213178165,1.0,-0.406473132883666,-0.9299658999935195,1,57.0,1,1,-1.3309938732208262,-1.3309938732208262
2016-01-13,air_79f528087f49df06,0,0,0,0,0,0,1,-1.4027454994009076,-1.3002647329717925,0.0,0.8239842327159714,-1.4316782270826902,1,22.0,1,1,-1.1832153907181626,-1.1832153907181626
2016-01-14,air_79f528087f49df06,0,0,0,0,1,0,0,-1.2090339759857494,-0.9633647391125156,0.0,0.8993183571404393,-1.363262909752349,1,24.0,1,1,-1.0921019682291895,-1.0921019682291895
2016-01-15,air_79f528087f49df06,1,0,0,0,0,0,0,-1.1484991249185124,-1.1558790213178165,0.0,0.3719794861691661,-0.998381217323861,1,18.0,1,1,-0.8205090814675375,-0.8205090814675375
2016-01-16,air_79f528087f49df06,0,0,1,0,0,0,0,-1.0274294227840384,-1.0596218802151662,0.0,0.7988728579078157,-1.043991428877422,1,57.0,1,1,-0.6754764829302952,-0.6754764829302952
2016-01-17,air_79f528087f49df06,0,0,0,1,0,0,0,-1.1606060951319597,-1.3965218740744427,0.0,-0.3311390084591984,-1.0097837702122514,1,59.0,1,1,-1.2683377936462172,-1.2683377936462172
2016-01-19,air_79f528087f49df06,0,0,0,0,0,1,0,-1.3179967079067758,-1.408554016712274,0.0,0.974652481564907,-1.2264322750916659,1,32.0,1,1,-1.3145185694282995,-1.3145185694282995
2016-01-20,air_79f528087f49df06,0,0,0,0,0,0,1,-1.4390664100412496,-1.408554016712274,0.0,0.974652481564907,-1.3974705684175195,1,20.0,1,1,-1.1917026684294643,-1.1917026684294643
2016-01-21,air_79f528087f49df06,0,0,0,0,1,0,0,-1.2695688270529863,-1.3122968756096236,0.0,0.6733159838670363,-1.4202756741943001,1,11.0,1,1,-1.0718822772110885,-1.0718822772110885
