visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Chūō-ku Ginza,total_area_visitors,total_genre_visitors
2016-07-01,air_3d3a2b509180e798,1,0,0,0,0,0,0,1.0969790853938068,1.1748832545445969,0.0,-0.18207907032866522,1.0396835907489481,1,23.0,1,1,1.287161747033467,1.2871617470334675
2016-07-02,air_3d3a2b509180e798,0,0,1,0,0,0,0,1.258337395661333,1.3136018647605305,0.0,0.48613212294158537,1.1935248560145524,1,31.0,1,1,1.4420703098660035,1.442070309866004
2016-07-04,air_3d3a2b509180e798,0,1,0,0,0,0,0,1.3505421443856338,1.5447995484537531,0.0,0.5395890184032053,1.2155021796239247,1,9.0,1,1,-1.2436291036445022,-1.2436291036445017
2016-07-05,air_3d3a2b509180e798,0,0,0,0,0,1,0,0.6474809353628402,0.5968890453115393,0.0,-1.3581307704843062,0.8418876782645996,1,5.0,1,1,-0.5939766858324536,-0.5939766858324531
2016-07-06,air_3d3a2b509180e798,0,0,0,0,0,0,1,0.8088392456303668,0.7471675397121339,0.0,-0.2622644135210955,0.8748536636786578,1,13.0,1,1,-0.14629835113938186,-0.14629835113938133
2016-07-07,air_3d3a2b509180e798,0,0,0,0,1,0,0,1.304439770023483,1.880036189808927,0.0,2.0631105390593767,1.028694928944262,1,15.0,1,1,-0.21152300917413402,-0.2115230091741335
2016-07-08,air_3d3a2b509180e798,1,0,0,0,0,0,0,1.062402304622194,1.0824041810673075,0.0,-0.7968333681372958,1.0506722525536343,1,13.0,1,1,1.0862994478582644,1.0862994478582648
2016-07-09,air_3d3a2b509180e798,0,0,1,0,0,0,0,0.7281600904966034,0.5159698560189109,0.0,-1.3581307704843062,0.8528763400692858,1,12.0,1,1,1.3824045715501223,1.3824045715501228
2016-07-11,air_3d3a2b509180e798,0,1,0,0,0,0,0,1.373593331566709,1.51011989589977,0.0,1.9829251958669465,1.0726495761630064,1,10.0,1,1,-1.292918191818491,-1.2929181918184907
2016-07-12,air_3d3a2b509180e798,0,0,0,0,0,1,0,1.2698629892518707,1.3136018647605305,0.0,0.32576143655672507,1.325388797670785,1,20.0,1,1,-0.5791528999154645,-0.5791528999154639
2016-07-13,air_3d3a2b509180e798,0,0,0,0,0,0,1,1.0393511174411187,0.8280867290047623,0.0,-1.3581307704843062,1.2045135178192385,1,10.0,1,1,-0.507628132865992,-0.5076281328659914
