visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Western food,Tōkyō-to Chūō-ku Tsukiji,total_area_visitors,total_genre_visitors
2016-07-01,air_bedd35489e666605,1,0,0,0,0,0,0,1.0556854044959552,1.1347413046154944,0.0,-0.14589386350638855,0.9946124870957734,1,55.0,1,1,1.3413055097145656,1.3413055097145652
2016-07-02,air_bedd35489e666605,0,0,1,0,0,0,0,1.2177706690229964,1.2740002863358857,0.0,0.5139771212997346,1.1486827028112587,1,20.0,1,1,1.4962775476403816,1.4962775476403811
2016-07-04,air_bedd35489e666605,0,1,0,0,0,0,0,1.310390820181306,1.5060985892032042,0.0,0.5667668000842243,1.1706927336277568,1,34.0,1,1,-1.1905223539107885,-1.1905223539107892
2016-07-05,air_bedd35489e666605,0,0,0,0,0,1,0,0.6041621675991966,0.5544955474471972,0.0,-1.3072667967651654,0.7965222097472922,1,55.0,1,1,-0.5406037355281197,-0.5406037355281204
2016-07-06,air_bedd35489e666605,0,0,0,0,0,0,1,0.7662474321262382,0.7053594443109542,0.0,-0.22507838168312352,0.8295372559720391,1,50.0,1,1,-0.09274196085255551,-0.09274196085255611
2016-07-07,air_bedd35489e666605,0,0,0,0,1,0,0,1.264080744602151,1.8426411283608173,0.0,2.0712726454421855,0.9836074716875243,1,52.0,1,1,-0.1579933452423728,-0.1579933452423734
2016-07-08,air_bedd35489e666605,1,0,0,0,0,0,0,1.020952847811589,1.0419019834685668,0.0,-0.7529751695280219,1.0056175025040226,1,61.0,1,1,1.1403609055141055,1.140360905514105
2016-07-09,air_bedd35489e666605,0,0,1,0,0,0,0,0.6852047998627172,0.4732611414436353,0.0,-1.3072667967651654,0.8075272251555413,1,34.0,1,1,1.4365873607837873,1.436587360783787
2016-07-11,air_bedd35489e666605,0,1,0,0,0,0,0,1.3335458579708832,1.4712838437731066,0.0,1.9920881272654505,1.0276275333205205,1,43.0,1,1,-1.2398316387053665,-1.2398316387053672
2016-07-12,air_bedd35489e666605,0,0,0,0,0,1,0,1.2293481879177852,1.2740002863358857,0.0,0.35560808494626495,1.2807428877102465,1,43.0,1,1,-0.5257738754395248,-0.5257738754395255
2016-07-13,air_bedd35489e666605,0,0,0,0,0,0,1,0.9977978100220117,0.7865938503145161,0.0,-1.3072667967651654,1.1596877182195078,1,39.0,1,1,-0.45421980051205474,-0.45421980051205535
2016-07-14,air_bedd35489e666605,0,0,0,0,1,0,0,1.0904179611803209,1.4016543529129109,0.0,-0.2778680604676133,0.9175773792380308,1,47.0,1,1,-0.24066981523628905,-0.24066981523628964
