visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Koganei-shi Honchō,total_area_visitors,total_genre_visitors
2016-01-04,air_23ee674e91469086,0,1,0,0,0,0,0,-0.7829863877611689,-0.4345319788643029,0.0,0.913391610766879,-0.9922108177242072,1,17.0,1,1,-1.5038739195887907,-1.5038739195887907
2016-01-05,air_23ee674e91469086,0,0,0,0,0,1,0,-0.6732719588541014,-0.47115486045969096,0.0,0.7643505280866906,-0.9028052661697058,1,24.0,1,1,-1.3725664685443992,-1.3725664685443995
2016-01-06,air_23ee674e91469086,0,0,0,0,0,0,1,-0.8317483561643101,-1.093743847581287,0.0,-1.2973844489892512,-0.6345886115062022,1,12.0,1,1,-1.3078086028246507,-1.307808602824651
2016-01-07,air_23ee674e91469086,0,0,0,0,1,0,0,-0.880510324567451,-0.8495913036120337,0.0,0.019145114685747814,-0.9139809601140186,1,15.0,1,1,-1.2379315382337759,-1.2379315382337759
2016-01-08,air_23ee674e91469086,1,0,0,0,0,0,0,-1.1365106586839417,-1.1181591019782127,0.0,0.913391610766879,-1.1374948390002717,1,18.0,1,1,-0.9003203726829919,-0.900320372682992
2016-01-09,air_23ee674e91469086,0,0,1,0,0,0,0,-1.1243201665831566,-1.0327057115889737,0.0,0.863711249873483,-1.1821976147775222,1,31.0,1,1,-0.6397531501426599,-0.63975315014266
2016-01-10,air_23ee674e91469086,0,0,0,1,0,0,0,-1.014605737676089,-0.7763455404212578,0.0,0.938231791213577,-1.1263191450559589,1,35.0,1,1,-0.9282200065306306,-0.9282200065306307
2016-01-11,air_23ee674e91469086,0,1,0,0,0,0,0,-1.0755581981800155,-1.1547819835736006,1.0,-0.2540968702279313,-1.1710219208332096,1,32.0,1,1,-1.293474845985497,-1.293474845985497
2016-01-12,air_23ee674e91469086,0,0,0,0,0,1,0,-1.4534634533043589,-1.7285404619013462,0.0,-1.3222246294359492,-1.2716031663320235,1,12.0,1,1,-1.3477383540194363,-1.3477383540194365
2016-01-13,air_23ee674e91469086,0,0,0,0,0,0,1,-1.3925109928004324,-1.2646506283597647,0.0,0.938231791213577,-1.5174684331069022,1,11.0,1,1,-1.1419465594001565,-1.1419465594001565
2016-01-14,air_23ee674e91469086,0,0,0,0,1,0,0,-1.2218441033894387,-1.0082904571920486,0.0,0.963071971660275,-1.4392385754967134,1,19.0,1,1,-1.0485211800021004,-1.0485211800021004
2016-01-15,air_23ee674e91469086,1,0,0,0,0,0,0,-1.0877486902808007,-1.1181591019782127,0.0,0.06882547557914383,-0.8581024903924552,1,31.0,1,1,-0.770036761412826,-0.770036761412826
2016-01-16,air_23ee674e91469086,0,0,1,0,0,0,0,-1.002415245575304,-0.9960828299935859,0.0,0.863711249873483,-1.0816163692787084,1,36.0,1,1,-0.621324034206605,-0.621324034206605
2016-01-17,air_23ee674e91469086,0,0,0,1,0,0,0,-1.1487011507847271,-1.398934527542854,0.0,-0.3534575920147237,-0.9363323480026439,1,32.0,1,1,-1.2292289001528611,-1.2292289001528611
2016-01-18,air_23ee674e91469086,0,1,0,0,0,0,0,-1.514415913808285,-1.4843879179320927,0.0,-1.0986630054156663,-1.1821976147775222,1,12.0,1,1,-1.5148801971617123,-1.5148801971617123
2016-01-19,air_23ee674e91469086,0,0,0,0,0,1,0,-1.282796563893365,-1.4843879179320927,0.0,0.9879121521069735,-1.159846226888897,1,16.0,1,1,-1.27658148971078,-1.2765814897107801
2016-01-20,air_23ee674e91469086,0,0,0,0,0,0,1,-1.368130008598862,-1.3012735099551527,0.0,0.913391610766879,-1.3051302481649616,1,17.0,1,1,-1.1506491974810713,-1.1506491974810713
2016-01-21,air_23ee674e91469086,0,0,0,0,1,0,0,-1.3071775480949357,-1.3012735099551527,0.0,0.6401496258532001,-1.4057114936637756,1,22.0,1,1,-1.0277884245740385,-1.0277884245740385
2016-01-22,air_23ee674e91469086,1,0,0,0,0,0,0,-1.2462250875910093,-1.215820119565914,0.0,0.913391610766879,-1.1821976147775222,1,23.0,1,1,-0.7173090130402243,-0.7173090130402244
2016-01-23,air_23ee674e91469086,0,0,1,0,0,0,0,-1.3559395164980765,-1.65529469871057,0.0,-1.1980237272024588,-1.0257378995571451,1,41.0,1,1,-0.6435925492960046,-0.6435925492960047
