visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Shibuya-ku Jingūmae,total_area_visitors,total_genre_visitors
2016-07-01,air_0e7c11b9abc50163,1,0,0,0,0,0,0,1.158395142043601,1.2235154894244413,0.0,-0.2646293525894806,1.113409835284792,1,14.0,1,1,1.2971389747690825,1.2971389747690818
2016-07-02,air_0e7c11b9abc50163,0,0,1,0,0,0,0,1.320323452642351,1.3623151956433972,0.0,0.4025985022301503,1.2685858516984994,1,19.0,1,1,1.4646986239492952,1.4646986239492947
2016-07-03,air_0e7c11b9abc50163,0,0,0,1,0,0,0,1.5747822264403868,1.7787143143002648,0.0,0.5894223015796468,1.4015938657673914,1,17.0,1,1,-0.627391828374942,-0.6273918283749422
2016-07-05,air_0e7c11b9abc50163,0,0,0,0,0,1,0,0.7073091339470826,0.6451833801787915,0.0,-1.438950377072031,0.9138978141814542,1,15.0,1,1,-0.7376284396777136,-0.7376284396777139
2016-07-06,air_0e7c11b9abc50163,0,0,0,0,0,0,1,0.869237444545833,0.7955497285826602,0.0,-0.3446966951678365,0.9471498176986772,1,15.0,1,1,-0.25338907075499306,-0.2533890707549934
2016-07-07,air_0e7c11b9abc50163,0,0,0,0,1,0,0,1.3665886842419936,1.9290806627041344,0.0,1.9772562396044795,1.1023258341123843,1,30.0,1,1,-0.3239405019887669,-0.3239405019887672
2016-07-10,air_0e7c11b9abc50163,0,0,0,1,0,0,0,1.158395142043601,1.3044819847188323,0.0,1.6836759834838415,0.9138978141814542,1,31.0,1,1,-0.45822873757577964,-0.4582287375757799
2016-07-13,air_0e7c11b9abc50163,0,0,0,0,0,0,1,1.1005636025440475,0.8765162238770515,0.0,-1.438950377072031,1.2796698528709072,1,11.0,1,1,-0.6442279653739107,-0.644227965373911
2016-07-26,air_0e7c11b9abc50163,0,0,0,0,0,1,0,0.9502015998452079,0.8533829395072251,0.0,-1.412261262879246,1.046905828250346,1,229.0,1,1,-0.5572412575459055,-0.5572412575459057
2016-07-30,air_0e7c11b9abc50163,0,0,1,0,0,0,0,1.3434560684421724,1.48954825967744,0.0,1.4434739557487746,1.1244938364572,1,27.0,1,1,1.3115699493396271,1.3115699493396265
2016-07-31,air_0e7c11b9abc50163,0,0,0,1,0,0,0,1.3781549921419045,1.2466487737942673,0.0,0.4025985022301503,1.3794258634225758,1,22.0,1,1,-0.6029393436859635,-0.6029393436859638
2016-08-02,air_0e7c11b9abc50163,0,0,0,0,0,1,0,1.1930940657433329,1.084715783205485,0.0,-0.9852354357946821,1.1688298411468305,1,17.0,1,1,-1.0170281417796476,-1.0170281417796478
2016-08-03,air_0e7c11b9abc50163,0,0,0,0,0,0,1,1.2971908368425296,1.3854484800132232,0.0,-0.3446966951678365,1.2685858516984994,1,18.0,1,1,-0.5339913540711391,-0.5339913540711394
2016-08-04,air_0e7c11b9abc50163,0,0,0,0,1,0,0,1.447552839541369,1.501114901862353,0.0,0.829624329314714,1.3794258634225758,1,24.0,1,1,-0.39729795605570223,-0.3972979560557025
2016-08-05,air_0e7c11b9abc50163,1,0,0,0,0,0,0,1.5169506869408331,1.547381470602005,0.0,1.4434739557487746,1.4015938657673914,1,29.0,1,1,0.7367361289462651,0.7367361289462646
2016-08-06,air_0e7c11b9abc50163,0,0,1,0,0,0,0,1.5632159185404764,1.6399146080813094,0.0,0.9096916718930699,1.5346018798362833,1,32.0,1,1,0.4753751450575119,0.47537514505751144
2016-08-07,air_0e7c11b9abc50163,0,0,0,1,0,0,0,1.5053843790409227,1.5705147549718312,0.0,1.5502304125199151,1.3905098645949836,1,27.0,1,1,-0.8157962186014971,-0.8157962186014974
2016-08-09,air_0e7c11b9abc50163,0,0,0,0,0,1,0,1.8870725397379762,2.0447470845532645,0.0,0.722867872543573,1.5235178786638754,1,15.0,1,1,-0.4798751994315966,-0.4798751994315969
2016-08-10,air_0e7c11b9abc50163,0,0,0,0,0,0,1,1.5632159185404764,1.6167813237114832,0.0,-0.13118378162555444,1.5567698821810987,1,29.0,1,1,0.6036504745734643,0.6036504745734639
2016-08-11,air_0e7c11b9abc50163,0,0,0,0,1,0,0,1.3550223763420832,1.3970151221981364,1.0,-0.13118378162555444,1.4680978728018372,1,38.0,1,1,0.2685311762130385,0.2685311762130381
2016-08-12,air_0e7c11b9abc50163,1,0,0,0,0,0,0,1.2856245289426187,1.37388183782831,0.0,0.028950903531156886,1.3572578610777606,1,29.0,1,1,-0.1984711953059759,-0.19847119530597623
2016-08-13,air_0e7c11b9abc50163,0,0,1,0,0,0,0,1.2624919131427974,1.3623151956433972,1.0,0.48266584480850594,1.2575018505260918,1,40.0,1,1,-0.019286594388379805,-0.019286594388380155
2016-08-14,air_0e7c11b9abc50163,0,0,0,1,0,0,0,1.2046603736432437,1.2003822050546151,1.0,-0.4247640377461922,1.2796698528709072,1,16.0,1,1,-1.1380879840103277,-1.138087984010328
2016-08-16,air_0e7c11b9abc50163,0,0,0,0,0,1,0,1.30875714474244,1.5126815440472663,0.0,-0.8784789790235411,1.3018378552157224,1,11.0,1,1,-1.578633568816677,-1.578633568816677
2016-08-17,air_0e7c11b9abc50163,0,0,0,0,0,0,1,1.5169506869408331,1.6514812502662217,0.0,1.2299610422064926,1.2242498470088687,1,12.0,1,1,-1.0362694412070403,-1.0362694412070406
2016-08-18,air_0e7c11b9abc50163,0,0,0,0,1,0,0,1.30875714474244,1.3391819112735714,0.0,-1.1453701209513936,1.4680978728018372,1,19.0,1,1,-0.7388310208919256,-0.7388310208919259
2016-08-19,air_0e7c11b9abc50163,1,0,0,0,0,0,0,1.3897213000418154,1.420148406567962,0.0,0.4025985022301503,1.445929870457022,1,10.0,1,1,0.6970509488772673,0.6970509488772668
2016-08-20,air_0e7c11b9abc50163,0,0,1,0,0,0,0,1.1699614499435116,1.1541156363149632,0.0,-1.0119245499874674,1.3461738599053532,1,16.0,1,1,0.5703790609802641,0.5703790609802637
2016-08-21,air_0e7c11b9abc50163,0,0,0,1,0,0,0,1.4244202237415473,1.5589481127869182,0.0,0.6694896441580027,1.2796698528709072,1,19.0,1,1,-1.023041047850708,-1.0230410478507082
2016-08-23,air_0e7c11b9abc50163,0,0,0,0,0,1,0,1.2971908368425296,1.2003822050546151,0.0,-0.9852354357946821,1.3572578610777606,1,23.0,1,1,-0.8085807313162248,-0.8085807313162251
2016-08-24,air_0e7c11b9abc50163,0,0,0,0,0,0,1,1.2624919131427974,1.292915342533919,0.0,-0.9318572074091117,1.2796698528709072,1,13.0,1,1,-0.6037410644954382,-0.6037410644954385
2016-08-25,air_0e7c11b9abc50163,0,0,0,0,1,0,0,1.4359865316414582,1.4664149753076146,0.0,1.7370542118694121,1.2796698528709072,1,15.0,1,1,-0.4642416436468399,-0.46424164364684023
2016-08-26,air_0e7c11b9abc50163,1,0,0,0,0,0,0,1.4706854553411903,1.4779816174925269,0.0,1.2833392705920628,1.3350898587329454,1,15.0,1,1,1.0181401330718858,1.0181401330718853
2016-08-27,air_0e7c11b9abc50163,0,0,1,0,0,0,0,1.0080331393447615,0.8071163707675734,0.0,-1.438950377072031,1.0690738305951617,1,15.0,1,1,1.0858855414724982,1.0858855414724977
2016-08-28,air_0e7c11b9abc50163,0,0,0,1,0,0,0,0.8114059050462794,0.5295169583296615,0.0,-1.438950377072031,1.0358218270779387,1,29.0,1,1,-0.4305693696489024,-0.4305693696489027
2016-08-31,air_0e7c11b9abc50163,0,0,0,0,0,0,1,1.2971908368425296,1.2813487003490063,0.0,1.5769195267127007,1.1688298411468305,1,26.0,1,1,-0.37484977339041053,-0.37484977339041087
2016-09-01,air_0e7c11b9abc50163,0,0,0,0,1,0,0,1.320323452642351,1.4432816909377881,0.0,1.2566501563992778,1.113409835284792,1,20.0,1,1,-0.7981583607930537,-0.7981583607930539
2016-09-02,air_0e7c11b9abc50163,1,0,0,0,0,0,0,1.2856245289426187,1.1309823519451374,0.0,-0.13118378162555444,1.2242498470088687,1,25.0,1,1,0.49702160691332886,0.4970216069133284
2016-09-03,air_0e7c11b9abc50163,0,0,1,0,0,0,0,1.3434560684421724,1.4432816909377881,0.0,0.5360440731940765,1.4015938657673914,1,22.0,1,1,1.1231655591130718,1.1231655591130714
2016-09-04,air_0e7c11b9abc50163,0,0,0,1,0,0,0,1.2856245289426187,1.37388183782831,0.0,-0.23794023839669548,1.3350898587329454,1,33.0,1,1,-0.9508861749979846,-0.9508861749979848
2016-09-06,air_0e7c11b9abc50163,0,0,0,0,0,1,0,1.528516994840744,1.431715048752875,0.0,1.1232045854353516,1.5456858810086909,1,26.0,1,1,-0.8370418200525768,-0.837041820052577
2016-09-07,air_0e7c11b9abc50163,0,0,0,0,0,0,1,1.331889760542262,1.1888155628697024,0.0,-0.8251007506379707,1.4902658751466524,1,23.0,1,1,-0.7332189752256028,-0.733218975225603
2016-09-08,air_0e7c11b9abc50163,0,0,0,0,1,0,0,1.2509256052428865,1.2003822050546151,0.0,-1.0919918925658232,1.412677866939799,1,20.0,1,1,-0.5748791153543489,-0.5748791153543492
