visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Miyagi-ken Sendai-shi Kamisugi,total_area_visitors,total_genre_visitors
2016-01-02,air_3bb99a1fe0583897,0,0,1,0,0,0,0,-0.7211583196732393,-0.6975104598387937,1.0,-1.1708687310878276,-1.0236639406718093,1,39.0,1,1,-1.8314764872587677,-1.8314764872587677
2016-01-04,air_3bb99a1fe0583897,0,1,0,0,0,0,0,-0.5681145183069822,-0.4349156530054777,0.0,-0.723373386210972,-0.5067785428352697,1,31.0,1,1,-1.4970047328737115,-1.4970047328737115
2016-01-05,air_3bb99a1fe0583897,0,0,0,0,0,1,0,-0.9095199213547864,-0.9715224321866018,0.0,-0.40749431923907403,-0.7709644128406122,1,35.0,1,1,-1.3667207465414914,-1.3667207465414914
2016-01-06,air_3bb99a1fe0583897,0,0,0,0,0,0,1,-1.0037007221955598,-0.891602273585158,0.0,-0.6444036194679976,-1.012177598497664,1,33.0,1,1,-1.302467630475114,-1.302467630475114
2016-01-07,air_3bb99a1fe0583897,0,0,0,0,1,0,0,-1.0154733223006567,-1.165614245932966,0.0,-0.17058501901015066,-0.8513688080596294,1,41.0,1,1,-1.2331352166959793,-1.2331352166959793
2016-01-08,air_3bb99a1fe0583897,1,0,0,0,0,0,0,-1.0154733223006567,-1.005773928730078,0.0,-0.09161525226717597,-0.9317732032786468,1,55.0,1,1,-0.8981555325396472,-0.8981555325396472
2016-01-09,air_3bb99a1fe0583897,0,0,1,0,0,0,0,-1.1331993233516238,-1.108528418360506,0.0,0.17161730354273902,-1.0236639406718093,1,49.0,1,1,-0.6396192789603099,-0.6396192789603099
2016-01-10,air_3bb99a1fe0583897,0,0,0,1,0,0,0,-1.0272459224057533,-0.891602273585158,0.0,-0.14426176342915903,-1.0696093093683907,1,50.0,1,1,-0.9258377050741735,-0.9258377050741735
2016-01-11,air_3bb99a1fe0583897,0,1,0,0,0,0,0,-1.345106125243364,-1.4167918872517902,1.0,-0.5917571083060146,-1.1270410202391172,1,19.0,1,1,-1.288245596879394,-1.288245596879394
2016-01-12,air_3bb99a1fe0583897,0,0,0,0,0,1,0,-1.392196525663751,-1.4396262182807742,0.0,-0.5391105971440315,-1.3223088371995877,1,17.0,1,1,-1.3420861526346193,-1.3420861526346193
2016-01-13,air_3bb99a1fe0583897,0,0,0,0,0,0,1,-1.156744523561817,-1.0171910942445699,0.0,0.4085266037716624,-1.2993361528512972,1,53.0,1,1,-1.1378983845817832,-1.1378983845817832
2016-01-14,air_3bb99a1fe0583897,0,0,0,0,1,0,0,-1.2156075240873006,-1.30262023210687,0.0,0.013677770056789886,-1.0925819937166812,1,44.0,1,1,-1.0452012013239658,-1.0452012013239658
2016-01-15,air_3bb99a1fe0583897,1,0,0,0,0,0,0,-1.3804239255586541,-1.325454563135854,0.0,-0.3811710636580826,-1.21893175763228,1,55.0,1,1,-0.7688874057499786,-0.7688874057499786
2016-01-16,air_3bb99a1fe0583897,0,0,1,0,0,0,0,-1.4746047263994277,-1.4396262182807742,0.0,-0.43381757482006555,-1.3223088371995877,1,45.0,1,1,-0.6213338071943842,-0.6213338071943842
2016-01-17,air_3bb99a1fe0583897,0,0,0,1,0,0,0,-1.2980157248229773,-1.279785901077886,0.0,-0.01264548552420152,-1.4027132324186051,1,33.0,1,1,-1.224500410584292,-1.224500410584292
2016-01-18,air_3bb99a1fe0583897,0,1,0,0,0,0,0,-1.2862431247178805,-1.4167918872517902,0.0,-1.3814547757357596,-1.150013704587408,1,24.0,1,1,-1.5079252229561393,-1.5079252229561393
2016-01-19,air_3bb99a1fe0583897,0,0,0,0,0,1,0,-1.1802897237720102,-1.279785901077886,0.0,-0.9602826864398956,-1.0351502828459547,1,22.0,1,1,-1.2714839144272954,-1.2714839144272954
2016-01-20,air_3bb99a1fe0583897,0,0,0,0,0,0,1,-1.2156075240873006,-1.256951570048902,0.0,0.7507289263245518,-1.2763634685030065,1,32.0,1,1,-1.1465331906934704,-1.1465331906934704
