visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-07-02,air_0ead98dd07e7a82a,0,0,1,0,0,0,0,1.512232804214627,1.428516077245536,0.0,0.139801391702447,1.5812793801722915,1,3.0,1,1,1.4711057865390813,1.4711057865390813
2016-07-04,air_0ead98dd07e7a82a,0,1,0,0,0,0,0,1.560932442706518,1.6181945605312507,0.0,0.5825402156463846,1.5109730913010575,1,12.0,1,1,-1.153339434355487,-1.153339434355487
2016-07-07,air_0ead98dd07e7a82a,0,0,0,0,1,0,0,1.2443847925092244,1.2388375939598224,0.0,0.7762384511218574,1.2531833654398665,1,5.0,1,1,-0.1447731393104515,-0.1447731393104515
2016-07-08,air_0ead98dd07e7a82a,1,0,0,0,0,0,0,0.854787684574093,0.6935119545133934,0.0,-1.354442139108343,0.9485227803311863,1,1.0,1,1,1.1234491821429469,1.1234491821429469
2016-07-11,air_0ead98dd07e7a82a,0,1,0,0,0,0,0,1.1348106059024685,0.9424649638258933,0.0,-1.2714286096188547,1.264901080251739,1,2.0,1,1,-1.2015043597562014,-1.2015043597562014
2016-07-12,air_0ead98dd07e7a82a,0,0,0,0,0,1,0,1.26873461175517,1.3810964564241077,0.0,-0.5243068442134597,1.264901080251739,1,9.0,1,1,-0.504018297186457,-0.504018297186457
2016-07-13,air_0ead98dd07e7a82a,0,0,0,0,0,0,1,1.1348106059024685,0.9661747742366075,0.0,-1.326770962611847,1.1711593617567604,1,2.0,1,1,-0.4341248340109841,-0.4341248340109841
2016-07-14,air_0ead98dd07e7a82a,0,0,0,0,1,0,0,1.2322098828862513,1.2506924991651789,0.0,1.2743196280587874,1.229747935816122,1,17.0,1,1,-0.22553087137330352,-0.22553087137330352
2016-07-19,air_0ead98dd07e7a82a,0,0,0,0,0,1,0,1.1591604251484142,1.1558532575223222,0.0,1.689387275506229,1.147723932133016,1,51.0,1,1,-0.8437077710651799,-0.8437077710651799
2016-07-20,air_0ead98dd07e7a82a,0,0,0,0,0,0,1,1.1469855155254416,1.1677081627276793,0.0,1.191306098569299,1.229747935816122,1,26.0,1,1,-0.3787170626853502,-0.3787170626853502
2016-07-21,air_0ead98dd07e7a82a,0,0,0,0,1,0,0,1.0739360577876043,1.084723826290179,0.0,1.9384278639746941,1.124288502509271,1,22.0,1,1,-0.16541525019647196,-0.16541525019647196
2016-07-22,air_0ead98dd07e7a82a,1,0,0,0,0,0,0,1.01306150967274,1.0491591106741078,0.0,1.9384278639746941,1.0305467840142928,1,1.0,1,1,0.9800408328295415,0.9800408328295415
2016-07-23,air_0ead98dd07e7a82a,0,0,1,0,0,0,0,1.2200349732632785,1.2981121199866081,0.0,2.1044549229536704,1.0071113543905479,1,5.0,1,1,1.285326788564897,1.285326788564897
2016-07-25,air_0ead98dd07e7a82a,0,1,0,0,0,0,0,1.3904837079848984,1.3810964564241077,0.0,0.5825402156463846,1.4289490876179514,1,2.0,1,1,-1.0620795757015018,-1.0620795757015018
2016-08-17,air_0ead98dd07e7a82a,0,0,0,0,0,0,1,1.4635331657227353,1.4996455084776792,0.0,1.4126755105412678,1.4758199468654405,1,1.0,1,1,-0.788299999739546,-0.788299999739546
2016-08-18,air_0ead98dd07e7a82a,0,0,0,0,1,0,0,1.5000578945916538,1.630049465736608,0.0,1.717058452002725,1.3703605135585897,1,6.0,1,1,-0.5195904159250339,-0.5195904159250339
2016-08-19,air_0ead98dd07e7a82a,1,0,0,0,0,0,0,1.560932442706518,1.523355318888394,0.0,1.3296619810517794,1.5461262357366745,1,2.0,1,1,0.7776032892280424,0.7776032892280424
2016-08-20,air_0ead98dd07e7a82a,0,0,1,0,0,0,0,1.4513582560997627,1.4522258876562508,0.0,1.717058452002725,1.5109730913010575,1,3.0,1,1,0.6631663236143148,0.6631663236143148
2016-08-22,air_0ead98dd07e7a82a,0,1,0,0,0,0,0,1.4635331657227353,1.4877906032723218,0.0,1.8830855109817015,1.4875376616773128,1,1.0,1,1,-1.9333939404693135,-1.9333939404693135
2016-08-23,air_0ead98dd07e7a82a,0,0,0,0,0,1,0,1.414833527230844,1.5707749397098223,0.0,2.0767837464571746,1.3703605135585897,1,10.0,1,1,-0.5826031754718332,-0.5826031754718332
