visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,total_genre_visitors
2016-07-01,air_2a24aec099333f39,1,0,0,0,0,0,0,1.0276826631240334,1.0320759020959542,0.0,0.9280856694043644,0.9957126036888151,1,4.0,1,7270858.0
2016-07-02,air_2a24aec099333f39,0,0,1,0,0,0,0,1.2400330771664656,1.2620364985814845,0.0,1.753117866562917,1.1442446401152013,1,5.0,1,7470662.0
2016-07-03,air_2a24aec099333f39,0,0,0,1,0,0,0,1.2718856392728304,1.1920484909554532,0.0,1.3956039144608774,1.3246049700615272,1,12.0,1,4975980.0
2016-07-04,air_2a24aec099333f39,0,1,0,0,0,0,0,1.303738201379195,1.2720347853852034,0.0,1.1755953285519303,1.3033861077149007,1,2.0,1,4006596.0
2016-07-05,air_2a24aec099333f39,0,0,0,0,0,1,0,1.303738201379195,1.4420056610484213,0.0,1.6431135736084432,1.2397295206750207,1,2.0,1,4844530.0
2016-07-07,air_2a24aec099333f39,0,0,0,0,1,0,0,1.2718856392728304,1.2820330721889224,0.0,1.5606103538925877,1.2609483830216472,1,1.0,1,5337826.0
2016-07-08,air_2a24aec099333f39,1,0,0,0,0,0,0,0.9958301010176687,0.8421084528252982,0.0,-1.5195098488326746,0.9426654478222486,1,4.0,1,7011782.0
2016-07-09,air_2a24aec099333f39,0,0,1,0,0,0,0,0.7091570420603855,0.5221632751062991,0.0,-1.2169980432078722,0.7941334113958627,1,7.0,1,7393704.0
2016-07-10,air_2a24aec099333f39,0,0,0,1,0,0,0,1.1126228287410065,1.0620707625071102,0.0,0.5155695708250883,1.091197484248635,1,5.0,1,5177696.0
2016-07-11,air_2a24aec099333f39,0,1,0,0,0,0,0,1.1869454736558576,1.1820502041517351,0.0,0.048051325768575105,1.2291200895017074,1,3.0,1,3943022.0
2016-07-12,air_2a24aec099333f39,0,0,0,0,0,1,0,1.1338578701452495,0.952089607666204,0.0,-1.2720001896851088,1.2397295206750207,1,3.0,1,4863650.0
2016-07-15,air_2a24aec099333f39,1,0,0,0,0,0,0,0.8365672904858447,0.6121478563397675,0.0,-1.4645077023554378,0.9957126036888151,1,3.0,1,6741234.0
2016-07-16,air_2a24aec099333f39,0,0,1,0,0,0,0,0.9852125803155469,0.9620878944699228,0.0,-0.2544604798562276,0.9320560166489356,1,8.0,1,7318658.0
2016-07-17,air_2a24aec099333f39,0,0,0,1,0,0,0,1.1232403494431278,0.9220947472550481,0.0,-1.2995012629237275,1.1548540712885145,1,5.0,1,6137998.0
2016-07-18,air_2a24aec099333f39,0,1,0,0,0,0,0,1.1338578701452495,1.072069049310829,1.0,1.3406017679836406,1.1018069154219479,1,10.0,1,4191582.0
2016-07-19,air_2a24aec099333f39,0,0,0,0,0,1,0,1.1444753908473708,1.1820502041517351,0.0,1.8081200130401536,1.069978621902008,1,7.0,1,4415286.0
2016-07-22,air_2a24aec099333f39,1,0,0,0,0,0,0,1.091387787336763,1.2520382117777658,0.0,1.2030964017905486,0.9638843101688751,1,3.0,1,6822494.0
2016-07-23,air_2a24aec099333f39,0,0,1,0,0,0,0,1.038300183826155,1.092065622918266,0.0,1.2580985482677853,1.0063220348621285,1,6.0,1,7225448.0
2016-07-24,air_2a24aec099333f39,0,0,0,1,0,0,0,0.9852125803155469,0.952089607666204,0.0,-0.19945833337899074,0.9957126036888151,1,8.0,1,4947778.0
2016-07-25,air_2a24aec099333f39,0,1,0,0,0,0,0,1.0064476217197904,0.8721033132364545,0.0,-1.1894969699692537,1.176072933635141,1,3.0,1,4127052.0
2016-07-26,air_2a24aec099333f39,0,0,0,0,0,1,0,0.9108899354006958,0.7221290111806736,0.0,-1.5195098488326746,1.0487597595553815,1,3.0,1,5059630.0
2016-07-28,air_2a24aec099333f39,0,0,0,0,1,0,0,1.1869454736558576,1.1520553437405785,0.0,-0.2544604798562276,1.176072933635141,1,2.0,1,5606462.0
