visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Taitō-ku Kuramae,total_area_visitors,total_genre_visitors
2016-07-01,air_eceb97ad6a7d4c07,1,0,0,0,0,0,0,1.0608068413108491,1.1361443688918593,0.0,-0.1665354345069464,1.0066982426571889,1,20.0,1,1,1.426078053596328,1.4260780535963276
2016-07-02,air_eceb97ad6a7d4c07,0,0,1,0,0,0,0,1.2231085687334489,1.2754266879560445,0.0,0.4996063035208392,1.1614884043166893,1,21.0,1,1,1.587889763493189,1.5878897634931886
2016-07-03,air_eceb97ad6a7d4c07,0,0,0,1,0,0,0,1.4781541403975342,1.6932736451486001,0.0,0.686125990168619,1.2941656857391188,1,15.0,1,1,-0.43243395409465196,-0.43243395409465224
2016-07-04,air_eceb97ad6a7d4c07,0,1,0,0,0,0,0,1.3158524129749345,1.507563886396353,0.0,0.5528976425630618,1.1836012845537611,1,19.0,1,1,-1.217491723642102,-1.2174917236421021
2016-07-05,air_eceb97ad6a7d4c07,0,0,0,0,0,1,0,0.6086806006336065,0.5558013727910872,0.0,-1.3389448934358492,0.8076823205235449,1,19.0,1,1,-0.5388890263952184,-0.5388890263952187
2016-07-06,air_eceb97ad6a7d4c07,0,0,0,0,0,0,1,0.7709823280562066,0.7066905517772876,0.0,-0.24647244307028085,0.8408516408791523,1,26.0,1,1,-0.07126092698036653,-0.07126092698036686
2016-07-07,air_eceb97ad6a7d4c07,0,0,0,0,1,0,0,1.2694804908541915,1.8441628241348014,0.0,2.0717008052664134,0.9956418025386529,1,17.0,1,1,-0.13939217325272904,-0.13939217325272937
2016-07-08,air_eceb97ad6a7d4c07,1,0,0,0,0,0,0,1.026027899720292,1.0432894895157356,0.0,-0.7793858334925092,1.0177546827757247,1,17.0,1,1,1.2162647838257572,1.2162647838257568
2016-07-09,air_eceb97ad6a7d4c07,0,0,1,0,0,0,0,0.6898314643449064,0.4745533533369788,0.0,-1.3389448934358492,0.8187387606420808,1,10.0,1,1,1.5255651575281302,1.5255651575281297
2016-07-10,air_eceb97ad6a7d4c07,0,0,0,1,0,0,0,1.0608068413108491,1.2173923883459672,0.0,1.7785984405341873,0.8076823205235449,1,15.0,1,1,-0.26907380678250997,-0.2690738067825103
2016-07-11,air_eceb97ad6a7d4c07,0,1,0,0,0,0,0,1.339038374035306,1.4727433066303068,0.0,1.9917637967030788,1.0398675630127963,1,17.0,1,1,-1.268977267700194,-1.2689772677001943
2016-07-12,air_eceb97ad6a7d4c07,0,0,0,0,0,1,0,1.2347015492636348,1.2754266879560445,0.0,0.3397322863941705,1.2941656857391188,1,12.0,1,1,-0.5234046522424087,-0.5234046522424091
2016-07-13,air_eceb97ad6a7d4c07,0,0,0,0,0,0,1,1.0028419386599208,0.787938571231396,0.0,-1.3389448934358492,1.1725448444352253,1,16.0,1,1,-0.4486925469551021,-0.4486925469551024
2016-07-14,air_eceb97ad6a7d4c07,0,0,0,0,1,0,0,1.095585782901406,1.4031021470982141,0.0,-0.29976378211250365,0.9293031618274384,1,14.0,1,1,-0.22571755915464292,-0.22571755915464325
2016-07-15,air_eceb97ad6a7d4c07,1,0,0,0,0,0,0,0.666645503284535,0.37009161403884,0.0,-1.3389448934358492,0.8961338414718311,1,14.0,1,1,0.9971608895635004,0.9971608895634999
2016-07-16,air_eceb97ad6a7d4c07,0,0,1,0,0,0,0,0.8869121333580636,0.7995454311534113,0.0,-0.9126141810980664,0.7966258804050094,1,16.0,1,1,1.4647889889783523,1.4647889889783519
2016-07-17,air_eceb97ad6a7d4c07,0,0,0,1,0,0,0,1.095585782901406,0.9272208902955812,0.0,-1.3122992239147377,1.1836012845537611,1,15.0,1,1,0.5086288850423554,0.508628885042355
2016-07-18,air_eceb97ad6a7d4c07,0,1,0,0,0,0,0,1.4201892377466059,1.4727433066303068,1.0,0.6594803206475076,1.3383914462132618,1,24.0,1,1,-1.0676804037136685,-1.0676804037136687
2016-07-19,air_eceb97ad6a7d4c07,0,0,0,0,0,1,0,1.2578875103240061,1.3334609875661212,0.0,0.31308661687305916,1.1946577246722967,1,21.0,1,1,-0.8865132261257954,-0.8865132261257956
2016-07-20,air_eceb97ad6a7d4c07,0,0,0,0,0,0,1,1.141957705022149,1.0548963494377508,0.0,-0.11324409546472375,1.1504319641981537,1,22.0,1,1,-0.3894648158206051,-0.38946481582060544
2016-07-21,air_eceb97ad6a7d4c07,0,0,0,0,1,0,0,0.6202735811637924,0.40491219380488636,0.0,-1.3389448934358492,0.8850774013532952,1,13.0,1,1,-0.1614574064204828,-0.16145740642048315
2016-07-22,air_eceb97ad6a7d4c07,1,0,0,0,0,0,0,0.5739016590430494,0.21920243505263914,0.0,-1.3389448934358492,0.8297952007606163,1,24.0,1,1,1.0629694797129414,1.062969479712941
2016-07-23,air_eceb97ad6a7d4c07,0,0,1,0,0,0,0,0.6898314643449064,0.7299042716213189,0.0,-0.9659055201402893,0.763456560049402,1,13.0,1,1,1.389302664983405,1.3893026649834046
2016-07-24,air_eceb97ad6a7d4c07,0,0,0,1,0,0,0,0.8637261722976919,0.9504346101396121,0.0,0.6061889816052848,0.6750050391011158,1,15.0,1,1,-0.45527340597004623,-0.4552734059700465
2016-07-25,air_eceb97ad6a7d4c07,0,1,0,0,0,0,0,0.9564700165391776,0.822759150997442,0.0,-1.125779537266958,0.9071902815903671,1,15.0,1,1,-1.119940166479401,-1.1199401664794013
