visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Other,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-07-01,air_e2208a79e2678432,1,0,0,0,0,0,0,1.0741247170198194,1.201581837085574,0.0,0.6033489737031247,0.9147019160329972,1,40.0,1,1,1.3310356659220748,1.3310356659220748
2016-07-02,air_e2208a79e2678432,0,0,1,0,0,0,0,1.3592329006668213,1.2569226972022445,0.0,0.04389376469749397,1.444202594469373,1,30.0,1,1,1.4839725984930332,1.4839725984930332
2016-07-03,air_e2208a79e2678432,0,0,0,1,0,0,0,1.3250199186291811,1.2347863531555767,0.0,-0.1425913049710497,1.444202594469373,1,48.0,1,1,-0.42554379166924516,-0.42554379166924516
2016-07-04,air_e2208a79e2678432,0,1,0,0,0,0,0,1.4048502100503415,1.43401344957559,0.0,0.4701453525113078,1.3780150096648258,1,43.0,1,1,-1.167544029118776,-1.167544029118776
2016-07-05,air_e2208a79e2678432,0,0,0,0,0,1,0,1.3706372280127013,1.4229452775522557,0.0,1.429211425092389,1.245639840055732,1,32.0,1,1,-0.5261601946764547,-0.5261601946764547
2016-07-06,air_e2208a79e2678432,0,0,0,0,0,0,1,1.302211263937421,1.323331729342249,0.0,1.722259391714386,1.245639840055732,1,46.0,1,1,-0.084179777102967,-0.084179777102967
2016-07-08,air_e2208a79e2678432,1,0,0,0,0,0,0,0.7433992239892969,0.5706960317555313,0.0,-1.3947053441741282,0.84851433122845,1,36.0,1,1,1.1327298825405927,1.1327298825405927
2016-07-09,air_e2208a79e2678432,0,0,1,0,0,0,0,0.891655479485738,0.8363321603155492,0.0,-0.08930985649432288,0.9257331801670885,1,49.0,1,1,1.425066268005176,1.425066268005176
2016-07-10,air_e2208a79e2678432,0,0,0,1,0,0,0,0.994294425598659,0.8916730204322197,0.0,-0.6221243412615904,1.1132646704466382,1,60.0,1,1,-0.27114334778181814,-0.27114334778181814
2016-07-11,air_e2208a79e2678432,0,1,0,0,0,0,0,1.0056987529445387,0.803127644245547,0.0,-1.3147831714590381,1.1463584628489116,1,40.0,1,1,-1.2162057803913535,-1.2162057803913535
2016-07-12,air_e2208a79e2678432,0,0,0,0,0,1,0,1.13114635374922,1.212650009108908,0.0,-0.595483617023227,1.1463584628489116,1,31.0,1,1,-0.5115250815117697,-0.5115250815117697
2016-07-13,air_e2208a79e2678432,0,0,0,0,0,0,1,1.0056987529445387,0.825263988292215,0.0,-1.368064619935765,1.0581083497761823,1,45.0,1,1,-0.44091066049216443,-0.44091066049216443
2016-07-15,air_e2208a79e2678432,1,0,0,0,0,0,0,0.8802511521398582,0.8363321603155492,0.0,1.429211425092389,0.9919207649716352,1,41.0,1,1,0.9256430312602997,0.9256430312602997
2016-07-16,air_e2208a79e2678432,0,0,1,0,0,0,0,1.1197420264033395,1.3122635573189148,0.0,0.17709738588931082,0.9588269725693617,1,43.0,1,1,1.3676234488337873,1.3676234488337873
2016-07-17,air_e2208a79e2678432,0,0,0,1,0,0,0,1.0056987529445387,0.924877536502222,0.0,0.2836602828427642,1.1022334063125467,1,45.0,1,1,0.46390521091448716,0.46390521091448716
2016-07-18,air_e2208a79e2678432,0,1,0,0,0,0,0,0.994294425598659,0.9912865686422264,1.0,0.7631933191333048,0.9588269725693617,1,52.0,1,1,-1.0259493092504484,-1.0259493092504484
2016-07-19,air_e2208a79e2678432,0,0,0,0,0,1,0,1.0285074076362988,1.0023547406655606,0.0,1.5357743220458426,1.0360458215080002,1,45.0,1,1,-0.8547184852236335,-0.8547184852236335
2016-07-20,air_e2208a79e2678432,0,0,0,0,0,0,1,1.017103080290419,1.013422912688895,0.0,1.0562412857553019,1.1132646704466382,1,36.0,1,1,-0.3849313526372442,-0.3849313526372442
2016-07-22,air_e2208a79e2678432,1,0,0,0,0,0,0,0.891655479485738,0.902741192455554,0.0,1.775540840191113,0.9257331801670885,1,51.0,1,1,0.987842262210211,0.987842262210211
2016-07-23,air_e2208a79e2678432,0,0,1,0,0,0,0,1.0855290443656993,1.13517280494557,0.0,1.9353851856212931,0.9036706518989058,1,43.0,1,1,1.296277272155948,1.296277272155948
2016-07-24,air_e2208a79e2678432,0,0,0,1,0,0,0,1.2565939545539004,1.2237181811322424,0.0,0.17709738588931082,1.2677023683239144,1,55.0,1,1,-0.4471305835871556,-0.4471305835871556
2016-07-25,air_e2208a79e2678432,0,1,0,0,0,0,0,1.2451896272080205,1.212650009108908,0.0,0.4701453525113078,1.3007961607261878,1,42.0,1,1,-1.0753428161812602,-1.0753428161812602
2016-07-26,air_e2208a79e2678432,0,0,0,0,0,1,0,1.17676366313274,1.2347863531555767,0.0,0.4435046282729445,1.1463584628489116,1,34.0,1,1,-0.3615151715737482,-0.3615151715737482
