visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Chūō-ku Ginza,total_area_visitors,total_genre_visitors
2016-07-01,air_cc35590cd1da8554,1,0,0,0,0,0,0,1.0808615495480975,1.1628679288898085,0.0,-0.18197431371055348,1.020672718783653,1,25.0,1,1,1.2926582626621368,1.292658262662137
2016-07-02,air_cc35590cd1da8554,0,0,1,0,0,0,0,1.243666007844213,1.303090577041189,0.0,0.48169671276323056,1.1755309463494998,1,21.0,1,1,1.4456573699614574,1.4456573699614574
2016-07-04,air_cc35590cd1da8554,0,1,0,0,0,0,0,1.3366971268705647,1.5367949906268226,0.0,0.5347903948811331,1.1976535502874783,1,11.0,1,1,-1.206937200847577,-1.2069372008475774
2016-07-05,air_cc35590cd1da8554,0,0,0,0,0,1,0,0.6273348442946326,0.5786068949257235,0.0,-1.3500353203044135,0.8215692833418495,1,31.0,1,1,-0.5652926192788952,-0.5652926192788954
2016-07-06,air_cc35590cd1da8554,0,0,0,0,0,0,1,0.7901393025907484,0.7305147637563852,0.0,-0.2616148368874077,0.8547531892488168,1,25.0,1,1,-0.12313251971530835,-0.1231325197153085
2016-07-07,air_cc35590cd1da8554,0,0,0,0,1,0,0,1.2901815673573886,1.8756663903259925,0.0,2.047960335241361,1.0096114168146637,1,11.0,1,1,-0.18755319647291702,-0.18755319647291718
2016-07-08,air_cc35590cd1da8554,1,0,0,0,0,0,0,1.0459748799132156,1.0693861634555548,0.0,-0.7925516580664349,1.0317340207526422,1,27.0,1,1,1.094271860374501,1.094271860374501
2016-07-09,air_cc35590cd1da8554,0,0,1,0,0,0,0,0.7087370734426902,0.49681035017075126,0.0,-1.3500353203044135,0.8326305853108388,1,14.0,1,1,1.386727091791145,1.386727091791145
2016-07-11,air_cc35590cd1da8554,0,1,0,0,0,0,0,1.3599549066271526,1.5017393285889777,0.0,1.9683198120645067,1.0538566246906202,1,7.0,1,1,-1.25561873498827,-1.2556187349882704
2016-07-12,air_cc35590cd1da8554,0,0,0,0,0,1,0,1.2552948977225071,1.303090577041189,0.0,0.32241566640952224,1.308266569977369,1,26.0,1,1,-0.5506515563794386,-0.5506515563794389
2016-07-13,air_cc35590cd1da8554,0,0,0,0,0,0,1,1.0227171001566278,0.8123113085113575,0.0,-1.3500353203044135,1.186592248318489,1,17.0,1,1,-0.48000842788956094,-0.48000842788956116
2016-07-14,air_cc35590cd1da8554,0,0,0,0,1,0,0,1.115748219182979,1.4316280045132874,0.0,-0.3147085190053104,0.9432436050007296,1,20.0,1,1,-0.2691771221373871,-0.26917712213738726
2016-07-15,air_cc35590cd1da8554,1,0,0,0,0,0,0,0.6854792936861024,0.3916433640572161,0.0,-1.3500353203044135,0.9100596990937623,1,22.0,1,1,0.8871008203471913,0.8871008203471913
2016-07-16,air_cc35590cd1da8554,0,0,1,0,0,0,0,0.9064282013736881,0.8239965291906389,0.0,-0.9252858633611917,0.8105079813728607,1,17.0,1,1,1.329260919910778,1.3292609199107783
2016-07-19,air_cc35590cd1da8554,0,0,0,0,0,1,0,1.278552677479095,1.3615166804375969,0.0,0.295868825350571,1.2087148522564672,1,18.0,1,1,-0.893984481371694,-0.8939844813716943
2016-07-20,air_cc35590cd1da8554,0,0,0,0,0,0,1,1.1622637786961552,1.0810713841348363,0.0,-0.12888063159265092,1.164469644380511,1,28.0,1,1,-0.4240063622991398,-0.42400636229913996
2016-07-21,air_cc35590cd1da8554,0,0,0,0,1,0,0,0.6389637341729267,0.42669902609506133,0.0,-1.3500353203044135,0.898998397124773,1,37.0,1,1,-0.20841671110464255,-0.20841671110464272
2016-07-22,air_cc35590cd1da8554,1,0,0,0,0,0,0,0.5924481746597506,0.23973549522655394,0.0,-1.3500353203044135,0.8436918872798277,1,21.0,1,1,0.9493253376698816,0.9493253376698816
2016-07-23,air_cc35590cd1da8554,0,0,1,0,0,0,0,0.7087370734426902,0.753885205114949,0.0,-0.9783795454790944,0.7773240754658934,1,22.0,1,1,1.2578857382759276,1.2578857382759276
2016-07-25,air_cc35590cd1da8554,0,1,0,0,0,0,0,0.9762015406434515,0.8473669705492023,0.0,-1.1376605918328027,0.9211210010627514,1,13.0,1,1,-1.114698504581001,-1.1146985045810012
2016-07-26,air_cc35590cd1da8554,0,0,0,0,0,1,0,0.871541531738806,0.7889408671527938,0.0,-1.3234884792454622,0.9543049069697184,1,8.0,1,1,-0.40058066166000933,-0.40058066166000955
2016-07-27,air_cc35590cd1da8554,0,0,0,0,0,0,1,0.9529437608868637,0.7772556464735123,0.0,-1.2703947971275595,1.0649179266596092,1,18.0,1,1,-0.20182823279988713,-0.2018282327998873
2016-07-28,air_cc35590cd1da8554,0,0,0,0,1,0,0,1.185521558452743,1.2212940322862171,0.0,0.030400414761057377,1.164469644380511,1,15.0,1,1,0.018153737264447047,0.018153737264446912
2016-07-29,air_cc35590cd1da8554,1,0,0,0,0,0,0,1.2669237876008008,1.3732019011168788,0.0,1.7028514014749931,1.1202244365045544,1,20.0,1,1,1.1901708223659413,1.1901708223659413
2016-07-30,air_cc35590cd1da8554,0,0,1,0,0,0,0,1.2669237876008008,1.4316280045132874,0.0,1.5170235140623338,1.0317340207526422,1,25.0,1,1,1.3058352192716478,1.3058352192716478
2016-08-01,air_cc35590cd1da8554,0,1,0,0,0,0,0,1.2901815673573886,1.2680349150033436,0.0,-0.8456453401843377,1.308266569977369,1,12.0,1,1,-1.1681383841640172,-1.1681383841640176
2016-08-02,air_cc35590cd1da8554,0,0,0,0,0,1,0,1.115748219182979,1.0226452807384279,0.0,-0.8987390223022402,1.0759792286285983,1,10.0,1,1,-0.820413140301925,-0.8204131403019252
2016-08-03,air_cc35590cd1da8554,0,0,0,0,0,0,1,1.220408228087625,1.3264610183997523,0.0,-0.2616148368874077,1.1755309463494998,1,14.0,1,1,-0.3793511204557974,-0.3793511204557976
2016-08-04,air_cc35590cd1da8554,0,0,0,0,1,0,0,1.3715837965054467,1.443313225192569,0.0,0.9064461697064523,1.2861439660393905,1,26.0,1,1,-0.2545360592379306,-0.25453605923793077
2016-08-05,air_cc35590cd1da8554,1,0,0,0,0,0,0,1.4413571357752102,1.4900541079096958,0.0,1.5170235140623338,1.308266569977369,1,30.0,1,1,0.7809531143261316,0.7809531143261316
2016-08-06,air_cc35590cd1da8554,0,0,1,0,0,0,0,1.4878726952883863,1.58353587334395,0.0,0.9860866928833065,1.4410021936052377,1,16.0,1,1,0.5423037890649903,0.5423037890649903
2016-08-08,air_cc35590cd1da8554,0,1,0,0,0,0,0,1.4180993560186224,1.466683666551133,0.0,-0.12888063159265092,1.3856956837602925,1,12.0,1,1,-1.1498370555396966,-1.1498370555396968
2016-08-09,air_cc35590cd1da8554,0,0,0,0,0,1,0,1.8134816118806172,1.9925185971188095,0.0,0.8002588054706468,1.4299408916362486,1,25.0,1,1,-0.32993753317013164,-0.32993753317013186
2016-08-10,air_cc35590cd1da8554,0,0,0,0,0,0,1,1.4878726952883863,1.5601654319853862,0.0,-0.04924010841579666,1.463124797543216,1,24.0,1,1,0.6594322922606425,0.6594322922606425
2016-08-12,air_cc35590cd1da8554,1,0,0,0,0,0,0,1.2087793382093308,1.3147757977204704,0.0,0.11004093793791142,1.2640213621014125,1,21.0,1,1,-0.07298687928466978,-0.07298687928466992
2016-08-18,air_cc35590cd1da8554,0,0,0,0,1,0,0,1.2320371179659189,1.2797201356826255,0.0,-1.0580200686559484,1.3746343817913032,1,9.0,1,1,-0.5663906989963544,-0.5663906989963546
2016-08-19,air_cc35590cd1da8554,1,0,0,0,0,0,0,1.313439347113977,1.3615166804375969,0.0,0.48169671276323056,1.352511777853325,1,8.0,1,1,0.7447164836499767,0.7447164836499767
2016-08-20,air_cc35590cd1da8554,0,0,1,0,0,0,0,1.0924904394263912,1.0927566048141182,0.0,-0.9252858633611917,1.2529600601324236,1,5.0,1,1,0.6290520867442703,0.6290520867442702
2016-08-22,air_cc35590cd1da8554,0,1,0,0,0,0,0,1.0924904394263912,0.8941078532663294,0.0,-1.3500353203044135,1.1534083424115218,1,6.0,1,1,-1.9953584379833105,-1.995358437983311
2016-08-23,air_cc35590cd1da8554,0,0,0,0,0,1,0,1.220408228087625,1.139497487531245,0.0,-0.8987390223022402,1.2640213621014125,1,17.0,1,1,-0.6300793226089902,-0.6300793226089905
2016-08-24,air_cc35590cd1da8554,0,0,0,0,0,0,1,1.185521558452743,1.2329792529654986,0.0,-0.8456453401843377,1.186592248318489,1,15.0,1,1,-0.4430397440684332,-0.44303974406843344
2016-08-25,air_cc35590cd1da8554,0,0,0,0,1,0,0,1.3599549066271526,1.4082575631547245,0.0,1.8090387657107987,1.186592248318489,1,9.0,1,1,-0.31566249684316156,-0.3156624968431617
2016-08-26,air_cc35590cd1da8554,1,0,0,0,0,0,0,1.3948415762620345,1.4199427838340055,0.0,1.3577424677086252,1.2418987581634344,1,20.0,1,1,1.0379037682115935,1.0379037682115935
2016-08-27,air_cc35590cd1da8554,0,0,1,0,0,0,0,0.9296859811302759,0.7421999844356671,0.0,-1.3500353203044135,0.9764275109076969,1,23.0,1,1,1.0997622589617972,1.0997622589617972
2016-08-29,air_cc35590cd1da8554,0,1,0,0,0,0,0,1.0808615495480975,1.1044418254934,0.0,-0.659817452771678,1.0317340207526422,1,11.0,1,1,-1.4346057289341259,-1.4346057289341263
2016-08-30,air_cc35590cd1da8554,0,0,0,0,0,1,0,1.0227171001566278,0.870737411907766,0.0,-1.1907542739507053,1.0759792286285983,1,28.0,1,1,-0.6560672092555255,-0.6560672092555258
