visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Hyōgo-ken Kōbe-shi Kumoidōri,total_area_visitors,total_genre_visitors
2016-01-05,air_63a88d81295195ed,0,0,0,0,0,1,0,-0.7071956797382533,-0.9154472066692363,0.0,-1.0706503325790724,-0.5397815708536106,1,20.0,1,1,-1.390684077052384,-1.390684077052384
2016-01-06,air_63a88d81295195ed,0,0,0,0,0,0,1,-0.7190630045009844,-0.8218734635103468,0.0,-0.6949835492179944,-0.6097764024032682,1,55.0,1,1,-1.326570286408707,-1.326570286408707
2016-01-07,air_63a88d81295195ed,0,0,0,0,1,0,0,-0.849603576891025,-0.9271439245640974,0.0,-0.6198501925457789,-0.7147686497277549,1,23.0,1,1,-1.25738821191968,-1.25738821191968
2016-01-08,air_63a88d81295195ed,1,0,0,0,0,0,0,-0.9801441492810655,-1.0675045393024316,0.0,-0.9955169759068568,-0.8780899233436229,1,26.0,1,1,-0.9231348923188493,-0.9231348923188493
2016-01-09,air_63a88d81295195ed,0,0,1,0,0,0,0,-1.0632154226201822,-1.0207176677229868,0.0,0.7826391320022459,-1.041411196959491,1,32.0,1,1,-0.6651592445905358,-0.6651592445905358
2016-01-10,air_63a88d81295195ed,0,0,0,1,0,0,0,-0.9801441492810655,-0.9505373603538199,0.0,0.15652782640044918,-0.9714163654098331,1,28.0,1,1,-0.9507570392760066,-0.9507570392760066
2016-01-11,air_63a88d81295195ed,0,1,0,0,0,0,0,-0.9208075254674106,-0.9739307961435422,1.0,-0.36940567030506016,-0.8080950917939651,1,30.0,1,1,-1.312379091641727,-1.312379091641727
2016-01-12,air_63a88d81295195ed,0,0,0,0,0,1,0,-1.0632154226201822,-1.1844717182510431,0.0,-0.06887224361619773,-1.041411196959491,1,2.0,1,1,-1.3661029004024368,-1.3661029004024368
2016-01-13,air_63a88d81295195ed,0,0,0,0,0,0,1,-1.2649599435866086,-1.2195618719356267,0.0,-1.0456058803550006,-1.1230718337674248,1,18.0,1,1,-1.162357889819368,-1.162357889819368
2016-01-14,air_63a88d81295195ed,0,0,0,0,1,0,0,-1.2768272683493396,-1.1259881287767375,0.0,-0.11896114806434151,-1.2280640810919115,1,29.0,1,1,-1.0698617096417309,-1.0698617096417309
