visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-07-01,air_f6bfd27e2e174d16,1,0,0,0,0,0,0,1.1351737175406227,1.2060051719682912,0.0,-0.23203117932084963,1.082310678353977,1,16.0,1,1,1.3931438030504106,1.3931438030504106
2016-07-02,air_f6bfd27e2e174d16,0,0,1,0,0,0,0,1.2965583627343114,1.3442603307665666,0.0,0.4437877895748289,1.2364715330434668,1,12.0,1,1,1.5533585062912416,1.5533585062912416
2016-07-03,air_f6bfd27e2e174d16,0,0,0,1,0,0,0,1.5501628051815368,1.759025807161393,0.0,0.6330171008656187,1.3686094084916012,1,4.0,1,1,-0.44702555163674196,-0.44702555163674196
2016-07-04,air_f6bfd27e2e174d16,0,1,0,0,0,0,0,1.3887781599878481,1.5746855954303587,0.0,0.49785330708648295,1.2584945122848228,1,10.0,1,1,-1.2243351644893863,-1.2243351644893863
2016-07-05,air_f6bfd27e2e174d16,0,0,0,0,0,1,0,0.6856022059296317,0.6299420103088096,0.0,-1.421472564577244,0.884103865181776,1,18.0,1,1,-0.5524299616636045,-0.5524299616636045
2016-07-06,air_f6bfd27e2e174d16,0,0,0,0,0,0,1,0.8469868511233208,0.7797184323402745,0.0,-0.3131294555883313,0.9171383340438096,1,7.0,1,1,-0.08941713507287749,-0.08941713507287749
2016-07-07,air_f6bfd27e2e174d16,0,0,0,0,1,0,0,1.3426682613610794,1.9088022291928586,0.0,2.0387205561686303,1.0712991887332992,1,7.0,1,1,-0.15687595749006952,-0.15687595749006952
2016-07-08,air_f6bfd27e2e174d16,1,0,0,0,0,0,0,1.1005912935705464,1.113835066102774,0.0,-0.853784630704874,1.0933221679746552,1,29.0,1,1,1.185401293106558,1.185401293106558
2016-07-10,air_f6bfd27e2e174d16,0,0,0,1,0,0,0,1.1351737175406227,1.2866540146006185,0.0,1.7413602098545313,0.884103865181776,1,12.0,1,1,-0.28527769334097475,-0.28527769334097475
2016-07-11,air_f6bfd27e2e174d16,0,1,0,0,0,0,0,1.4118331093012322,1.5401218057307902,0.0,1.9576222799011487,1.1153451472160107,1,24.0,1,1,-1.2753125700660144,-1.2753125700660144
2016-07-12,air_f6bfd27e2e174d16,0,0,0,0,0,1,0,1.3080858373910036,1.3442603307665666,0.0,0.2815912370398659,1.3686094084916012,1,15.0,1,1,-0.5370984111142427,-0.5370984111142427
2016-07-13,air_f6bfd27e2e174d16,0,0,0,0,0,0,1,1.0775363442571622,0.8603672749726021,0.0,-1.421472564577244,1.2474830226641447,1,19.0,1,1,-0.4631236797135719,-0.4631236797135719
2016-07-14,air_f6bfd27e2e174d16,0,0,0,0,1,0,0,1.1697561415106985,1.4709942263316522,0.0,-0.36719497309998544,1.0052302510092324,1,19.0,1,1,-0.24234935180276165,-0.24234935180276165
2016-07-15,air_f6bfd27e2e174d16,1,0,0,0,0,0,0,0.743239579213092,0.4456017985777753,0.0,-1.421472564577244,0.9721957821471988,1,27.0,1,1,0.9684598528330882,0.9684598528330882
2016-07-16,air_f6bfd27e2e174d16,0,0,1,0,0,0,0,0.9622615976902416,0.8718885382057916,0.0,-0.9889484244840097,0.8730923755610984,1,3.0,1,1,1.4314726794238153,1.4314726794238153
2016-07-19,air_f6bfd27e2e174d16,0,0,0,0,0,1,0,1.3311407867043876,1.4018666469325143,0.0,0.2545584782840388,1.2695060019055004,1,9.0,1,1,-0.8966232714967775,-0.8966232714967775
2016-07-20,air_f6bfd27e2e174d16,0,0,0,0,0,0,1,1.215866040137467,1.1253563293359634,0.0,-0.17796566180919554,1.2254600434227891,1,8.0,1,1,-0.40448049886226295,-0.40448049886226295
2016-07-21,air_f6bfd27e2e174d16,0,0,0,0,1,0,0,0.697129680586324,0.4801655882773443,0.0,-1.421472564577244,0.9611842925265208,1,12.0,1,1,-0.1787234170229101,-0.1787234170229101
2016-07-22,air_f6bfd27e2e174d16,1,0,0,0,0,0,0,0.6510197819595553,0.2958253765463101,0.0,-1.421472564577244,0.9061268444231316,1,34.0,1,1,1.033618942667876,1.033618942667876
2016-07-23,air_f6bfd27e2e174d16,0,0,1,0,0,0,0,0.7662945285264761,0.802760958806654,0.0,-1.0430139419956639,0.8400579066990648,1,7.0,1,1,1.3567313704956763,1.3567313704956763
2016-07-25,air_f6bfd27e2e174d16,0,1,0,0,0,0,0,1.0314264456303937,0.8949310646721708,0.0,-1.2052104945306268,0.9832072717678768,1,24.0,1,1,-1.1277463960284069,-1.1277463960284069
2016-07-26,air_f6bfd27e2e174d16,0,0,0,0,0,1,0,0.9276791737201653,0.8373247485062226,0.0,-1.394439805821417,1.01624174062991,1,37.0,1,1,-0.37995001798328404,-0.37995001798328404
2016-07-27,air_f6bfd27e2e174d16,0,0,0,0,0,0,1,1.0083714963170096,0.8258034852730332,0.0,-1.3403742883097625,1.1263566368366884,1,22.0,1,1,-0.1718242192756973,-0.1718242192756973
2016-07-28,air_f6bfd27e2e174d16,0,0,0,0,1,0,0,1.238920989450851,1.2636114881342393,0.0,-0.015769109274232564,1.2254600434227891,1,2.0,1,1,0.05853232772846408,0.05853232772846408
2016-08-01,air_f6bfd27e2e174d16,0,1,0,0,0,0,0,1.3426682613610794,1.3096965410669976,0.0,-0.9078501482165282,1.3686094084916012,1,54.0,1,1,-1.1837065555335775,-1.1837065555335775
