visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Hiroshima-ken Hiroshima-shi Nagarekawachō,total_area_visitors,total_genre_visitors
2016-07-01,air_152c1f08d7d20e07,1,0,0,0,0,0,0,1.3994257379194757,1.422069409186614,0.0,0.6724087357838003,1.3057497110553289,1,3.0,1,1,1.01238424917434,1.0123842491743402
2016-07-02,air_152c1f08d7d20e07,0,0,1,0,0,0,0,1.4705555790459177,1.182547701884543,0.0,-1.1570627617690323,1.6755195407347139,1,16.0,1,1,1.1844814619799455,1.1844814619799457
2016-07-08,air_152c1f08d7d20e07,1,0,0,0,0,0,0,1.1149063734137061,1.0508107628684042,0.0,-1.3285757146646102,1.294194403877848,1,10.0,1,1,0.7892342746752058,0.789234274675206
2016-07-09,air_152c1f08d7d20e07,0,0,1,0,0,0,0,1.2571660556665907,1.182547701884543,0.0,0.21504086139559234,1.2248625608129635,1,29.0,1,1,1.1181952149423797,1.11819521494238
2016-07-15,air_152c1f08d7d20e07,1,0,0,0,0,0,0,1.2571660556665907,1.074762933598611,0.0,-0.5853529187837719,1.3866368612976943,1,7.0,1,1,0.556203120493453,0.5562031204934532
2016-07-16,air_152c1f08d7d20e07,0,0,1,0,0,0,0,1.2453110821455171,1.074762933598611,0.0,-0.27091250514187887,1.1670860249255595,1,21.0,1,1,1.0535558311852504,1.0535558311852506
2016-07-17,air_152c1f08d7d20e07,0,0,0,1,0,0,0,1.4705555790459177,1.4100933238215105,0.0,0.6152377514852743,1.455968704362579,1,9.0,1,1,0.03661775551576402,0.03661775551576421
2016-07-23,air_152c1f08d7d20e07,0,0,1,0,0,0,0,1.600960287777729,1.6256628603933745,0.0,1.8158284217543206,1.5021899330725021,1,6.0,1,1,0.9732712462639752,0.9732712462639754
2016-07-29,air_152c1f08d7d20e07,1,0,0,0,0,0,0,1.7432199700306135,1.74542371404441,0.0,1.5013880081124278,1.6986301550896754,1,18.0,1,1,0.897103819543791,0.8971038195437913
2016-07-30,air_152c1f08d7d20e07,0,0,1,0,0,0,0,1.7432199700306135,1.74542371404441,0.0,1.7872429296050578,1.6524089263797523,1,8.0,1,1,1.0272060186982679,1.027206018698268
2016-08-05,air_152c1f08d7d20e07,1,0,0,0,0,0,0,1.8024948376359822,1.889136738425652,0.0,2.044512358948425,1.6755195407347139,1,1.0,1,1,0.43680553266181293,0.43680553266181316
2016-08-06,air_152c1f08d7d20e07,0,0,1,0,0,0,0,1.814349811157056,1.9250649945209632,0.0,1.3584605473661127,1.721740769444637,1,15.0,1,1,0.16836681795067723,0.16836681795067746
2016-08-19,air_152c1f08d7d20e07,1,0,0,0,0,0,0,1.885479652283498,2.092730189632413,0.0,1.5871444845602165,1.7101854622671564,1,16.0,1,1,0.39604566647101164,0.39604566647101186
2016-08-20,air_152c1f08d7d20e07,0,0,1,0,0,0,0,1.9210445728467191,2.1047062749975165,0.0,1.8729994060528465,1.733296076622118,1,21.0,1,1,0.26594346731653484,0.26594346731653506
2016-08-26,air_152c1f08d7d20e07,1,0,0,0,0,0,0,1.63652520834095,1.8651845676954455,0.0,0.1006988927985402,1.6524089263797523,1,4.0,1,1,0.7258300383784038,0.7258300383784041
2016-08-27,air_152c1f08d7d20e07,0,0,1,0,0,0,0,1.4112807114405492,1.4819498360121317,0.0,-0.29949799729114185,1.5137452402499831,1,11.0,1,1,0.7954100119768424,0.7954100119768426
2016-09-02,air_152c1f08d7d20e07,1,0,0,0,0,0,0,1.3638608173562543,1.4579976652819246,0.0,0.32938282999264423,1.2133072536354825,1,9.0,1,1,0.19059947223656884,0.19059947223656906
2016-09-03,air_152c1f08d7d20e07,0,0,1,0,0,0,0,1.494265526088065,1.5777585189329606,0.0,-0.27091250514187887,1.236417867990444,1,12.0,1,1,0.833699583246989,0.8336995832469892
2016-09-10,air_152c1f08d7d20e07,0,0,1,0,0,0,0,1.2571660556665907,1.3502128969959928,0.0,0.1864553692463292,1.0977541818606746,1,30.0,1,1,1.1013148663179064,1.1013148663179066
2016-09-15,air_152c1f08d7d20e07,0,0,0,0,1,0,0,1.3638608173562543,1.3621889823610962,0.0,-0.699694887380824,1.3981921684751752,1,6.0,1,1,-0.5677810684044003,-0.5677810684044002
2016-09-16,air_152c1f08d7d20e07,1,0,0,0,0,0,0,1.423135684961623,1.4340454945517176,0.0,-0.528181934485246,1.455968704362579,1,5.0,1,1,0.4656256400694502,0.4656256400694504
2016-09-17,air_152c1f08d7d20e07,0,0,1,0,0,0,0,1.423135684961623,1.3741650677261998,0.0,-0.47101095018671996,1.4328580900076173,1,17.0,1,1,0.9749181095444116,0.9749181095444118
2016-09-18,air_152c1f08d7d20e07,0,0,0,1,0,0,0,1.2571660556665907,0.8831455677569542,0.0,-1.3285757146646102,1.4790793187175406,1,11.0,1,1,-0.3228101554394836,-0.32281015543948344
