visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Taitō-ku Asakusa,total_area_visitors,total_genre_visitors
2016-07-01,air_ea6d0c3acf00b22a,1,0,0,0,0,0,0,1.0802738211030767,1.1511815451124878,0.0,-0.1965138816412851,1.0282977222006087,1,13.0,1,1,1.3145012882899676,1.3145012882899674
2016-07-02,air_ea6d0c3acf00b22a,0,0,1,0,0,0,0,1.2423176370548605,1.2907387447785235,0.0,0.4718360381896493,1.1828667976830327,1,41.0,1,1,1.4602397260526587,1.4602397260526587
2016-07-03,air_ea6d0c3acf00b22a,0,0,0,1,0,0,0,1.4969579192648073,1.70941034377663,0.0,0.6589740157423107,1.315354576667968,1,17.0,1,1,-0.35939880668295343,-0.35939880668295365
2016-07-04,air_ea6d0c3acf00b22a,0,1,0,0,0,0,0,1.3349141033130232,1.5233340775552489,0.0,0.525304031776124,1.2049480941805222,1,22.0,1,1,-1.0664742894167762,-1.0664742894167765
2016-07-05,air_ea6d0c3acf00b22a,0,0,0,0,0,1,0,0.6288660480945345,0.5696932131706731,0.0,-1.3728097405437298,0.8295660537232062,1,19.0,1,1,-0.45527935784261875,-0.45527935784261897
2016-07-07,air_ea6d0c3acf00b22a,0,0,0,0,1,0,0,1.2886158701839416,1.860597310081502,0.0,2.0491418489906548,1.017257073951864,1,5.0,1,1,-0.09546579858162012,-0.09546579858162033
2016-07-08,air_ea6d0c3acf00b22a,1,0,0,0,0,0,0,1.0455501462562655,1.0581434120017974,0.0,-0.8113958078857448,1.0393383704493535,1,12.0,1,1,1.125529438368009,1.1255294383680088
2016-07-09,air_ea6d0c3acf00b22a,0,0,1,0,0,0,0,0.7098879560704265,0.4882848466988187,0.0,-1.3728097405437298,0.840606701971951,1,34.0,1,1,1.4041060215555456,1.4041060215555456
2016-07-10,air_ea6d0c3acf00b22a,0,0,0,1,0,0,0,1.0802738211030767,1.232589911584342,0.0,1.7550678842650431,0.8295660537232062,1,54.0,1,1,-0.21226574272157606,-0.21226574272157628
2016-07-11,air_ea6d0c3acf00b22a,0,1,0,0,0,0,0,1.3580632198775637,1.4884447776387404,0.0,1.9689398586109423,1.0614196669468425,1,18.0,1,1,-1.112845610523087,-1.1128456105230875
