visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-01-05,air_5ed3198e4a5eed0f,0,0,0,0,0,1,0,-0.5452521329339985,-0.537920271726497,0.0,0.7510341252495703,-0.7546184353545182,1,21.0,1,1,-1.467189718381938,-1.467189718381938
2016-01-06,air_5ed3198e4a5eed0f,0,0,0,0,0,0,1,-0.7947110916381784,-1.0472391164188897,0.0,-1.3252244313666361,-0.5183942908965096,1,13.0,1,1,-1.404649568765518,-1.404649568765518
2016-01-07,air_5ed3198e4a5eed0f,0,0,0,0,1,0,0,-0.8196569875085965,-0.848480542880395,0.0,-0.13879097044308972,-0.8254856786919207,1,21.0,1,1,-1.3371655338039263,-1.3371655338039263
2016-01-08,air_5ed3198e4a5eed0f,1,0,0,0,0,0,0,-1.0566429982775674,-1.0969287598035133,0.0,0.8251862165572916,-0.9908425798125268,1,11.0,1,1,-1.011116295289863,-1.011116295289863
2016-01-09,air_5ed3198e4a5eed0f,0,0,1,0,0,0,0,-0.9942782586015223,-1.009971883880422,0.0,0.8746209440957731,-1.0262762014812281,1,26.0,1,1,-0.7594725312206311,-0.7594725312206311
2016-01-12,air_5ed3198e4a5eed0f,0,0,0,0,0,1,0,-1.480723228074673,-1.6932044804189974,0.0,-1.3252244313666361,-1.2506891387163361,1,18.0,1,1,-1.4432118744578561,-1.4432118744578561
2016-01-13,air_5ed3198e4a5eed0f,0,0,0,0,0,0,1,-1.368466696657792,-1.2459976899573844,0.0,0.8251862165572916,-1.4632908687285442,1,22.0,1,1,-1.24446768358196,-1.24446768358196
2016-01-14,air_5ed3198e4a5eed0f,0,0,0,0,1,0,0,-1.1564265817592392,-1.0348167055727338,0.0,0.924055671634254,-1.3333675892766395,1,32.0,1,1,-1.1542417760325792,-1.1542417760325792
2016-01-15,air_5ed3198e4a5eed0f,1,0,0,0,0,0,0,-1.206318373500075,-1.0969287598035133,0.0,0.6768820339418484,-1.1207658592644316,1,16.0,1,1,-0.8852944132552469,-0.8852944132552469
2016-01-16,air_5ed3198e4a5eed0f,0,0,1,0,0,0,0,-1.0940618420831942,-0.98512706218811,0.0,0.924055671634254,-1.1443882737102322,1,32.0,1,1,-0.7416745439780135,-0.7416745439780135
