visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Yakiniku/Korean food,Miyagi-ken Sendai-shi Kamisugi,total_area_visitors,total_genre_visitors
2016-01-15,air_6c952e3c6e590945,1,0,0,0,0,0,0,-1.3776356579434001,-1.3225224264257538,0.0,-0.3858017957408393,-1.2152815406338797,1,18.0,1,1,-0.8278675680873543,-0.8278675680873544
2016-01-16,air_6c952e3c6e590945,0,0,1,0,0,0,0,-1.4713774161506845,-1.4361032310596797,0.0,-0.43847681109394665,-1.3180861038419915,1,11.0,1,1,-0.6780056266929857,-0.6780056266929858
2016-01-17,air_6c952e3c6e590945,0,0,0,1,0,0,0,-1.2956116195120262,-1.2770901045721834,0.0,-0.01707668826908713,-1.3980452085594117,1,6.0,1,1,-1.2906082270572292,-1.2906082270572294
2016-01-18,air_6c952e3c6e590945,0,1,0,0,0,0,0,-1.2838938997361156,-1.4133870701328948,0.0,-1.3866270874498805,-1.146745165161805,1,15.0,1,1,-1.578466964744175,-1.5784669647441751
2016-01-19,air_6c952e3c6e590945,0,0,0,0,0,1,0,-1.1784344217529206,-1.2770901045721834,0.0,-0.965226964625021,-1.0325178727083475,1,9.0,1,1,-1.3383267454013914,-1.3383267454013916
2016-01-20,air_6c952e3c6e590945,0,0,0,0,0,0,1,-1.2135875810806522,-1.2543739436453982,0.0,0.7467110343509705,-1.2723951868606083,1,17.0,1,1,-1.2114212803996196,-1.2114212803996198
2016-01-21,air_6c952e3c6e590945,0,0,0,0,1,0,0,-1.2253053008565629,-1.2998062654989686,0.0,-0.35946428806428554,-1.192436082143188,1,13.0,1,1,-1.0876110706417936,-1.0876110706417936
2016-01-22,air_6c952e3c6e590945,1,0,0,0,0,0,0,-1.3073293392879368,-1.2884481850355762,0.0,0.7203735266744169,-1.192436082143188,1,8.0,1,1,-0.7747323530662873,-0.7747323530662874
2016-01-23,air_6c952e3c6e590945,0,0,1,0,0,0,0,-1.3307647788397579,-1.4361032310596797,0.0,-1.2286020413905583,-1.2152815406338797,1,12.0,1,1,-0.7004462272115917,-0.7004462272115918
2016-01-24,air_6c952e3c6e590945,0,0,0,1,0,0,0,-1.5299660150302374,-1.6178325184739613,0.0,-0.043414195945640985,-1.3066633745966456,1,8.0,1,1,-1.4074541125161777,-1.4074541125161777
2016-01-25,air_6c952e3c6e590945,0,1,0,0,0,0,0,-1.5534014545820587,-1.6405486794007467,0.0,-0.09608921129874824,-1.4208906670501031,1,13.0,1,1,-1.4324740924047383,-1.4324740924047386
2016-01-26,air_6c952e3c6e590945,0,0,0,0,0,1,0,-1.16671670197701,-1.0726446562311167,0.0,0.7730485420275242,-1.3180861038419915,1,8.0,1,1,-1.2573342331848136,-1.2573342331848136
2016-01-27,air_6c952e3c6e590945,0,0,0,0,0,0,1,-0.9323623064587988,-0.8454830469632647,0.0,0.27263589617300366,-1.0439406019536934,1,7.0,1,1,-1.1036032227355128,-1.103603222735513
2016-01-28,air_6c952e3c6e590945,0,0,0,0,1,0,0,-0.9792331855624411,-0.8795572883534424,0.0,-0.35946428806428554,-1.0210951434630018,1,18.0,1,1,-1.109277857349413,-1.1092778573494133
