visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Tōkyō-to Minato-ku Akasaka,total_area_visitors,total_genre_visitors
2016-01-08,air_968d72c12eed09f0,1,0,0,0,0,0,0,-1.0473378256509307,-1.0964577974690746,0.0,0.8575968056367679,-0.9895711726018699,1,27.0,1,1,-0.9294099070260883,-0.9294099070260882
2016-01-09,air_968d72c12eed09f0,0,0,1,0,0,0,0,-0.9843278868913045,-1.008386922105842,0.0,0.9069608471864045,-1.0255689858851107,1,31.0,1,1,-0.6735060980937139,-0.6735060980937138
2016-01-10,air_968d72c12eed09f0,0,0,0,1,0,0,0,-0.9087159603797526,-0.8448267250026951,0.0,0.9563248887360405,-1.0735660702627656,1,2.0,1,1,-0.9568102166269024,-0.9568102166269022
2016-01-12,air_968d72c12eed09f0,0,0,0,0,0,1,0,-1.4758054092163908,-1.7003723713883856,0.0,-1.2897390017724104,-1.2535551366789708,1,8.0,1,1,-1.3688203765877685,-1.3688203765877682
2016-01-13,air_968d72c12eed09f0,0,0,0,0,0,0,1,-1.3623875194490631,-1.2474364409489025,0.0,0.8575968056367679,-1.469542016378417,1,23.0,1,1,-1.1667116709083687,-1.1667116709083685
2016-01-14,air_968d72c12eed09f0,0,0,0,0,1,0,0,-1.1481537276663332,-1.0335500293524797,0.0,0.9563248887360405,-1.3375500343398665,1,28.0,1,1,-1.0749583405937158,-1.0749583405937155
2016-01-15,air_968d72c12eed09f0,1,0,0,0,0,0,0,-1.1985616786740345,-1.0964577974690746,0.0,0.7095046809878591,-1.1215631546404203,1,24.0,1,1,-0.8014580025599011,-0.801458002559901
2016-01-16,air_968d72c12eed09f0,0,0,1,0,0,0,0,-1.0851437889067068,-0.9832238148592037,0.0,0.9563248887360405,-1.1455616968292475,1,9.0,1,1,-0.6554068110179467,-0.6554068110179466
2016-01-18,air_968d72c12eed09f0,0,1,0,0,0,0,0,-1.5514173357279426,-1.6877908177650667,0.0,-0.9441907109249565,-1.3375500343398665,1,19.0,1,1,-1.53297085520549,-1.5329708552054897
2016-01-19,air_968d72c12eed09f0,0,0,0,0,0,1,0,-1.2615716174336609,-1.385833530805411,0.0,0.9563248887360405,-1.2535551366789708,1,13.0,1,1,-1.298937018156334,-1.298937018156334
2016-01-20,air_968d72c12eed09f0,0,0,0,0,0,0,1,-1.3875914949529138,-1.3229257626888162,0.0,0.9810069095108586,-1.4455434741895894,1,15.0,1,1,-1.1752585564719253,-1.1752585564719251
2016-01-21,air_968d72c12eed09f0,0,0,0,0,1,0,0,-1.223765654177885,-1.2725995481955403,0.0,0.5367305355641323,-1.241555865584557,1,9.0,1,1,-1.0545966426334776,-1.0545966426334776
2016-01-22,air_968d72c12eed09f0,1,0,0,0,0,0,0,-1.1733577031701836,-1.1719471192089885,0.0,0.7095046809878591,-1.0015704436962836,1,26.0,1,1,-0.749673931204234,-0.7496739312042339
2016-01-23,air_968d72c12eed09f0,0,0,1,0,0,0,0,-1.4127954704567642,-1.6626277105184286,0.0,-1.240374960222774,-1.0495675280739383,1,20.0,1,1,-0.6772767829011654,-0.6772767829011652
2016-01-25,air_968d72c12eed09f0,0,1,0,0,0,0,0,-1.5388153479760174,-1.4109966380520491,0.0,1.0797349926101312,-1.6735296249834495,1,18.0,1,1,-1.390690348470987,-1.390690348470987
2016-01-26,air_968d72c12eed09f0,0,0,0,0,0,1,0,-1.4253974582086897,-1.2600179945722214,0.0,0.8329147848619498,-1.5175391007560717,1,25.0,1,1,-1.2200040161870163,-1.2200040161870163
2016-01-27,air_968d72c12eed09f0,0,0,0,0,0,0,1,-1.1103477644105573,-0.7819189568861002,0.0,1.030370951060495,-1.4935405585672443,1,20.0,1,1,-1.0701821398376106,-1.0701821398376103
2016-01-28,air_968d72c12eed09f0,0,0,0,0,1,0,0,-0.921317948131678,-0.7064296351461864,0.0,1.030370951060495,-1.1095638835460067,1,22.0,1,1,-1.075712477555206,-1.0757124775552058
2016-01-29,air_968d72c12eed09f0,1,0,0,0,0,0,0,-1.223765654177885,-1.4864859597919629,0.0,-1.2897390017724104,-1.0495675280739383,1,26.0,1,1,-0.9344374867693569,-0.9344374867693568
2016-01-30,air_968d72c12eed09f0,0,0,1,0,0,0,0,-1.488407396968316,-1.8387694612448942,0.0,-1.2897390017724104,-1.1815595101124887,1,19.0,1,1,-0.6365533869806893,-0.6365533869806892
2016-02-01,air_968d72c12eed09f0,0,1,0,0,0,0,0,-1.3119795684413622,-1.6248830496484719,0.0,-1.2897390017724104,-1.0495675280739383,1,20.0,1,1,-1.4361899451475684,-1.4361899451475681
2016-02-02,air_968d72c12eed09f0,0,0,0,0,0,1,0,-1.1481537276663332,-1.1216209047157126,0.0,0.8082327640871317,-1.0495675280739383,1,6.0,1,1,-1.2898873746184505,-1.2898873746184505
2016-02-03,air_968d72c12eed09f0,0,0,0,0,0,0,1,-1.274173605185586,-1.3103442090654973,0.0,0.46268447323967765,-1.1815595101124887,1,18.0,1,1,-1.2159819523924014,-1.2159819523924011
2016-02-04,air_968d72c12eed09f0,0,0,0,0,1,0,0,-1.2615716174336609,-1.2725995481955403,0.0,0.1665002239418601,-1.2295565944901434,1,3.0,1,1,-1.1787778622922134,-1.1787778622922132
2016-02-05,air_968d72c12eed09f0,1,0,0,0,0,0,0,-0.9591239113874538,-0.7945005105094192,0.0,0.9316428679612225,-1.2895529499622118,1,26.0,1,1,-0.8092507511619675,-0.8092507511619673
2016-02-06,air_968d72c12eed09f0,0,0,1,0,0,0,0,-1.0599398134028564,-1.2222733337022644,0.0,-1.042918794024229,-0.833580648374492,1,12.0,1,1,-0.5887913794196371,-0.588791379419637
2016-02-07,air_968d72c12eed09f0,0,0,0,1,0,0,0,-1.274173605185586,-1.2851811018188593,0.0,0.9069608471864045,-1.1815595101124887,1,9.0,1,1,-1.1921009486118752,-1.1921009486118752
2016-02-08,air_968d72c12eed09f0,0,1,0,0,0,0,0,-1.3497855316971379,-1.2977626554421782,0.0,0.06777214084258744,-1.2055580523013159,1,31.0,1,1,-1.3854113897405549,-1.3854113897405547
2016-02-09,air_968d72c12eed09f0,0,0,0,0,0,1,0,-1.0725418011547816,-0.6183587597829536,0.0,0.8329147848619498,-1.2895529499622118,1,15.0,1,1,-1.1702309767286567,-1.1702309767286565
2016-02-10,air_968d72c12eed09f0,0,0,0,0,0,0,1,-1.1481537276663332,-1.1090393510923935,0.0,1.153781054934586,-1.169560239018075,1,7.0,1,1,-0.850225526069607,-0.8502255260696069
2016-02-11,air_968d72c12eed09f0,0,0,0,0,1,0,0,-1.1481537276663332,-1.0209684757291608,1.0,1.153781054934586,-1.1575609679236614,1,45.0,1,1,-0.9226226743726755,-0.9226226743726754
2016-02-12,air_968d72c12eed09f0,1,0,0,0,0,0,0,-0.9969298746432297,-0.9706422612358848,0.0,-0.6973705031767751,-1.1815595101124887,1,12.0,1,1,-0.867067918209557,-0.8670679182095569
2016-02-13,air_968d72c12eed09f0,0,0,1,0,0,0,0,-0.13999470751230975,0.2749315474726938,0.0,-0.15436604613077595,-0.36560907569235845,1,34.0,1,1,-0.6795391937856363,-0.6795391937856362
2016-02-15,air_968d72c12eed09f0,0,1,0,0,0,0,0,-0.8835119848759021,-0.5177063307964017,0.0,-1.191010918673138,-0.9775719015074562,1,8.0,1,1,-1.388930695560843,-1.388930695560843
2016-02-16,air_968d72c12eed09f0,0,0,0,0,0,1,0,-1.1985616786740345,-1.2096917800789455,0.0,1.030370951060495,-1.2175573233957298,1,9.0,1,1,-1.230310554660717,-1.230310554660717
2016-02-17,air_968d72c12eed09f0,0,0,0,0,0,0,1,-1.1229497521624827,-0.7819189568861002,0.0,0.8082327640871317,-1.2055580523013159,1,29.0,1,1,-1.0633949071841977,-1.0633949071841977
2016-02-18,air_968d72c12eed09f0,0,0,0,0,1,0,0,-1.1229497521624827,-1.1216209047157126,0.0,0.3886384109152233,-1.2295565944901434,1,26.0,1,1,-1.0729473086964083,-1.072947308696408
2016-02-19,air_968d72c12eed09f0,1,0,0,0,0,0,0,-0.6818801808450975,-0.391890794563212,0.0,1.005688930285677,-1.0735660702627656,1,20.0,1,1,-0.7577180587934639,-0.7577180587934637
2016-02-20,air_968d72c12eed09f0,0,0,1,0,0,0,0,-0.8961139726278273,-1.0587131365991178,0.0,-1.1416468771235018,-0.5815959553918048,1,15.0,1,1,-0.7914028430733638,-0.7914028430733636
2016-02-22,air_968d72c12eed09f0,0,1,0,0,0,0,0,-1.0599398134028564,-1.2348548873255834,0.0,-1.1663288978983197,-0.7735842929024236,1,23.0,1,1,-1.376110367215508,-1.3761103672155077
2016-02-23,air_968d72c12eed09f0,0,0,0,0,0,1,0,-1.0599398134028564,-1.2096917800789455,0.0,-1.2650569809975925,-0.7735842929024236,1,31.0,1,1,-1.1624382281265901,-1.1624382281265901
2016-02-24,air_968d72c12eed09f0,0,0,0,0,0,0,1,-1.1733577031701836,-1.499067513415282,0.0,-1.2650569809975925,-1.061566799168352,1,12.0,1,1,-1.1189496633473164,-1.1189496633473162
2016-02-25,air_968d72c12eed09f0,0,0,0,0,1,0,0,-1.4253974582086897,-1.4109966380520491,0.0,-0.7960985862760476,-1.3135514921510392,1,10.0,1,1,-1.015884278610309,-1.0158842786103088
2016-02-26,air_968d72c12eed09f0,1,0,0,0,0,0,0,-1.1733577031701836,-1.0335500293524797,0.0,1.3018731795834946,-1.3495493054342802,1,49.0,1,1,-0.6106613513028558,-0.6106613513028556
2016-02-27,air_968d72c12eed09f0,0,0,1,0,0,0,0,-0.921317948131678,-0.8951529394959711,0.0,1.3018731795834946,-1.0375682569795246,1,7.0,1,1,-0.4444998407878269,-0.4444998407878267
2016-02-29,air_968d72c12eed09f0,0,1,0,0,0,0,0,-0.8583080093720514,-0.6057772061596345,0.0,-0.7714165655012294,-0.7855835639968373,1,29.0,1,1,-1.3288511176287825,-1.3288511176287825
2016-03-01,air_968d72c12eed09f0,0,0,0,0,0,1,0,-1.2489696296817356,-1.1719471192089885,0.0,1.4006012626827673,-1.1095638835460067,1,9.0,1,1,-1.22100953213567,-1.22100953213567
2016-03-02,air_968d72c12eed09f0,0,0,0,0,0,0,1,-1.1103477644105573,-0.90773449311929,0.0,0.8575968056367679,-1.2295565944901434,1,16.0,1,1,-1.092554869695156,-1.092554869695156
2016-03-03,air_968d72c12eed09f0,0,0,0,0,1,0,0,-0.744890119604724,-0.40447234818653116,0.0,1.3759192419079493,-1.085565341357179,1,10.0,1,1,-1.1091458828479426,-1.1091458828479424
2016-03-04,air_968d72c12eed09f0,1,0,0,0,0,0,0,-0.5936662665816202,-0.4673801163031258,0.0,1.1044170133849494,-0.6895893952415278,1,8.0,1,1,-0.7403729086791869,-0.7403729086791868
2016-03-05,air_968d72c12eed09f0,0,0,1,0,0,0,0,-0.5558603033258446,-0.41705390180984986,0.0,-0.6480064616271387,-0.43760470225884057,1,30.0,1,1,-0.5196621579496932,-0.5196621579496931
2016-03-07,air_968d72c12eed09f0,0,1,0,0,0,0,0,-0.1273927197603845,-0.5177063307964017,0.0,-1.2897390017724104,0.17435812355625707,1,7.0,1,1,-1.4321678813529533,-1.4321678813529533
2016-03-08,air_968d72c12eed09f0,0,0,0,0,0,1,0,0.08684107202234562,0.14911601123950405,0.0,0.7095046809878591,0.1623588524618432,1,24.0,1,1,-1.100096239310059,-1.1000962393100588
2016-03-09,air_968d72c12eed09f0,0,0,0,0,0,0,1,-0.8079000583643504,-0.5931956525363156,0.0,-1.2897390017724104,-0.905576274940974,1,7.0,1,1,-1.1460985939609671,-1.146098593960967
2016-03-10,air_968d72c12eed09f0,0,0,0,0,1,0,0,-1.135551739914408,-1.3984150844287302,0.0,-1.2897390017724104,-0.9295748171298015,1,8.0,1,1,-1.0266935750583366,-1.0266935750583366
2016-03-11,air_968d72c12eed09f0,1,0,0,0,0,0,0,-1.3245815561932874,-1.7003723713883856,0.0,-1.2897390017724104,-1.0015704436962836,1,25.0,1,1,-0.6911026271951543,-0.691102627195154
2016-03-12,air_968d72c12eed09f0,0,0,1,0,0,0,0,-1.1733577031701836,-1.4109966380520491,0.0,-0.9441907109249565,-1.013569714790697,1,26.0,1,1,-0.5028197658097432,-0.5028197658097431
2016-03-14,air_968d72c12eed09f0,0,1,0,0,0,0,0,-1.1859596909221093,-1.5997199424018336,0.0,-1.2897390017724104,-0.8935770038465604,1,22.0,1,1,-1.3243262958598407,-1.3243262958598407
2016-03-15,air_968d72c12eed09f0,0,0,0,0,0,1,0,-0.8835119848759021,-0.6938480815228675,0.0,1.524011366556858,-0.8815777327521467,1,22.0,1,1,-1.05183147377468,-1.0518314737746797
2016-03-16,air_968d72c12eed09f0,0,0,0,0,0,0,1,-0.8079000583643504,-0.7190111887695053,0.0,-0.6973705031767751,-1.013569714790697,1,24.0,1,1,-0.9633460702931517,-0.9633460702931516
2016-03-17,air_968d72c12eed09f0,0,0,0,0,1,0,0,-0.25341259727963744,0.09878979674622788,0.0,1.524011366556858,-0.5935952264862184,1,12.0,1,1,-0.9163381996935898,-0.9163381996935897
2016-03-18,air_968d72c12eed09f0,1,0,0,0,0,0,0,-0.03917880549690732,0.22460533297941765,0.0,0.5860945771137683,-0.44960397335325436,1,47.0,1,1,-0.5442972986917096,-0.5442972986917094
2016-03-19,air_968d72c12eed09f0,0,0,1,0,0,0,0,-0.026576817744982068,-0.3667276873165741,0.0,-0.8207806070508658,0.2703522923115664,1,27.0,1,1,-0.5269521485774328,-0.5269521485774326
2016-03-20,air_968d72c12eed09f0,0,0,0,1,0,0,0,-0.21560663402386146,-0.0773519539802376,1.0,-0.006273921481866953,-0.36560907569235845,1,8.0,1,1,-0.7373563608332258,-0.7373563608332256
2016-03-22,air_968d72c12eed09f0,0,0,0,0,0,1,0,-0.5180543400700686,-0.2660752583300222,0.0,0.8822788264115864,-0.7135879374303552,1,39.0,1,1,-1.047809409980065,-1.0478094099800648
2016-03-23,air_968d72c12eed09f0,0,0,0,0,0,0,1,-0.4550444013104421,-0.20316749021342737,0.0,0.1665002239418601,-0.461603244447668,1,20.0,1,1,-0.9475091941018554,-0.9475091941018553
2016-03-24,air_968d72c12eed09f0,0,0,0,0,1,0,0,-1.1103477644105573,-1.2725995481955403,0.0,-0.9195086901501384,-0.8695784616577331,1,18.0,1,1,-1.0065832560852621,-1.006583256085262
2016-03-25,air_968d72c12eed09f0,1,0,0,0,0,0,0,-0.8835119848759021,-0.6561034206529105,0.0,0.9810069095108586,-1.061566799168352,1,23.0,1,1,-0.40729575068763885,-0.4072957506876387
2016-03-26,air_968d72c12eed09f0,0,0,1,0,0,0,0,-0.8961139726278273,-0.8951529394959711,0.0,0.2405462862663145,-0.7495857507135963,1,50.0,1,1,-0.4130774673923978,-0.41307746739239765
2016-03-28,air_968d72c12eed09f0,0,1,0,0,0,0,0,-0.4802483768142926,-0.354146133693255,0.0,-0.5986424200775025,-0.2816141780314628,1,22.0,1,1,-1.083253847170109,-1.0832538471701088
2016-03-29,air_968d72c12eed09f0,0,0,0,0,0,1,0,-0.26601458503156267,-0.12767816847351332,0.0,1.1290990341597678,-0.4736025155420816,1,25.0,1,1,-0.8105076460977847,-0.8105076460977845
2016-03-30,air_968d72c12eed09f0,0,0,0,0,0,0,1,-0.026576817744982068,0.048463582252952164,0.0,-0.4011862538789573,-0.23361709365380803,1,32.0,1,1,-0.8952223647718615,-0.8952223647718612
2016-03-31,air_968d72c12eed09f0,0,0,0,0,1,0,0,-0.026576817744982068,0.07362668949959003,0.0,0.9563248887360405,-0.29361344912587645,1,16.0,1,1,-0.8597779275818175,-0.8597779275818173
2016-04-01,air_968d72c12eed09f0,1,0,0,0,0,0,0,-0.2912185605354132,-0.15284127572015163,0.0,-0.22841210845523033,-0.3896076178811859,1,16.0,1,1,-0.654401295069293,-0.6544012950692929
2016-04-02,air_968d72c12eed09f0,0,0,1,0,0,0,0,-0.581064278829695,-0.7945005105094192,0.0,-1.2897390017724104,-0.43760470225884057,1,28.0,1,1,-0.6714950661964064,-0.6714950661964063
2016-04-04,air_968d72c12eed09f0,0,1,0,0,0,0,0,0.061637096518494895,0.2875131010960125,0.0,-1.1169648563486834,-0.19761928037056714,1,15.0,1,1,-1.3042159768867663,-1.304215976886766
2016-04-05,air_968d72c12eed09f0,0,0,0,0,0,1,0,-0.543258315573919,-0.857408278626014,0.0,-1.2897390017724104,-0.26961490693704915,1,17.0,1,1,-1.1011017552587128,-1.1011017552587126
2016-04-06,air_968d72c12eed09f0,0,0,0,0,0,0,1,-0.06438278100075803,0.07362668949959003,0.0,0.7588687225374956,-0.48560178663649534,1,16.0,1,1,-1.0344863236604032,-1.034486323660403
2016-04-07,air_968d72c12eed09f0,0,0,0,0,1,0,0,-0.16519868301616025,0.06104513587627132,0.0,-1.1663288978983197,0.05436541261212028,1,2.0,1,1,-1.1496178997812552,-1.149617899781255
2016-04-08,air_968d72c12eed09f0,1,0,0,0,0,0,0,0.12464703527812158,0.4133286373292023,0.0,-0.20373008768041206,0.01836759932887916,1,20.0,1,1,-0.5945730961243961,-0.5945730961243959
2016-04-09,air_968d72c12eed09f0,0,0,1,0,0,0,0,0.2506669127973745,0.48881795906911635,0.0,0.5614125563389503,-0.05362802723760287,1,18.0,1,1,-0.5028197658097432,-0.5028197658097431
2016-04-11,air_968d72c12eed09f0,0,1,0,0,0,0,0,-0.4424424135585168,-0.31640147282329795,0.0,0.2405462862663145,-0.4736025155420816,1,11.0,1,1,-1.3263373277571482,-1.3263373277571482
2016-04-12,air_968d72c12eed09f0,0,0,0,0,0,1,0,-0.581064278829695,-0.5680325452896777,0.0,1.524011366556858,-0.7495857507135963,1,20.0,1,1,-1.1639465020495707,-1.1639465020495707
2016-04-13,air_968d72c12eed09f0,0,0,0,0,0,0,1,-0.08958675650460854,-0.0773519539802376,0.0,-1.1169648563486834,-0.08962584052084399,1,18.0,1,1,-1.0764666145166963,-1.0764666145166961
2016-04-14,air_968d72c12eed09f0,0,0,0,0,1,0,0,-0.01397482999305682,-0.25349370470670307,0.0,-1.2897390017724104,0.21035593683949796,1,16.0,1,1,-1.0435359671982867,-1.0435359671982865
2016-04-15,air_968d72c12eed09f0,1,0,0,0,0,0,0,0.14985101078197208,0.22460533297941765,0.0,1.6967855119805848,-0.041628756143189234,1,16.0,1,1,-0.6222247847123736,-0.6222247847123735
2016-04-16,air_968d72c12eed09f0,0,0,1,0,0,0,0,0.08684107202234562,0.16169756486282277,0.0,-0.3271401915545029,-0.14962219599291238,1,39.0,1,1,-0.4077985086619657,-0.40779850866196554
2016-04-18,air_968d72c12eed09f0,0,1,0,0,0,0,0,0.47750269233202947,0.9040092286386426,0.0,0.41332043169004157,0.29435083450039384,1,30.0,1,1,-1.4153254892130034,-1.4153254892130032
