visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Other,Ōsaka-fu Ōsaka-shi Ōgimachi,total_area_visitors,total_genre_visitors
2016-01-05,air_3caef3f76b8f26c5,0,0,0,0,0,1,0,-0.70930352871199,-0.9270634444302496,0.0,-0.9350965027864504,-0.6830697414282445,1,8.0,1,1,-1.383874824386994,-1.383874824386994
2016-01-06,air_3caef3f76b8f26c5,0,0,0,0,0,0,1,-0.7209810868066385,-0.7502940727560473,0.0,-0.756494815337266,-0.5902124682906326,1,5.0,1,1,-1.3207002500172178,-1.3207002500172178
2016-01-07,air_3caef3f76b8f26c5,0,0,0,0,1,0,0,-0.8377566677531247,-0.9270634444302496,0.0,-0.9350965027864504,-0.6482482640016399,1,14.0,1,1,-1.2525316381478546,-1.2525316381478546
2016-01-08,air_3caef3f76b8f26c5,1,0,0,0,0,0,0,-0.9078220163210163,-1.0817366446451766,0.0,-0.9606110295649053,-0.8571771285612667,1,27.0,1,1,-0.9231748650500887,-0.9231748650500887
2016-01-09,air_3caef3f76b8f26c5,0,0,1,0,0,0,0,-1.012920039172854,-1.070688558915539,0.0,0.9529784788192137,-1.077713152263095,1,19.0,1,1,-0.6689783563211078,-0.6689783563211078
2016-01-11,air_3caef3f76b8f26c5,0,1,0,0,0,0,0,-0.9545322486996108,-0.9712557873488002,1.0,-0.24620427976816758,-1.031284515694289,1,19.0,1,1,-1.3067169450183742,-1.3067169450183742
2016-01-12,air_3caef3f76b8f26c5,0,0,0,0,0,1,0,-1.0362751553621514,-1.1148809018340895,0.0,0.16202814868711127,-1.0428916748364903,1,21.0,1,1,-1.359653742513997,-1.359653742513997
2016-01-13,air_3caef3f76b8f26c5,0,0,0,0,0,0,1,-1.2698263172551236,-1.2032655876711909,0.0,-0.6034076546665365,-1.1589632662585052,1,16.0,1,1,-1.1588934350305975,-1.1588934350305975
2016-01-14,air_3caef3f76b8f26c5,0,0,0,0,1,0,0,-1.1413731782139886,-1.1480251590230026,0.0,0.03445551479483666,-1.182177584542908,1,8.0,1,1,-1.0677522506631338,-1.0677522506631338
2016-01-15,air_3caef3f76b8f26c5,1,0,0,0,0,0,0,-1.1530507363086375,-1.1590732447526402,0.0,0.7233477378131193,-1.1473561071163036,1,26.0,1,1,-0.7960766106855982,-0.7960766106855982
