visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,total_area_visitors,total_genre_visitors
2016-07-02,air_9387ff95e886ebc7,0,0,1,0,0,0,0,1.307869513721337,1.5833864421271326,0.0,-0.5925558092470139,1.2642437808067166,1,10.0,1,1,1.4624900519111461,1.4624900519111463
2016-07-03,air_9387ff95e886ebc7,0,0,0,1,0,0,0,0.8318997222403592,0.5454294828487429,0.0,-1.0417957948621916,1.0758018354253458,1,11.0,1,1,-0.6054449975720201,-0.6054449975720199
2016-07-04,air_9387ff95e886ebc7,0,1,0,0,0,0,0,0.8318997222403592,0.6951348135138953,0.0,-1.0417957948621916,0.9501738718377649,1,3.0,1,1,-1.4090035874075941,-1.409003587407594
2016-07-05,air_9387ff95e886ebc7,0,0,0,0,0,1,0,0.7180808590601256,0.6053116151148037,0.0,-0.9669224639263286,0.9397048748721334,1,5.0,1,1,-0.714408810296272,-0.7144088102962718
2016-07-07,air_9387ff95e886ebc7,0,0,0,0,1,0,0,0.7905110447202743,0.6252723258701576,0.0,-0.9669224639263286,0.992049859700292,1,10.0,1,1,-0.3054973385456249,-0.3054973385456246
2016-07-08,air_9387ff95e886ebc7,1,0,0,0,0,0,0,0.8732883997604445,0.7849580119129865,0.0,-0.5426402552897718,0.9082978839752381,1,2.0,1,1,1.0821072874919395,1.0821072874919395
2016-07-09,air_9387ff95e886ebc7,0,0,1,0,0,0,0,0.8732883997604445,0.7949383672906635,0.0,-0.9419646869477076,1.1072088263222408,1,9.0,1,1,1.398696692461675,1.398696692461675
2016-07-10,air_9387ff95e886ebc7,0,0,0,1,0,0,0,1.0078016017007205,1.0045258302218765,0.0,0.9548263634274874,1.1281468202535045,1,16.0,1,1,-0.4382350740460772,-0.4382350740460769
2016-07-12,air_9387ff95e886ebc7,0,0,0,0,0,1,0,0.9560657548006142,0.9147026318227853,0.0,2.402377428187505,0.8350149052158161,1,3.0,1,1,-0.6985595284454718,-0.6985595284454714
2016-07-13,air_9387ff95e886ebc7,0,0,0,0,0,0,1,0.9250242466605507,0.7450365904022794,0.0,-1.0168380178835708,1.0025188566659236,1,16.0,1,1,-0.6220867435153604,-0.6220867435153601
2016-07-14,air_9387ff95e886ebc7,0,0,0,0,1,0,0,1.0284959404607632,0.8747812103120781,0.0,-0.9419646869477076,1.1909608020472946,1,17.0,1,1,-0.3938570848638364,-0.39385708486383614
2016-07-15,air_9387ff95e886ebc7,1,0,0,0,0,0,0,0.9353714160405717,0.8648008549344012,0.0,0.3059241619833418,0.9711118657690286,1,1.0,1,1,0.8578399493031156,0.8578399493031157
