visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Hiroshima-ken Hiroshima-shi Kokutaijimachi,total_area_visitors,total_genre_visitors
2016-09-06,air_0867f7bebad6a649,0,0,0,0,0,1,0,1.9738721888288837,2.1704916505672736,0.0,0.18705178460060995,1.8059864123270453,1,2.0,1,1,-0.5866926513056919,-0.5866926513056918
2016-09-07,air_0867f7bebad6a649,0,0,0,0,0,0,1,1.9335712384529073,1.8109523188703498,0.0,-1.1835684414903915,1.9347514225296654,1,1.0,1,1,-0.49454482781994663,-0.49454482781994646
2016-09-08,air_0867f7bebad6a649,0,0,0,0,1,0,0,1.7186328364477002,1.7832954472013558,0.0,-0.10456954009960315,1.715850905185211,1,27.0,1,1,-0.35401050242662846,-0.3540105024266283
2016-09-09,air_0867f7bebad6a649,1,0,0,0,0,0,0,1.651464585821073,1.7556385755323618,0.0,1.8492933353918244,1.4711973858002325,1,11.0,1,1,0.8997691499431263,0.8997691499431265
2016-09-10,air_0867f7bebad6a649,0,0,1,0,0,0,0,1.651464585821073,1.7832954472013558,0.0,0.2745381820106738,1.4454443837597086,1,23.0,1,1,1.3843457352233777,1.3843457352233781
2016-09-11,air_0867f7bebad6a649,0,0,0,1,0,0,0,1.8395356875756295,1.9215798055463265,0.0,1.4410234808115263,1.6643449011041629,1,34.0,1,1,-0.26933412408837604,-0.26933412408837587
2016-09-12,air_0867f7bebad6a649,0,1,0,0,0,0,0,1.4365261838158663,1.1748442704834845,0.0,-1.2710548389004555,1.4840738868204948,1,16.0,1,1,-1.2363525960353094,-1.2363525960353094
2016-09-13,air_0867f7bebad6a649,0,0,0,0,0,1,0,1.651464585821073,1.7694670113668585,0.0,0.12872751966056728,1.4840738868204948,1,18.0,1,1,-0.7432372163007805,-0.7432372163007803
2016-09-14,air_0867f7bebad6a649,0,0,0,0,0,0,1,1.5977299853197713,1.3960992438354376,0.0,-1.0960820440803276,1.702974404164949,1,16.0,1,1,-0.3671744772103064,-0.3671744772103062
2016-09-15,air_0867f7bebad6a649,0,0,0,0,1,0,0,1.7723674369490021,1.7971238830358525,0.0,-0.6294879245599866,1.7802334102865214,1,26.0,1,1,-0.05799896134500645,-0.057998961345006275
2016-09-16,air_0867f7bebad6a649,1,0,0,0,0,0,0,1.8395356875756295,1.8800944980428351,0.0,-0.4545151297398589,1.8446159153878314,1,10.0,1,1,0.8350166253315215,0.8350166253315218
2016-09-17,air_0867f7bebad6a649,0,0,1,0,0,0,0,1.8395356875756295,1.8109523188703498,0.0,-0.39619086479981624,1.818862913347307,1,64.0,1,1,1.2751203228290773,1.2751203228290775
2016-09-18,air_0867f7bebad6a649,0,0,0,1,0,0,0,1.651464585821073,1.2439864496559698,0.0,-1.2710548389004555,1.8703689174283553,1,32.0,1,1,0.15369198450062468,0.15369198450062488
2016-09-19,air_0867f7bebad6a649,0,1,0,0,0,0,0,1.382791583314564,1.3131286288284552,1.0,-1.2710548389004555,1.3810618786583986,1,35.0,1,1,-1.239198860853402,-1.239198860853402
2016-09-20,air_0867f7bebad6a649,0,0,0,0,0,1,0,1.1006849306827302,0.9121039896280403,0.0,-1.0669199116103063,1.2651733694760405,1,4.0,1,1,-1.6999379782821287,-1.6999379782821284
