visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Hokkaidō Sapporo-shi Kotoni 2 Jō,total_area_visitors,total_genre_visitors
2016-01-07,air_7831b00996701c0f,0,0,0,0,1,0,0,-1.0337287388086926,-1.1579684389009477,0.0,-0.5466589123005924,-0.7938616099341985,1,26.0,1,1,-1.2990429358034552,-1.2990429358034552
2016-01-08,air_7831b00996701c0f,1,0,0,0,0,0,0,-1.0140119945084674,-1.1306813866732595,0.0,-0.9789008429568747,-0.8139204202634526,1,19.0,1,1,-0.9660092240577329,-0.9660092240577328
2016-01-09,air_7831b00996701c0f,0,0,1,0,0,0,0,-1.1224540881597072,-1.2853080159634938,0.0,-0.953474847035917,-0.9142144719097227,1,22.0,1,1,-0.7089748657884793,-0.7089748657884793
2016-01-10,air_7831b00996701c0f,0,0,0,1,0,0,0,-1.1816043210603833,-1.2307339115081168,0.0,-0.7754928755892124,-1.195037816519279,1,21.0,1,1,-0.9935305846189791,-0.993530584618979
2016-01-11,air_7831b00996701c0f,0,1,0,0,0,0,0,-1.4280636248132008,-1.4217432771019358,1.0,0.5212329163796345,-1.2853024630009224,1,3.0,1,1,-1.3538331673795143,-1.353833167379514
2016-01-12,air_7831b00996701c0f,0,0,0,0,0,1,0,-1.3984885083628629,-1.5399871700885857,0.0,-1.207734806245495,-1.245184842342414,1,6.0,1,1,-1.407360951223406,-1.4073609512234058
2016-01-13,air_7831b00996701c0f,0,0,0,0,0,0,1,-1.1816043210603833,-1.2125425433563248,0.0,-0.3686769408538879,-1.1850084113546522,1,11.0,1,1,-1.204359355890911,-1.204359355890911
2016-01-14,air_7831b00996701c0f,0,0,0,0,1,0,0,-1.1323124603098198,-1.0852029662937788,0.0,0.2923989530910146,-1.094743764873009,1,20.0,1,1,-1.1122006714427013,-1.1122006714427013
2016-01-15,air_7831b00996701c0f,1,0,0,0,0,0,0,-1.3886301362127502,-1.439934645253728,0.0,0.6483628959844235,-1.3254200836594303,1,20.0,1,1,-0.8374920449231061,-0.8374920449231061
2016-01-16,air_7831b00996701c0f,0,0,1,0,0,0,0,-1.260471298261285,-1.1852554911286362,0.0,0.08899098572335216,-1.3855965146471925,1,25.0,1,1,-0.6907956184452709,-0.6907956184452708
2016-01-17,air_7831b00996701c0f,0,0,0,1,0,0,0,-1.2703296704113975,-1.2216382274322208,0.0,0.06356498980239446,-1.3655377043179382,1,12.0,1,1,-1.290458291224718,-1.2904582912247178
2016-01-18,air_7831b00996701c0f,0,1,0,0,0,0,0,-1.3491966476122994,-1.303499384115286,0.0,-1.207734806245495,-1.4357435404703276,1,9.0,1,1,-1.5722366250444497,-1.5722366250444495
2016-01-20,air_7831b00996701c0f,0,0,0,0,0,0,1,-0.8168445515062133,-0.9578633892312328,0.0,-0.4449549286167612,-0.7236557737818095,1,18.0,1,1,-1.2129440004696483,-1.2129440004696483
2016-01-21,air_7831b00996701c0f,0,0,0,0,1,0,0,-0.9745785059080165,-1.030628861838402,0.0,-0.8517708633520858,-0.8941556615804686,1,8.0,1,1,-1.0917490181815916,-1.0917490181815916
2016-01-22,air_7831b00996701c0f,1,0,0,0,0,0,0,-1.0337287388086926,-1.030628861838402,0.0,-1.1314568184826215,-0.9443026874036037,1,29.0,1,1,-0.7854791983578151,-0.7854791983578151
2016-01-23,air_7831b00996701c0f,0,0,1,0,0,0,0,-1.1323124603098198,-1.0215331777625056,0.0,-0.2161209653281412,-1.195037816519279,1,28.0,1,1,-0.7127622089849811,-0.7127622089849811
2016-01-26,air_7831b00996701c0f,0,0,0,0,0,1,0,-0.7675526907556498,-0.7486626554856218,0.0,-0.39410293677484565,-0.8941556615804686,1,2.0,1,1,-1.2578871397348026,-1.2578871397348026
2016-01-27,air_7831b00996701c0f,0,0,0,0,0,0,1,-0.9351450173075657,-1.0215331777625056,0.0,-0.3686769408538879,-0.7838322047695715,1,12.0,1,1,-1.1074033700604657,-1.1074033700604655
2016-01-28,air_7831b00996701c0f,0,0,0,0,1,0,0,-1.1520292046100453,-1.2125425433563248,0.0,-1.207734806245495,-1.004479118391366,1,22.0,1,1,-1.1129581400820017,-1.1129581400820014
2016-01-29,air_7831b00996701c0f,1,0,0,0,0,0,0,-1.260471298261285,-1.3216907522670782,0.0,0.13984297756526778,-1.074684954543755,1,11.0,1,1,-0.9710590149864019,-0.9710590149864019
2016-01-30,air_7831b00996701c0f,0,0,1,0,0,0,0,-1.3393382754621868,-1.4217432771019358,0.0,-0.39410293677484565,-1.2552142475070414,1,14.0,1,1,-0.671858902462762,-0.671858902462762
2016-01-31,air_7831b00996701c0f,0,0,0,1,0,0,0,-1.3196215311619612,-1.358073488570663,0.0,-0.012712997960478848,-1.2150966268485333,1,4.0,1,1,-1.2225386032341194,-1.2225386032341194
2016-02-01,air_7831b00996701c0f,0,1,0,0,0,0,0,-1.3097631590118486,-1.3125950681911822,0.0,0.9280488511149593,-1.1850084113546522,1,10.0,1,1,-1.4750281496675708,-1.4750281496675708
2016-02-02,air_7831b00996701c0f,0,0,0,0,0,1,0,-1.2111794375107214,-1.1579684389009477,0.0,0.24154696124909902,-1.0847143597083821,1,7.0,1,1,-1.3280792336433023,-1.328079233643302
2016-02-03,air_7831b00996701c0f,0,0,0,0,0,0,1,-1.1125957160095945,-1.0852029662937788,0.0,0.03813899388143677,-1.2050672216839062,1,15.0,1,1,-1.2538473069918674,-1.2538473069918674
