visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Hiroshima-ken Fukuyama-shi Higashisakuramachi,total_area_visitors,total_genre_visitors
2016-07-02,air_67483104fa38ef6c,0,0,1,0,0,0,0,1.192635557994746,1.2849627089923603,0.0,0.5714394964293423,1.0332432472984887,1,42.0,1,1,1.4649477528025951,1.4649477528025951
2016-07-03,air_67483104fa38ef6c,0,0,0,1,0,0,0,1.2444540751106075,1.3170116619835959,0.0,0.8987882283470962,1.2007545947967388,1,44.0,1,1,-0.417746449627981,-0.417746449627981
2016-07-04,air_67483104fa38ef6c,0,1,0,0,0,0,0,1.306636295649641,1.3276946463140078,0.0,1.1442997772854109,1.2106082034731065,1,28.0,1,1,-1.1493241163321788,-1.1493241163321788
2016-07-05,air_67483104fa38ef6c,0,0,0,0,0,1,0,1.3273637024959852,1.33837763064442,0.0,1.3079741432442882,1.3584123336186213,1,20.0,1,1,-0.5169495355962525,-0.5169495355962525
2016-07-06,air_67483104fa38ef6c,0,0,0,0,0,0,1,1.2859088888032963,1.3704265836356555,0.0,1.1988578992717036,1.1810473774440036,1,27.0,1,1,-0.08117743432471845,-0.08117743432471845
2016-07-08,air_67483104fa38ef6c,1,0,0,0,0,0,0,0.8091785313373719,0.515787837202701,0.0,-1.5017691390497634,0.9839752039166506,1,29.0,1,1,1.1186387981497203,1.1186387981497203
2016-07-09,air_67483104fa38ef6c,0,0,1,0,0,0,0,0.8713607518764056,0.8042284141238231,0.0,0.27136982550473504,0.9938288125930184,1,42.0,1,1,1.4068688551993525,1.4068688551993525
2016-07-10,air_67483104fa38ef6c,0,0,0,1,0,0,0,1.1304533374557124,0.9751561634104141,0.0,0.8169510453676576,1.1810473774440036,1,51.0,1,1,-0.26551480497848823,-0.26551480497848823
2016-07-11,air_67483104fa38ef6c,0,1,0,0,0,0,0,1.0889985237630233,1.00720511640165,0.0,-1.3926528950771788,1.1909009861203714,1,21.0,1,1,-1.1973023360913793,-1.1973023360913793
2016-07-12,air_67483104fa38ef6c,0,0,0,0,0,1,0,1.234090371687435,1.167449881357829,0.0,-0.3833276383307722,1.2598762468549447,1,17.0,1,1,-0.5025199958190494,-0.5025199958190494
2016-07-13,air_67483104fa38ef6c,0,0,0,0,0,0,1,1.0268163032239896,0.8042284141238231,0.0,-1.447211017063471,1.2992906815604153,1,14.0,1,1,-0.4328974663940443,-0.4328974663940443
2016-07-15,air_67483104fa38ef6c,1,0,0,0,0,0,0,0.8506333450300612,0.7614964768021755,0.0,-0.8470716752142563,0.8952927258293419,1,21.0,1,1,0.9144608103022963,0.9144608103022963
2016-07-16,air_67483104fa38ef6c,0,0,1,0,0,0,0,0.8609970484532332,0.8042284141238231,0.0,-0.08325796740616462,0.7376349870074594,1,37.0,1,1,1.3502329115738303,1.3502329115738303
2016-07-17,air_67483104fa38ef6c,0,0,0,1,0,0,0,1.006088896377645,0.9751561634104141,0.0,-0.055978906413018586,1.1514865514149004,1,31.0,1,1,0.45920883033153814,0.45920883033153814
2016-07-18,air_67483104fa38ef6c,0,1,0,0,0,0,0,1.12008963403254,1.1033519753753571,1.0,1.498927570196311,1.0036824212693858,1,32.0,1,1,-1.0097183189877388,-1.0097183189877388
2016-07-19,air_67483104fa38ef6c,0,0,0,0,0,1,0,1.1408170408788847,1.0819860067145335,0.0,1.3898113262237262,1.1022185080330622,1,18.0,1,1,-0.8408927035944623,-0.8408927035944623
2016-07-20,air_67483104fa38ef6c,0,0,0,0,0,0,1,1.1408170408788847,1.0606200380537096,0.0,1.335253204237434,1.0726576820039597,1,12.0,1,1,-0.3777044767462424,-0.3777044767462424
2016-07-22,air_67483104fa38ef6c,1,0,0,0,0,0,0,1.0889985237630233,1.0285710850624739,0.0,0.8442301063608036,1.0726576820039597,1,22.0,1,1,0.9757863543554095,0.9757863543554095
2016-07-23,air_67483104fa38ef6c,0,0,1,0,0,0,0,1.1408170408788847,1.2635967403315362,0.0,1.6898809971483335,1.0233896386221213,1,32.0,1,1,1.2798889051599651,1.2798889051599651
2016-07-25,air_67483104fa38ef6c,0,1,0,0,0,0,0,1.1511807443020567,1.0499370537232975,0.0,-1.2835366511045945,1.309144290236783,1,15.0,1,1,-1.0584180157357992,-1.0584180157357992
2016-07-26,air_67483104fa38ef6c,0,0,0,0,0,1,0,1.192635557994746,1.1567668970274168,0.0,-0.16509515038560296,1.1514865514149004,1,22.0,1,1,-0.35461721310271743,-0.35461721310271743
2016-07-27,air_67483104fa38ef6c,0,0,0,0,0,0,1,1.2444540751106075,1.2742797246619482,0.0,0.8169510453676576,1.250022638178577,1,21.0,1,1,-0.15873621062718518,-0.15873621062718518
