visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Momochi,total_area_visitors,total_genre_visitors
2016-01-01,air_fab092c35776a9b1,1,0,0,0,0,0,0,-1.1377089897830786,-0.9461206009171107,1.0,0.40680936856652955,-1.2233690341018435,1,19.0,1,1,-1.9704191091725451,-1.9704191091725451
2016-01-02,air_fab092c35776a9b1,0,0,1,0,0,0,0,-0.6150794694480007,-0.7017560375287534,1.0,-1.0884232461495698,-0.6059980506909634,1,11.0,1,1,-1.8208576545129003,-1.8208576545129003
2016-01-03,air_fab092c35776a9b1,0,0,0,1,0,0,0,-0.6150794694480007,-0.6435739986267636,1.0,-0.8890588975207564,-0.582253012867468,1,8.0,1,1,-1.6847086484098732,-1.6847086484098732
2016-01-07,air_fab092c35776a9b1,0,0,0,0,1,0,0,-0.9189338417358368,-1.202121572085866,0.0,-1.1382643333067728,-0.5941255317792157,1,13.0,1,1,-1.2246363564111684,-1.2246363564111684
2016-01-08,air_fab092c35776a9b1,1,0,0,0,0,0,0,-1.1134006400000518,-1.3883040965722335,0.0,-1.2379465076211795,-0.7959583532789265,1,13.0,1,1,-0.8908435328983568,-0.8908435328983568
2016-01-09,air_fab092c35776a9b1,0,0,1,0,0,0,0,-1.064783940433998,-1.3533948732310397,0.0,-1.1881054204639763,-0.7484682776319358,1,18.0,1,1,-0.6332232945844507,-0.6332232945844507
2016-01-10,air_fab092c35776a9b1,0,0,0,1,0,0,0,-1.064783940433998,-1.1439395331838762,0.0,-0.29096585163431676,-0.9503010991316465,1,14.0,1,1,-0.9184276252129107,-0.9184276252129107
2016-01-12,air_fab092c35776a9b1,0,0,0,0,0,1,0,-1.1134006400000518,-1.3417584654506418,0.0,-1.1382643333067728,-0.9977911747786373,1,6.0,1,1,-1.3332012701996416,-1.3332012701996416
2016-01-13,air_fab092c35776a9b1,0,0,0,0,0,0,1,-1.3200216131557803,-1.5628502132782032,0.0,-0.988741071835163,-1.1640064395431051,1,10.0,1,1,-1.1297369562464192,-1.1297369562464192
2016-01-14,air_fab092c35776a9b1,0,0,0,0,1,0,0,-1.2106340391321595,-1.3883040965722335,0.0,-0.8142972667849514,-1.0927713260726186,1,11.0,1,1,-1.03736820675273,-1.03736820675273
2016-01-15,air_fab092c35776a9b1,1,0,0,0,0,0,0,-1.3200216131557803,-1.1323031254034783,0.0,1.0049024144529692,-1.3064766664840772,1,18.0,1,1,-0.7620334137414038,-0.7620334137414038
2016-01-16,air_fab092c35776a9b1,0,0,1,0,0,0,0,-1.1134006400000518,-0.9112113775759167,0.0,0.7058558915097495,-1.3183491853958251,1,11.0,1,1,-0.6150026097528188,-0.6150026097528188
2016-01-17,air_fab092c35776a9b1,0,0,0,1,0,0,0,-1.1620173395661058,-1.3417584654506418,0.0,-1.2379465076211795,-1.0452812504256281,1,10.0,1,1,-1.2160321441295645,-1.2160321441295645
2016-01-18,air_fab092c35776a9b1,0,1,0,0,0,0,0,-1.2106340391321595,-1.248667203207458,0.0,-0.6896945488919431,-1.4014568177780589,1,9.0,1,1,-1.4984527590198584,-1.4984527590198584
2016-01-19,air_fab092c35776a9b1,0,0,0,0,0,1,0,-1.745417734358751,-2.03994293227452,0.0,-1.213025964042578,-1.472691931248545,1,11.0,1,1,-1.2628491815441742,-1.2628491815441742
2016-01-20,air_fab092c35776a9b1,0,0,0,0,0,0,1,-1.6968010347926972,-1.7606691455449688,0.0,-0.6896945488919431,-1.5083094879837882,1,12.0,1,1,-1.1383411685280231,-1.1383411685280231
2016-01-21,air_fab092c35776a9b1,0,0,0,0,1,0,0,-1.6846468599011837,-1.667577883301785,0.0,-1.213025964042578,-1.591417120366022,1,10.0,1,1,-1.0168699363171438,-1.0168699363171438
2016-01-22,air_fab092c35776a9b1,1,0,0,0,0,0,0,-1.3200216131557803,-1.4348497276938255,0.0,-0.988741071835163,-1.2589865908370867,1,12.0,1,1,-0.7099020099175681,-0.7099020099175681
2016-01-23,air_fab092c35776a9b1,0,0,1,0,0,0,0,-1.5995676356605897,-1.7606691455449688,0.0,-1.2379465076211795,-1.5795446014542742,1,16.0,1,1,-0.6370192705910407,-0.6370192705910407
2016-01-24,air_fab092c35776a9b1,0,0,0,1,0,0,0,-2.268047254693829,-2.342489534564867,0.0,-1.2379465076211795,-2.06631787683593,1,5.0,1,1,-1.3306706195285818,-1.3306706195285818
2016-01-25,air_fab092c35776a9b1,0,1,0,0,0,0,0,-1.8791136581653989,-2.063215747835316,0.0,-1.213025964042578,-1.8407400175127235,1,4.0,1,1,-1.3552179310378636,-1.3552179310378636
2016-01-26,air_fab092c35776a9b1,0,0,0,0,0,1,0,-1.4901800616369685,-1.597759436619397,0.0,-1.1881054204639763,-1.3658392610428156,1,4.0,1,1,-1.1833867504728908,-1.1833867504728908
2016-01-27,air_fab092c35776a9b1,0,0,0,0,0,0,1,-1.222788214023673,-1.248667203207458,0.0,-1.1881054204639763,-1.1521339206313572,1,9.0,1,1,-1.0325599704777157,-1.0325599704777157
2016-01-28,air_fab092c35776a9b1,0,0,0,0,1,0,0,-1.0161672408679443,-1.0275754553798964,0.0,-1.2379465076211795,-0.8197033911024219,1,9.0,1,1,-1.0381274019540478,-1.0381274019540478
2016-01-29,air_fab092c35776a9b1,1,0,0,0,0,0,0,-0.6880045187970814,-0.7250288530895492,0.0,-1.2379465076211795,-0.40416522919125264,1,7.0,1,1,-0.8959048342404768,-0.8959048342404768
2016-01-30,air_fab092c35776a9b1,0,0,1,0,0,0,0,-0.7123128685801081,-0.6901196297483553,0.0,0.5563326300381396,-0.582253012867468,1,16.0,1,1,-0.5960227297198689,-0.5960227297198689
2016-01-31,air_fab092c35776a9b1,0,0,0,1,0,0,0,-0.870317142169783,-0.9461206009171107,0.0,0.10776284562330986,-0.700978201984945,1,18.0,1,1,-1.147957641078051,-1.147957641078051
2016-02-01,air_fab092c35776a9b1,0,1,0,0,0,0,0,-1.1377089897830786,-1.3184856498898458,0.0,-1.213025964042578,-0.9740461369551418,1,11.0,1,1,-1.4010227081840492,-1.4010227081840492
2016-02-02,air_fab092c35776a9b1,0,0,0,0,0,1,0,-1.259250738698213,-1.2603036109878558,0.0,-0.6149329181561383,-1.0334087315138802,1,10.0,1,1,-1.2537388391283582,-1.2537388391283582
2016-02-03,air_fab092c35776a9b1,0,0,0,0,0,0,1,-1.1984798642406458,-1.1904851643054681,0.0,-0.5152507438417316,-1.1758789584548526,1,12.0,1,1,-1.1793377093991948,-1.1793377093991948
2016-02-04,air_fab092c35776a9b1,0,0,0,0,1,0,0,-1.2470965638066998,-1.155575940964274,0.0,0.381888824987928,-1.3420942232193205,1,13.0,1,1,-1.1418840794675071,-1.1418840794675071
2016-02-05,air_fab092c35776a9b1,1,0,0,0,0,0,0,-1.2349423889151863,-1.155575940964274,0.0,-0.36572748237012165,-1.1283888828078619,1,15.0,1,1,-0.7698784308216897,-0.7698784308216897
2016-02-06,air_fab092c35776a9b1,0,0,1,0,0,0,0,-1.28355908848124,-1.5395773977174072,0.0,-1.063502702570968,-1.1402614017196098,1,13.0,1,1,-0.5479403669697293,-0.5479403669697293
2016-02-07,air_fab092c35776a9b1,0,0,0,1,0,0,0,-1.4658717118539417,-1.4697589510350195,0.0,-1.0385821589923663,-1.4133293366898065,1,11.0,1,1,-1.155296528024125,-1.155296528024125
2016-02-08,air_fab092c35776a9b1,0,1,0,0,0,0,0,-1.2349423889151863,-1.271940018768254,0.0,-0.2411247644771134,-1.3895842988663112,1,8.0,1,1,-1.3499035646286375,-1.3499035646286375
2016-02-09,air_fab092c35776a9b1,0,0,0,0,0,1,0,-0.870317142169783,-0.9344841931367128,0.0,1.1544256759245792,-0.9503010991316465,1,8.0,1,1,-1.133279867185903,-1.133279867185903
2016-02-10,air_fab092c35776a9b1,0,0,0,0,0,0,1,-1.1012464651085385,-0.8297565231131311,0.0,1.2042667630817827,-1.2233690341018435,1,15.0,1,1,-0.8111280367599674,-0.8111280367599674
2016-02-11,air_fab092c35776a9b1,0,0,0,0,1,0,0,-0.760929568146162,-0.4806642897011917,1.0,0.8553791529813595,-1.1046438449843665,1,18.0,1,1,-0.8840107760864949,-0.8840107760864949
2016-02-12,air_fab092c35776a9b1,1,0,0,0,0,0,0,-0.21399169802805698,-0.2246633185324364,0.0,-1.063502702570968,-0.38042019136775734,1,13.0,1,1,-0.8280833962560693,-0.8280833962560693
2016-02-13,air_fab092c35776a9b1,0,0,1,0,0,0,0,0.05340014958523891,-0.015207978485272817,0.0,-0.8890588975207564,0.07073552727865505,1,13.0,1,1,-0.6392968561949947,-0.6392968561949947
2016-02-14,air_fab092c35776a9b1,0,0,0,1,0,0,0,-0.760929568146162,-0.24793613409323226,0.0,-1.213025964042578,-0.9384285802198988,1,22.0,1,1,-1.1727580176544388,-1.1727580176544388
