visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Yakiniku/Korean food,Ōsaka-fu Ōsaka-shi Ōgimachi,total_area_visitors,total_genre_visitors
2016-07-02,air_b80fed1a07c817d2,0,0,1,0,0,0,0,1.2369896824848792,1.26500565212744,0.0,1.6680981181432912,1.142809279749582,1,8.0,1,1,1.4054117742804786,1.4054117742804788
2016-07-04,air_b80fed1a07c817d2,0,1,0,0,0,0,0,1.2993682707056382,1.274861467624236,0.0,1.1168053630323282,1.2978832868019186,1,2.0,1,1,-1.393448475231888,-1.3934484752318879
2016-07-05,air_b80fed1a07c817d2,0,0,0,0,0,1,0,1.2993682707056382,1.442410331069766,0.0,1.5630899743126316,1.2358536839809837,1,8.0,1,1,-0.7164232210032171,-0.7164232210032169
2016-07-06,air_b80fed1a07c817d2,0,0,0,0,0,0,1,1.2058003883744994,1.146735866165889,0.0,1.169309434947658,1.2048388825705163,1,13.0,1,1,-0.2498821445010867,-0.24988214450108653
2016-07-07,air_b80fed1a07c817d2,0,0,0,0,1,0,0,1.268178976595259,1.284717283121032,0.0,1.4843338664396366,1.2565302182546285,1,8.0,1,1,-0.3178550165742448,-0.3178550165742446
2016-07-08,air_b80fed1a07c817d2,1,0,0,0,0,0,0,0.9978717609719683,0.8510614012620125,0.0,-1.4558941608188327,0.9463822041499551,1,3.0,1,1,1.0346506538814346,1.0346506538814346
2016-07-09,air_b80fed1a07c817d2,0,0,1,0,0,0,0,0.7171681139785514,0.5356753053645439,0.0,-1.167121765284519,0.801646464234441,1,4.0,1,1,1.3432320447135555,1.3432320447135557
2016-07-11,air_b80fed1a07c817d2,0,1,0,0,0,0,0,1.1850075256342463,1.1861591281530732,0.0,0.040471888768066996,1.225515416844161,1,3.0,1,1,-1.4448143387871724,-1.4448143387871721
2016-07-12,air_b80fed1a07c817d2,0,0,0,0,0,1,0,1.1330253687836136,0.9594753717267671,0.0,-1.2196258371998485,1.2358536839809837,1,8.0,1,1,-0.7009748409865902,-0.70097484098659
2016-07-13,air_b80fed1a07c817d2,0,0,0,0,0,0,1,1.1018360746732339,0.8214939547716247,0.0,-1.429642124861168,1.2358536839809837,1,9.0,1,1,-0.6264364074063659,-0.6264364074063656
2016-07-14,air_b80fed1a07c817d2,0,0,0,0,1,0,0,1.049853917822601,1.0876009731851142,0.0,0.17173206855639153,1.1324710126127593,1,4.0,1,1,-0.4039797351669394,-0.4039797351669392
2016-07-15,air_b80fed1a07c817d2,1,0,0,0,0,0,0,0.84192529042007,0.6243776448357068,0.0,-1.403390088903503,0.9980735398340673,1,2.0,1,1,0.8160560766461649,0.816056076646165
2016-07-16,air_b80fed1a07c817d2,0,0,1,0,0,0,0,0.9874753296018416,0.9693311872235632,0.0,-0.24830050676624713,0.9360439370131329,1,2.0,1,1,1.2825971531482954,1.2825971531482954
2016-07-19,air_b80fed1a07c817d2,0,0,0,0,0,1,0,1.14342180015374,1.1861591281530732,0.0,1.720602190058621,1.0704414097918244,1,2.0,1,1,-1.0632393523764896,-1.0632393523764894
2016-07-20,air_b80fed1a07c817d2,0,0,0,0,0,0,1,1.091439643303107,1.245294021133848,0.0,2.0881306934659296,0.9567204712867777,1,6.0,1,1,-0.5673463538427682,-0.567346353842768
2016-07-21,air_b80fed1a07c817d2,0,0,0,0,1,0,0,1.0602503491927278,1.0876009731851142,0.0,0.880537039413344,0.9670587384235999,1,8.0,1,1,-0.33986895809793805,-0.3398689580979378
2016-07-22,air_b80fed1a07c817d2,1,0,0,0,0,0,0,1.091439643303107,1.255149836630644,0.0,1.1430573989899933,0.9670587384235999,1,4.0,1,1,0.881711691716829,0.8817116917168291
2016-07-23,air_b80fed1a07c817d2,0,0,1,0,0,0,0,1.0394574864524744,1.0974567886819095,0.0,1.1955614709053228,1.00841180697089,1,4.0,1,1,1.2072863005672394,1.2072863005672396
2016-07-25,air_b80fed1a07c817d2,0,1,0,0,0,0,0,1.008268192342095,0.8806288477524002,0.0,-1.140869729326854,1.1738240811600489,1,4.0,1,1,-1.296123681127139,-1.2961236811271388
2016-07-26,air_b80fed1a07c817d2,0,0,0,0,0,1,0,0.9147003100109558,0.7327916153004618,0.0,-1.4558941608188327,1.0497648755181797,1,1.0,1,1,-0.5426289458161653,-0.542628945816165
2016-07-27,air_b80fed1a07c817d2,0,0,0,0,0,0,1,1.0810432119329807,1.0876009731851142,0.0,0.3554963202600459,1.0394266083813575,1,1.0,1,1,-0.3329171870904559,-0.33291718709045576
2016-07-28,air_b80fed1a07c817d2,0,0,0,0,1,0,0,1.1850075256342463,1.1565916816626851,0.0,-0.24830050676624713,1.1738240811600489,1,12.0,1,1,-0.10080527734063775,-0.10080527734063757
2016-07-29,air_b80fed1a07c817d2,1,0,0,0,0,0,0,1.1746110942641197,1.1664474971594812,0.0,0.6967727877096894,1.1324710126127593,1,9.0,1,1,1.1358375429903405,1.1358375429903405
2016-07-30,air_b80fed1a07c817d2,0,0,1,0,0,0,0,1.257782545225132,1.3931312535857865,0.0,1.694350154100956,1.287545019665096,1,24.0,1,1,1.2578797451216923,1.2578797451216925
2016-08-02,air_b80fed1a07c817d2,0,0,0,0,0,1,0,1.2785754079653853,1.26500565212744,0.0,0.17173206855639153,1.3185598210755634,1,12.0,1,1,-0.9856112427929397,-0.9856112427929395
2016-08-03,air_b80fed1a07c817d2,0,0,0,0,0,0,1,1.268178976595259,1.3142847296114195,0.0,0.6967727877096894,1.215177149707339,1,4.0,1,1,-0.5202287947920563,-0.5202287947920561
2016-08-04,air_b80fed1a07c817d2,0,0,0,0,1,0,0,1.351350427556271,1.452266146566562,0.0,1.1168053630323282,1.2461919511178063,1,2.0,1,1,-0.38853135515031256,-0.38853135515031234
2016-08-05,air_b80fed1a07c817d2,1,0,0,0,0,0,0,1.351350427556271,1.442410331069766,0.0,0.9855451832440038,1.380589423896498,1,8.0,1,1,0.7040553215256203,0.7040553215256204
2016-08-06,air_b80fed1a07c817d2,0,0,1,0,0,0,0,1.3201611334458916,1.5015452240505414,0.0,0.40800039217537554,1.4116042253069654,1,1.0,1,1,0.4522467272546029,0.4522467272546031
2016-08-08,air_b80fed1a07c817d2,0,1,0,0,0,0,0,1.4241254471471572,1.442410331069766,0.0,1.7468542260162858,1.3702511567596758,1,2.0,1,1,-1.3331997931670434,-1.3331997931670432
2016-08-09,air_b80fed1a07c817d2,0,0,0,0,0,1,0,1.3617468589263977,1.343852176101807,0.0,1.2743175787783176,1.380589423896498,1,5.0,1,1,-0.4680905122359407,-0.46809051223594056
2016-08-10,air_b80fed1a07c817d2,0,0,0,0,0,0,1,1.2473861138550055,1.3339963606050116,0.0,1.694350154100956,1.2048388825705163,1,15.0,1,1,0.5758337673876176,0.5758337673876177
2016-08-11,air_b80fed1a07c817d2,0,0,0,0,1,0,0,1.2265932511147524,1.4325545155729706,1.0,1.8256103338892806,1.0497648755181797,1,11.0,1,1,0.25296262504011674,0.2529626250401169
2016-08-12,air_b80fed1a07c817d2,1,0,0,0,0,0,0,1.268178976595259,1.353707991598603,0.0,1.9043664417622757,1.142809279749582,1,4.0,1,1,-0.1969714429441398,-0.19697144294413962
2016-08-13,air_b80fed1a07c817d2,0,0,1,0,0,0,0,1.3201611334458916,1.363563807095399,1.0,1.6680981181432912,1.2565302182546285,1,3.0,1,1,-0.024335796258334926,-0.024335796258334746
2016-08-17,air_b80fed1a07c817d2,0,0,0,0,0,0,1,1.1954039570043726,1.1763033126562772,0.0,-0.6683330820888855,1.1945006154336941,1,4.0,1,1,-1.004149298812892,-1.0041492988128917
2016-08-18,air_b80fed1a07c817d2,0,0,0,0,1,0,0,1.3409539961861447,1.4128428845793786,0.0,0.17173206855639153,1.2772067525282735,1,5.0,1,1,-0.7175818495044641,-0.7175818495044639
2016-08-20,air_b80fed1a07c817d2,0,0,1,0,0,0,0,1.4761076039977898,1.570535932528113,0.0,1.2743175787783176,1.3702511567596758,1,3.0,1,1,0.5437783788531169,0.5437783788531171
2016-08-23,air_b80fed1a07c817d2,0,0,0,0,0,1,0,1.3409539961861447,1.4029870690825825,0.0,-0.012032183147262865,1.3909276910333206,1,6.0,1,1,-0.7847823025767908,-0.7847823025767906
