visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Other,Tōkyō-to Suginami-ku Asagayaminami,total_area_visitors,total_genre_visitors
2016-01-04,air_77488fa378cf98c3,0,1,0,0,0,0,0,-0.7569274496811436,-0.4856578936711104,0.0,0.9214937922975978,-0.9030181215291748,1,5.0,1,1,-1.5020699075818678,-1.5020699075818678
2016-01-05,air_77488fa378cf98c3,0,0,0,0,0,1,0,-0.590295419261194,-0.4856578936711104,0.0,0.7449812658413401,-0.8127630878997848,1,15.0,1,1,-1.370460935844586,-1.370460935844586
2016-01-06,air_77488fa378cf98c3,0,0,0,0,0,0,1,-0.8164388891168398,-1.0973206000196498,0.0,-1.2975208260096391,-0.6096892622336572,1,7.0,1,1,-1.305554366937116,-1.305554366937116
2016-01-07,air_77488fa378cf98c3,0,0,0,0,1,0,0,-0.8759503285525361,-0.815014735551093,0.0,0.19022761126453103,-0.9255818799365224,1,9.0,1,1,-1.2355168439658142,-1.2355168439658142
2016-01-08,air_77488fa378cf98c3,1,0,0,0,0,0,0,-1.1378006620695995,-1.144371577431076,0.0,0.9467098675056345,-1.0722463095842811,1,6.0,1,1,-0.8971304234561176,-0.8971304234561176
2016-01-09,air_77488fa378cf98c3,0,0,1,0,0,0,0,-1.113996086295321,-1.0502696226082238,0.0,0.9467098675056345,-1.2414744976393874,1,9.0,1,1,-0.6359648616070872,-0.6359648616070872
2016-01-10,air_77488fa378cf98c3,0,0,0,1,0,0,0,-0.9830709195367892,-0.7679637581396671,0.0,0.9719259427136712,-1.21891073923204,1,16.0,1,1,-0.925094123104,-0.925094123104
2016-01-11,air_77488fa378cf98c3,0,1,0,0,0,0,0,-1.018777783198207,-1.1561343217839324,1.0,-0.3645260433122782,-0.9594275175475435,1,10.0,1,1,-1.2911876955583874,-1.2911876955583874
2016-01-12,air_77488fa378cf98c3,0,0,0,0,0,1,0,-1.435357859248081,-1.720746050721046,0.0,-1.3227369012176757,-1.2527563768430612,1,6.0,1,1,-1.3455758086350027,-1.3455758086350027
2016-01-13,air_77488fa378cf98c3,0,0,0,0,0,0,1,-1.4115532834738025,-1.297287254018211,0.0,0.8710616418815239,-1.4558302025091887,1,7.0,1,1,-1.139311455268971,-1.139311455268971
2016-01-14,air_77488fa378cf98c3,0,0,0,0,1,0,0,-1.2211166772795743,-0.9679304121382281,0.0,0.9467098675056345,-1.3881389272871463,1,5.0,1,1,-1.0456715436040436,-1.0456715436040436
2016-01-15,air_77488fa378cf98c3,1,0,0,0,0,0,0,-1.161605237843878,-1.1561343217839324,0.0,0.41717228813686213,-1.027118792769586,1,4.0,1,1,-0.7665476425316023,-0.7665476425316023
2016-01-16,air_77488fa378cf98c3,0,0,1,0,0,0,0,-1.0425823589724854,-1.0620323669610803,0.0,0.8458455666734872,-1.0722463095842811,1,12.0,1,1,-0.6174934269772933,-0.6174934269772933
2016-01-17,air_77488fa378cf98c3,0,0,0,1,0,0,0,-1.1735075257310172,-1.391389208841063,0.0,-0.2888778176881679,-1.03840067197326,1,14.0,1,1,-1.2267942220573003,-1.2267942220573003
2016-01-18,air_77488fa378cf98c3,0,1,0,0,0,0,0,-1.542478450232334,-1.6266440958981936,0.0,-1.0453600739292712,-1.1963469808246923,1,12.0,1,1,-1.5131014588191056,-1.5131014588191056
2016-01-19,air_77488fa378cf98c3,0,0,0,0,0,1,0,-1.3282372682638277,-1.4031519531939196,0.0,1.022358093129745,-1.2527563768430612,1,3.0,1,1,-1.274255547147743,-1.274255547147743
2016-01-20,air_77488fa378cf98c3,0,0,0,0,0,0,1,-1.4472601471352202,-1.4031519531939196,0.0,1.022358093129745,-1.4219845648981675,1,3.0,1,1,-1.1480340771774846,-1.1480340771774846
2016-01-21,air_77488fa378cf98c3,0,0,0,0,1,0,0,-1.2806281167152704,-1.3090499983710675,0.0,0.7197651906333034,-1.444548323305515,1,3.0,1,1,-1.0248911796455253,-1.0248911796455253
2016-01-22,air_77488fa378cf98c3,1,0,0,0,0,0,0,-1.1973121015052957,-1.2502362766067847,0.0,0.8710616418815239,-0.9707093967512173,1,9.0,1,1,-0.7136988156741365,-0.7136988156741365
2016-01-23,air_77488fa378cf98c3,0,0,1,0,0,0,0,-1.3639441319252454,-1.567830374133911,0.0,-1.0957922243453446,-1.0158369135659122,1,14.0,1,1,-0.6398130771549609,-0.6398130771549609
