visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Taitō-ku Asakusa,total_area_visitors,total_genre_visitors
2017-01-24,air_8110d68cc869b85e,0,0,0,0,0,1,0,-1.9523994162441374,-1.530729669790305,0.0,0.8765410607044551,-1.851725474435082,1,4.0,1,1,-0.8364404825418145,-0.8364404825418142
2017-02-01,air_8110d68cc869b85e,0,0,0,0,0,0,1,-0.4722410140373905,-0.588742180688579,0.0,0.09739345118938401,-0.10307109166721186,1,28.0,1,1,-0.6394143591711481,-0.6394143591711478
2017-02-02,air_8110d68cc869b85e,0,0,0,0,1,0,0,-1.1065946149831392,-0.8810831255822182,0.0,0.9473726615694613,-0.6575224813253171,1,1.0,1,1,-0.6510041311341285,-0.6510041311341281
2017-02-03,air_8110d68cc869b85e,1,0,0,0,0,0,0,0.1198223468453084,0.41820996283395595,0.0,0.9473726615694613,-0.6148723744285397,1,14.0,1,1,0.5688193679695563,0.5688193679695568
2017-02-04,air_8110d68cc869b85e,0,0,1,0,0,0,0,0.45814426734970726,0.3207629812027432,0.0,0.9473726615694613,0.8352312600618892,1,52.0,1,1,1.5640910352904962,1.5640910352904969
2017-02-05,air_8110d68cc869b85e,0,0,0,1,0,0,0,0.03524186671920851,-0.8161184711614092,0.0,-1.567149169138268,0.40873019109411585,1,19.0,1,1,-0.745171028333344,-0.7451710283333437
2017-02-06,air_8110d68cc869b85e,0,1,0,0,0,0,0,0.6695954676649568,1.0678565070420432,0.0,-0.2921803535681517,0.3660800841973385,1,15.0,1,1,-1.4260701311584412,-1.426070131158441
2017-02-08,air_8110d68cc869b85e,0,0,0,0,0,0,1,-0.34537029384824086,-0.4588128718469614,0.0,0.9119568611369583,-0.23102141235754392,1,13.0,1,1,-0.47498446944636397,-0.47498446944636363
2017-02-10,air_8110d68cc869b85e,1,0,0,0,0,0,0,-1.191175095109239,-1.0110124344238351,0.0,-1.0359121626507195,-0.40162183994465317,1,9.0,1,1,0.8429899109688108,0.8429899109688114
2017-02-11,air_8110d68cc869b85e,0,0,1,0,0,0,0,-1.275755575235339,-0.7511538167406007,1.0,0.13280925162188711,-1.72377515374475,1,38.0,1,1,1.4242894109870454,1.424289410987046
2017-02-12,air_8110d68cc869b85e,0,0,0,1,0,0,0,-0.8951434146678896,-0.39384821742615295,0.0,0.9119568611369583,-1.2119738709834222,1,35.0,1,1,-0.42862538159444247,-0.42862538159444213
2017-02-13,air_8110d68cc869b85e,0,1,0,0,0,0,0,-0.34537029384824086,-0.19895425416372634,0.0,0.3807198546494098,-0.6148723744285397,1,17.0,1,1,-1.2815601619950296,-1.2815601619950294
2017-02-15,air_8110d68cc869b85e,0,0,0,0,0,0,1,-0.26078981372214094,0.1258690179403172,0.0,1.0536200628669712,-0.5295721606349851,1,32.0,1,1,-0.14974649373522714,-0.14974649373522672
2017-02-16,air_8110d68cc869b85e,0,0,0,0,1,0,0,0.07753210678225828,0.41820996283395595,0.0,1.0536200628669712,-0.4869220537382078,1,17.0,1,1,-0.13525927878150165,-0.13525927878150126
2017-02-17,air_8110d68cc869b85e,1,0,0,0,0,0,0,2.5726562705022027,2.659490540351857,0.0,0.451551455514416,1.0058316876489983,1,21.0,1,1,0.9733748455523401,0.9733748455523407
2017-02-18,air_8110d68cc869b85e,0,0,1,0,0,0,0,0.4158540272866575,-0.5562598534781747,0.0,-1.4254859674082552,1.6882333979974355,1,34.0,1,1,1.6463059801528883,1.646305980152889
2017-02-19,air_8110d68cc869b85e,0,0,0,1,0,0,0,-0.38766053391129063,-0.2964012357949396,0.0,0.9473726615694613,-0.35897173304787583,1,44.0,1,1,-0.2714390993465211,-0.2714390993465207
2017-02-20,air_8110d68cc869b85e,0,1,0,0,0,0,0,1.1770783484215561,2.3671495954582173,0.0,-0.46925935573066785,-0.2736715192543212,1,17.0,1,1,-1.4532336591966766,-1.4532336591966764
2017-02-22,air_8110d68cc869b85e,0,0,0,0,0,0,1,-0.049338613406891385,-0.588742180688579,0.0,-0.9296647613532097,-0.5722222675317624,1,27.0,1,1,-0.16857987317507026,-0.16857987317506984
2017-02-23,air_8110d68cc869b85e,0,0,0,0,1,0,0,2.234334349997804,1.2627504703044696,0.0,-1.9213071734633003,2.541235535932982,1,20.0,1,1,-0.23775632457910936,-0.23775632457910897
2017-02-24,air_8110d68cc869b85e,1,0,0,0,0,0,0,0.1198223468453084,-0.3613658902157481,0.0,-1.2129911648132357,1.1764321152361077,1,15.0,1,1,1.1095546661173596,1.10955466611736
2017-02-25,air_8110d68cc869b85e,0,0,1,0,0,0,0,0.16211258690835817,0.0933866907299124,0.0,0.4161356550819129,0.4513802979908932,1,26.0,1,1,1.9595920035272016,1.9595920035272023
2017-02-26,air_8110d68cc869b85e,0,0,0,1,0,0,0,0.6273052276019071,0.5806215988859778,0.0,0.5223830563794228,0.3660800841973385,1,57.0,1,1,-0.06101230214365861,-0.061012302143658194
2017-02-27,air_8110d68cc869b85e,0,1,0,0,0,0,0,-0.38766053391129063,-0.8810831255822182,0.0,-1.7442281713007841,0.7925811531651117,1,12.0,1,1,-1.128720044233226,-1.1287200442332257
