visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Ōsaka-fu Ōsaka-shi Ōgimachi,total_area_visitors,total_genre_visitors
2016-01-04,air_722297e7f26db91d,0,1,0,0,0,0,0,-0.6132720886342496,-0.6058909982749348,0.0,0.39368451457802545,-0.7591809493070746,1,14.0,1,1,-1.537537146557075,-1.537537146557075
2016-01-05,air_722297e7f26db91d,0,0,0,0,0,1,0,-0.7526378411952112,-0.9676833050500204,0.0,-0.9567008852601901,-0.724600504736889,1,18.0,1,1,-1.4054442099426008,-1.405444209942601
2016-01-06,air_722297e7f26db91d,0,0,0,0,0,0,1,-0.7642516539086246,-0.792268853280282,0.0,-0.7783480966023127,-0.6323859858830606,1,7.0,1,1,-1.3402989605011544,-1.3402989605011546
2016-01-08,air_722297e7f26db91d,1,0,0,0,0,0,0,-0.95007265732324,-1.1211709503485416,0.0,-0.9821798550684584,-0.8975027275878169,1,10.0,1,1,-0.9303731221186147,-0.9303731221186148
2016-01-09,air_722297e7f26db91d,0,0,1,0,0,0,0,-1.0545969717439612,-1.110207547112933,0.0,0.9287428805516579,-1.116512209865659,1,22.0,1,1,-0.6682471777257594,-0.6682471777257595
2016-01-10,air_722297e7f26db91d,0,0,0,1,0,0,0,-0.9733002827500671,-1.0882807406417156,0.0,0.6739531824689757,-1.0012440612983737,1,15.0,1,1,-0.958439652510384,-0.9584396525103841
2016-01-11,air_722297e7f26db91d,0,1,0,0,0,0,0,-0.996527908176894,-1.0115369179924552,1.0,-0.2687687004369484,-1.070404950438745,1,10.0,1,1,-1.3258794586485023,-1.3258794586485025
2016-01-12,air_722297e7f26db91d,0,0,0,0,0,1,0,-1.0778245971707883,-1.1540611600553674,0.0,0.13889481649534324,-1.0819317652954734,1,2.0,1,1,-1.3804675728049711,-1.3804675728049713
2016-01-13,air_722297e7f26db91d,0,0,0,0,0,0,1,-1.3101008514390577,-1.2417683859402366,0.0,-0.6254742777527034,-1.1971999138627587,1,4.0,1,1,-1.173444724777608,-1.1734447247776083
2016-01-14,air_722297e7f26db91d,0,0,0,0,1,0,0,-1.1823489115915093,-1.1869513697621934,0.0,0.011499967454002166,-1.2202535435762156,1,8.0,1,1,-1.0794604716308576,-1.0794604716308576
2016-01-15,air_722297e7f26db91d,1,0,0,0,0,0,0,-1.193962724304923,-1.1979147729978021,0.0,0.6994321522772439,-1.1856730990060302,1,9.0,1,1,-0.7993101499221871,-0.7993101499221872
2016-01-16,air_722297e7f26db91d,0,0,1,0,0,0,0,-1.2288041624451633,-1.1321343535841502,0.0,0.4191634843862936,-1.2317803584329443,1,19.0,1,1,-0.6497078182009209,-0.649707818200921
2016-01-17,air_722297e7f26db91d,0,0,0,1,0,0,0,-1.193962724304923,-1.2088781762334107,0.0,-0.47260045890309405,-1.3009412475733155,1,5.0,1,1,-1.2612491914160793,-1.2612491914160793
2016-01-18,air_722297e7f26db91d,0,1,0,0,0,0,0,-0.9268450318964132,-1.044427127699281,0.0,-1.4408013116172862,-0.8975027275878169,1,4.0,1,1,-1.5486092640510758,-1.5486092640510758
