visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Creative cuisine,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-01-01,air_d0a1e69685259c92,1,0,0,0,0,0,0,-0.9546631052731024,-0.940095870169028,1.0,0.9105091135544262,-0.9281264852466876,1,7.0,1,1,-2.0278377859972085,-2.0278377859972085
2016-01-07,air_d0a1e69685259c92,0,0,0,0,1,0,0,-0.8049588579550953,-0.8409214702601447,0.0,-0.1407184836901733,-0.82056255622345,1,5.0,1,1,-1.2756308294264957,-1.2756308294264957
2016-01-08,air_d0a1e69685259c92,1,0,0,0,0,0,0,-1.0419905828752734,-1.0888574700323526,0.0,0.8354214280369546,-0.9878842235929307,1,8.0,1,1,-0.9389627005779141,-0.9389627005779141
2016-01-09,air_d0a1e69685259c92,0,0,1,0,0,0,0,-0.979613813159437,-1.0020798701120799,0.0,0.8854798850486025,-1.0237388666006766,1,39.0,1,1,-0.6791233107614955,-0.6791233107614956
2016-01-10,air_d0a1e69685259c92,0,0,0,1,0,0,0,-0.9047616895004332,-0.8409214702601447,0.0,0.93553834206025,-1.071545057277671,1,3.0,1,1,-0.9667844034168037,-0.9667844034168037
2016-01-11,air_d0a1e69685259c92,0,1,0,0,0,0,0,-1.0045645210457714,-1.138444669986794,1.0,-0.5161569112775303,-0.9042233899081903,1,6.0,1,1,-1.3310189901241016,-1.3310189901241016
2016-01-12,air_d0a1e69685259c92,0,0,0,0,0,1,0,-1.4661526169429604,-1.683903869485651,0.0,-1.3421214519697156,-1.2508182723164003,1,12.0,1,1,-1.385130925920841,-1.385130925920841
2016-01-13,air_d0a1e69685259c92,0,0,0,0,0,0,1,-1.353874431454455,-1.2376190698956773,0.0,0.8354214280369546,-1.4659461303628756,1,2.0,1,1,-1.1799139618615084,-1.1799139618615087
2016-01-14,air_d0a1e69685259c92,0,0,0,0,1,0,0,-1.1417934144206114,-1.0268734700893005,0.0,0.93553834206025,-1.3344791060011407,1,11.0,1,1,-1.0867495440982544,-1.0867495440982544
2016-01-15,air_d0a1e69685259c92,1,0,0,0,0,0,0,-1.1916948301932806,-1.0888574700323526,0.0,0.685246057002012,-1.1193512479546655,1,15.0,1,1,-0.8090430056697048,-0.8090430056697048
