visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Other,Tōkyō-to Suginami-ku Asagayaminami,total_area_visitors,total_genre_visitors
2016-01-01,air_efc80d3f96b3aff7,1,0,0,0,0,0,0,-0.9157004703410554,-0.8852455150481671,1.0,0.967157111901704,-0.951263581475506,1,10.0,1,1,-1.997084021668976,-1.997084021668976
2016-01-04,air_efc80d3f96b3aff7,0,1,0,0,0,0,0,-0.7134658334234181,-0.4398720621922668,0.0,0.9167414752174663,-0.860957757430365,1,5.0,1,1,-1.5154744051433806,-1.5154744051433806
2016-01-05,air_efc80d3f96b3aff7,0,0,0,0,0,1,0,-0.5469196618441872,-0.4398720621922668,0.0,0.7402867468226338,-0.7706519333852241,1,1.0,1,1,-1.3859850271152723,-1.3859850271152723
2016-01-06,air_efc80d3f96b3aff7,0,0,0,0,0,0,1,-0.7729466089874291,-1.0493304713634988,0.0,-1.3015465388889953,-0.5674638292836569,1,3.0,1,1,-1.3221237938967316,-1.3221237938967316
2016-01-07,air_efc80d3f96b3aff7,0,0,0,0,1,0,0,-0.83242738455144,-0.7680419748229301,0.0,0.18571474329601872,-0.8835342134416503,1,2.0,1,1,-1.2532142418466858,-1.2532142418466858
2016-01-08,air_efc80d3f96b3aff7,1,0,0,0,0,0,0,-1.0941427970330884,-1.0962118874535935,0.0,0.9419492935595851,-1.0302811775150043,1,5.0,1,1,-0.9202776149089182,-0.9202776149089182
2016-01-09,air_efc80d3f96b3aff7,0,0,1,0,0,0,0,-1.0703504868074842,-1.002449055273404,0.0,0.9419492935595851,-1.1996045975996437,1,10.0,1,1,-0.6633181863853039,-0.6633181863853039
2016-01-10,air_efc80d3f96b3aff7,0,0,0,1,0,0,0,-0.9394927805666599,-0.7211605587328356,0.0,0.967157111901704,-1.1770281415883583,1,9.0,1,1,-0.9477909525406215,-0.9477909525406215
2016-01-11,air_efc80d3f96b3aff7,0,1,0,0,0,0,0,-0.9751812459050665,-1.1079322414761172,1.0,-0.3688572602305967,-0.917398897458578,1,9.0,1,1,-1.307988501168517,-1.307988501168517
2016-01-12,air_efc80d3f96b3aff7,0,0,0,0,0,1,0,-1.3915466748531435,-1.6705092345572548,0.0,-1.326754357231114,-1.2108928256052862,1,2.0,1,1,-1.361500680782472,-1.361500680782472
2016-01-13,air_efc80d3f96b3aff7,0,0,0,0,0,0,1,-1.3677543646275392,-1.2485764897464018,0.0,0.8663258385332283,-1.4140809297068535,1,3.0,1,1,-1.1585582637559635,-1.1585582637559635
2016-01-14,air_efc80d3f96b3aff7,0,0,0,0,1,0,0,-1.177415882822704,-0.9204065771157383,0.0,0.9419492935595851,-1.3463515616729977,1,4.0,1,1,-1.0664264450809937,-1.0664264450809937
2016-01-15,air_efc80d3f96b3aff7,1,0,0,0,0,0,0,-1.117935107258693,-1.1079322414761172,0.0,0.4125851083750887,-0.9851282654924338,1,9.0,1,1,-0.7917979006471111,-0.7917979006471111
2016-01-16,air_efc80d3f96b3aff7,0,0,1,0,0,0,0,-0.998973556130671,-1.014169409295928,0.0,0.8411180201911095,-1.0302811775150043,1,27.0,1,1,-0.6451442385918852,-0.6451442385918852
2016-01-17,air_efc80d3f96b3aff7,0,0,0,1,0,0,0,-1.1298312623714952,-1.3423393219265911,0.0,-0.2932338052042401,-0.9964164934980766,1,15.0,1,1,-1.2446320998331268,-1.2446320998331268
2016-01-18,air_efc80d3f96b3aff7,0,1,0,0,0,0,0,-1.4986120708683635,-1.576746402377065,0.0,-1.0494683554678064,-1.154451685577073,1,1.0,1,1,-1.5263282906311166,-1.5263282906311166
2016-01-19,air_efc80d3f96b3aff7,0,0,0,0,0,1,0,-1.2844812788379236,-1.3540596759491148,0.0,1.0175727485859418,-1.2108928256052862,1,2.0,1,1,-1.29132904902455,-1.29132904902455
2016-01-20,air_efc80d3f96b3aff7,0,0,0,0,0,0,1,-1.4034428299659456,-1.3540596759491148,0.0,1.0175727485859418,-1.3802162456899254,1,1.0,1,1,-1.1671404057695223,-1.1671404057695223
2016-01-21,air_efc80d3f96b3aff7,0,0,0,0,1,0,0,-1.236896658386715,-1.2602968437689255,0.0,0.7150789284805151,-1.402792701701211,1,8.0,1,1,-1.0459807538133976,-1.0459807538133976
2016-01-22,air_efc80d3f96b3aff7,1,0,0,0,0,0,0,-1.1536235725970996,-1.201695073656307,0.0,0.8663258385332283,-0.9286871254642208,1,11.0,1,1,-0.7398002166826075,-0.7398002166826075
2016-01-23,air_efc80d3f96b3aff7,0,0,1,0,0,0,0,-1.3201697441763303,-1.5181446322644465,0.0,-1.099883992152044,-0.9738400374867912,1,14.0,1,1,-0.6671044255089328,-0.6671044255089328
2016-01-24,air_efc80d3f96b3aff7,0,0,0,1,0,0,0,-1.4391312953043525,-1.3071782598590203,0.0,0.967157111901704,-1.4930985257463518,1,15.0,1,1,-1.3589765213667195,-1.3589765213667195
2016-01-25,air_efc80d3f96b3aff7,0,1,0,0,0,0,0,-1.5461966913195722,-1.3775003839941624,0.0,1.1184040219544171,-1.6624219458309912,1,8.0,1,1,-1.3834608676995197,-1.3834608676995197
2016-01-26,air_efc80d3f96b3aff7,0,0,0,0,0,1,0,-1.4391312953043525,-1.1665340115887357,0.0,0.8663258385332283,-1.5721161217858501,1,8.0,1,1,-1.2120704433699185,-1.2120704433699185
2016-01-27,air_efc80d3f96b3aff7,0,0,0,0,0,0,1,-1.1060389521458907,-0.7446012667778829,0.0,1.0427805669280608,-1.4705220697350665,1,1.0,1,1,-1.0616305421910637,-1.0616305421910637
2016-01-28,air_efc80d3f96b3aff7,0,0,0,0,1,0,0,-0.9632850907922643,-0.6625587886202171,0.0,1.0679883852701795,-1.3124868776560699,1,4.0,1,1,-1.0671836929057195,-1.0671836929057195
2016-01-29,air_efc80d3f96b3aff7,1,0,0,0,0,0,0,-1.1893120379355062,-1.459542862151828,0.0,-1.326754357231114,-0.917398897458578,1,4.0,1,1,-0.9253259337404235,-0.9253259337404235
