visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-07-01,air_3c938075889fc059,1,0,0,0,0,0,0,1.1001405801135016,1.2289947897463205,0.0,0.6198944120358025,0.9336850820309858,1,56.0,1,1,1.306394694469643,1.306394694469643
2016-07-02,air_3c938075889fc059,0,0,1,0,0,0,0,1.3875959673448937,1.2845627165988671,0.0,0.06760905634570985,1.4664117091544684,1,32.0,1,1,1.4624550874602147,1.4624550874602147
2016-07-03,air_3c938075889fc059,0,0,0,1,0,0,0,1.3531013208771265,1.262335545857849,0.0,-0.11648606221765445,1.4664117091544684,1,10.0,1,1,-0.48605972358713745,-0.48605972358713745
2016-07-04,air_3c938075889fc059,0,1,0,0,0,0,0,1.4335888293019163,1.4623800825270161,0.0,0.48839789877625667,1.3998208807640329,1,32.0,1,1,-1.2432139747471356,-1.2432139747471356
2016-07-06,air_3c938075889fc059,0,0,0,0,0,0,1,1.3301048898986152,1.351244228821923,0.0,1.724465123415988,1.2666392239831623,1,45.0,1,1,-0.13772396602684248,-0.13772396602684248
2016-07-07,air_3c938075889fc059,0,0,0,0,1,0,0,1.1346352265812687,1.1067453506707188,0.0,0.672493017339621,1.1556545099991034,1,1.0,1,1,-0.20343360518076736,-0.20343360518076736
2016-07-08,air_3c938075889fc059,1,0,0,0,0,0,0,0.7666923309250865,0.5955204236272907,0.0,-1.352553286857386,0.8670942536405503,1,52.0,1,1,1.1040388738933515,1.1040388738933515
2016-07-09,air_3c938075889fc059,0,0,1,0,0,0,0,0.9161691322854104,0.8622464725195139,0.0,-0.06388745691383604,0.9447835534293918,1,19.0,1,1,1.4023457016432719,1.4023457016432719
2016-07-10,air_3c938075889fc059,0,0,0,1,0,0,0,1.0196530716887118,0.9178143993720603,0.0,-0.5898735099520198,1.1334575672022917,1,16.0,1,1,-0.32850592970670395,-0.32850592970670395
2016-07-11,air_3c938075889fc059,0,1,0,0,0,0,0,1.0311512871779673,0.8289057164079858,0.0,-1.2736553789016585,1.1667529813975095,1,52.0,1,1,-1.2928695543350446,-1.2928695543350446
2016-07-13,air_3c938075889fc059,0,0,0,0,0,0,1,1.0311512871779673,0.8511328871490044,0.0,-1.326253984205477,1.0779652102102624,1,32.0,1,1,-0.5017404329306877,-0.5017404329306877
2016-07-14,air_3c938075889fc059,0,0,0,0,1,0,0,1.123137011092013,1.1178589360412274,0.0,1.1458804650739862,1.1334575672022917,1,12.0,1,1,-0.2866907047905699,-0.2866907047905699
2016-07-15,air_3c938075889fc059,1,0,0,0,0,0,0,0.904670916796155,0.8622464725195139,0.0,1.435172794244987,1.0113743818198269,1,26.0,1,1,0.8927226479778886,0.8927226479778886
2016-07-16,air_3c938075889fc059,0,0,1,0,0,0,0,1.1461334420705243,1.3401306434514135,0.0,0.19910556960525577,0.9780789676246091,1,25.0,1,1,1.3437297167161912,1.3437297167161912
2016-07-17,air_3c938075889fc059,0,0,0,1,0,0,0,1.0311512871779673,0.9511551554835884,0.0,0.30430278021289237,1.1223590958038858,1,22.0,1,1,0.42155466722644996,0.42155466722644996
2016-07-19,air_3c938075889fc059,0,0,0,0,0,1,0,1.0541477181564787,1.0289502530771535,0.0,1.5403700048526239,1.0557682674134505,1,59.0,1,1,-0.9239995345391482,-0.9239995345391482
2016-07-20,air_3c938075889fc059,0,0,0,0,0,0,1,1.0426495026672231,1.0400638384476628,0.0,1.0669825571182585,1.1334575672022917,1,69.0,1,1,-0.44461784889346895,-0.44461784889346895
2016-07-21,air_3c938075889fc059,0,0,0,0,1,0,0,0.9736602097316889,0.9622687408540974,0.0,1.7770637287198066,1.0335713246166385,1,64.0,1,1,-0.22471456786129987,-0.22471456786129987
2016-07-22,air_3c938075889fc059,1,0,0,0,0,0,0,0.9161691322854104,0.9289279847425699,0.0,1.7770637287198066,0.9447835534293918,1,33.0,1,1,0.9561921857970206,0.9561921857970206
