visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Hokkaidō Sapporo-shi Minami 3 Jōnishi,total_area_visitors,total_genre_visitors
2016-07-01,air_ca957d3a1529fbd3,1,0,0,0,0,0,0,1.2113922314281098,1.238061859503582,0.0,1.9530031229490616,1.1381232049775667,1,37.0,1,1,1.2858958919722918,1.2858958919722916
2016-07-02,air_ca957d3a1529fbd3,0,0,1,0,0,0,0,1.0575323962859862,0.974587240108683,0.0,-1.1695143152066854,1.1837804459975845,1,9.0,1,1,1.4407551066985762,1.4407551066985758
2016-07-04,air_ca957d3a1529fbd3,0,1,0,0,0,0,0,0.7045598333128802,0.5751257203809328,0.0,0.7520348775045438,0.8459168624494526,1,26.0,1,1,-1.244088742874109,-1.244088742874109
2016-07-05,air_ca957d3a1529fbd3,0,0,0,0,0,1,0,0.8131667757661435,0.932091333754667,0.0,1.499304008003355,0.7272080357974064,1,15.0,1,1,-0.594643280158376,-0.594643280158376
2016-07-06,air_ca957d3a1529fbd3,0,0,0,0,0,0,1,0.731711568926196,0.7111126207137838,0.0,0.9121639768971461,0.8367854142454492,1,24.0,1,1,-0.14710755913121937,-0.14710755913121948
2016-07-07,air_ca957d3a1529fbd3,0,0,0,0,1,0,0,0.8946219826060914,1.0510798715459118,0.0,2.3266376881984674,0.8093910696334385,1,39.0,1,1,-0.21231143901597066,-0.21231143901597077
2016-07-08,air_ca957d3a1529fbd3,1,0,0,0,0,0,0,0.9760771894460388,0.9915856026502894,0.0,2.0597558558774636,0.8185225178374421,1,38.0,1,1,1.0850975800544782,1.085097580054478
2016-07-09,air_ca957d3a1529fbd3,0,0,1,0,0,0,0,1.102785288974846,1.0425806902751087,0.0,0.5652175948798409,0.9920200337135099,1,12.0,1,1,1.381108375667639,1.3811083756676386
2016-07-12,air_ca957d3a1529fbd3,0,0,0,0,0,1,0,0.9851277679838109,1.0000847839210927,0.0,2.1931967720379655,0.9828885855095062,1,33.0,1,1,-0.5798242165482052,-0.5798242165482053
2016-07-13,air_ca957d3a1529fbd3,0,0,0,0,0,0,1,1.1842404958147938,1.357050397294827,0.0,1.5259921912354553,1.1837804459975845,1,21.0,1,1,-0.5083222346291313,-0.5083222346291314
