visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-01-05,air_1ae94f514a0bce13,0,0,0,0,0,1,0,-1.1219927426672882,-1.2608539257810898,0.0,-1.2846741147317415,-0.8988504866045114,1,20.0,1,1,-1.353296599907866,-1.353296599907866
2016-01-07,air_1ae94f514a0bce13,0,0,0,0,1,0,0,-1.2198114709631978,-1.4948209362224778,0.0,-1.188135187488337,-0.8868945853746955,1,14.0,1,1,-1.218539436038461,-1.218539436038461
2016-01-09,air_1ae94f514a0bce13,0,0,1,0,0,0,0,-1.3665395634070616,-1.64689949300938,0.0,-1.2364046511100393,-1.042321301362304,1,14.0,1,1,-0.6198179684285758,-0.6198179684285758
2016-01-10,air_1ae94f514a0bce13,0,0,0,1,0,0,0,-1.3665395634070616,-1.4363291836121308,0.0,-0.3675543059194003,-1.2455716222691766,1,20.0,1,1,-0.9085467206734799,-0.9085467206734799
2016-01-11,air_1ae94f514a0bce13,0,1,0,0,0,0,0,-1.3176301992591068,-1.295948977347298,1.0,-1.0433267966232307,-1.2814393259586248,1,6.0,1,1,-1.2741331709427592,-1.2741331709427592
2016-01-12,air_1ae94f514a0bce13,0,0,0,0,0,1,0,-1.4154489275550164,-1.6352011424873107,0.0,-1.188135187488337,-1.2933952271884408,1,18.0,1,1,-1.3284459442133179,-1.3284459442133179
2016-01-15,air_1ae94f514a0bce13,1,0,0,0,0,0,0,-1.6233137251838239,-1.4246308330900614,0.0,0.8874517482448561,-1.6042486591636578,1,17.0,1,1,-0.7502198627432664,-0.7502198627432664
2016-01-17,air_1ae94f514a0bce13,0,0,0,1,0,0,0,-1.4643582917029712,-1.6352011424873107,0.0,-1.2846741147317415,-1.341218832107705,1,11.0,1,1,-1.2098288969290318,-1.2098288969290318
2016-01-18,air_1ae94f514a0bce13,0,1,0,0,0,0,0,-1.513267655850926,-1.5416143383107554,0.0,-0.7537100148930176,-1.6998958690021861,1,8.0,1,1,-1.4957395335797086,-1.4957395335797086
2016-01-23,air_1ae94f514a0bce13,0,0,1,0,0,0,0,-1.9045425690345636,-2.056341761281809,0.0,-1.2846741147317415,-1.8792343874494268,1,10.0,1,1,-0.6236608533297947,-0.6236608533297947
2016-01-27,air_1ae94f514a0bce13,0,0,0,0,0,0,1,-1.5254949968879146,-1.5416143383107554,0.0,-1.2364046511100393,-1.4488219431760494,1,18.0,1,1,-1.024089460036791,-1.024089460036791
2016-01-30,air_1ae94f514a0bce13,0,0,1,0,0,0,0,-1.01194667333439,-0.9800935132514241,0.0,0.45302657564953663,-0.8749386841448794,1,56.0,1,1,-0.5821576963966318,-0.5821576963966318
2016-02-01,air_1ae94f514a0bce13,0,1,0,0,0,0,0,-1.4399036096289937,-1.6118044414431718,0.0,-1.2605393829208904,-1.269483424728809,1,26.0,1,1,-1.3971054877817601,-1.3971054877817601
2016-02-08,air_1ae94f514a0bce13,0,1,0,0,0,0,0,-1.5377223379249032,-1.5650110393548942,0.0,-0.3192848422976981,-1.6879399677723703,1,10.0,1,1,-1.3453546377786805,-1.3453546377786805
2016-02-12,air_1ae94f514a0bce13,1,0,0,0,0,0,0,-0.5106256908178542,-0.5121594923686482,0.0,-1.1157309920557839,-0.6716883632380068,1,2.0,1,1,-0.817086060024473,-0.817086060024473
2016-02-13,air_1ae94f514a0bce13,0,0,1,0,0,0,0,-0.24162418800410315,-0.3015891829713989,0.0,-0.9467878693798263,-0.21736411650499723,1,28.0,1,1,-0.6259665842705259,-0.6259665842705259
2016-02-15,air_1ae94f514a0bce13,0,1,0,0,0,0,0,-1.818951181775643,-2.0446434107597398,0.0,-0.7778447467038687,-1.5205573505549457,1,4.0,1,1,-1.3489413303531514,-1.3489413303531514
2016-02-16,air_1ae94f514a0bce13,0,0,0,0,0,1,0,-1.7089051124427448,-1.822374750840421,0.0,-1.188135187488337,-1.5683809554742099,1,9.0,1,1,-1.1872839721752149,-1.1872839721752149
2016-02-23,air_1ae94f514a0bce13,0,0,0,0,0,1,0,-1.3176301992591068,-1.120473719516257,0.0,-0.029668060567485048,-1.1857921161200964,1,29.0,1,1,-1.118112043953277,-1.118112043953277
2016-02-24,air_1ae94f514a0bce13,0,0,0,0,0,0,1,-1.427676268592005,-1.4597258846562697,0.0,-0.5364974285953579,-1.5444691530145775,1,71.0,1,1,-1.0737907714258872,-1.0737907714258872
2016-02-25,air_1ae94f514a0bce13,0,0,0,0,1,0,0,-1.7578144765906996,-1.7404862971859352,0.0,-0.5364974285953579,-1.6879399677723703,1,57.0,1,1,-0.9687519174592406,-0.9687519174592406
2016-02-26,air_1ae94f514a0bce13,1,0,0,0,0,0,0,-1.6233137251838239,-1.4246308330900614,0.0,0.7185086255688987,-1.8314107825301627,1,30.0,1,1,-0.5557698867415963,-0.5557698867415963
2016-02-28,air_1ae94f514a0bce13,0,0,0,1,0,0,0,-0.7429451705206391,-0.5706512449789952,0.0,1.104664334542516,-1.006453597672856,1,97.0,1,1,-0.974131956320947,-0.974131956320947
2016-03-01,air_1ae94f514a0bce13,0,0,0,0,0,1,0,-1.8434058638496202,-1.8691681529286988,0.0,-0.12620698781088946,-1.6042486591636578,1,27.0,1,1,-1.1778048560855419,-1.1778048560855419
2016-03-05,air_1ae94f514a0bce13,0,0,1,0,0,0,0,-0.1560328007451825,0.04936133269068307,0.0,1.152933798164218,-0.5521293509398464,1,30.0,1,1,-0.46302826445884987,-0.46302826445884987
2016-03-12,air_1ae94f514a0bce13,0,0,1,0,0,0,0,-1.6110863841468352,-1.5650110393548942,0.0,-1.0433267966232307,-1.5683809554742099,1,47.0,1,1,-0.44586337856673935,-0.44586337856673935
2016-03-14,air_1ae94f514a0bce13,0,1,0,0,0,0,0,-1.2564934940741634,-1.2023621731707428,0.0,-0.8985184057581241,-1.1618803136604645,1,60.0,1,1,-1.2830999023789365,-1.2830999023789365
2016-03-19,air_1ae94f514a0bce13,0,0,1,0,0,0,0,-0.5839897370397862,-0.67593639967762,0.0,-0.3916890377302513,-0.6238647583187427,1,62.0,1,1,-0.4704578419345395,-0.4704578419345395
