visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Chūō-ku Tsukiji,total_area_visitors,total_genre_visitors
2016-01-04,air_f6b2489ccf873c3b,0,1,0,0,0,0,0,-0.7371947696941931,-0.544558400992255,0.0,0.8966194781980991,-0.8320398615477155,1,17.0,1,1,-1.5101100608782096,-1.5101100608782096
2016-01-05,air_f6b2489ccf873c3b,0,0,0,0,0,1,0,-0.5241245319006539,-0.519660549644876,0.0,0.772601194262645,-0.7479602258813796,1,18.0,1,1,-1.3787801539864368,-1.378780153986437
2016-01-06,air_f6b2489ccf873c3b,0,0,0,0,0,0,1,-0.7747953998930528,-1.0300665022661457,0.0,-1.310905975852985,-0.5077326954061339,1,13.0,1,1,-1.3140112135505333,-1.3140112135505335
2016-01-07,air_f6b2489ccf873c3b,0,0,0,0,1,0,0,-0.7998624866922928,-0.8308836914871136,0.0,-0.12033045007262515,-0.8200284850239532,1,18.0,1,1,-1.2441221987718707,-1.2441221987718707
2016-01-08,air_f6b2489ccf873c3b,1,0,0,0,0,0,0,-1.0379998112850717,-1.0798622049609037,0.0,0.8470121646239172,-0.9881877563566253,1,18.0,1,1,-0.9064532958669033,-0.9064532958669034
2016-01-09,air_f6b2489ccf873c3b,0,0,1,0,0,0,0,-0.975332094286972,-0.9927197252450772,0.0,0.8966194781980991,-1.0242218859279122,1,19.0,1,1,-0.6458415118204615,-0.6458415118204615
2016-01-10,air_f6b2489ccf873c3b,0,0,0,1,0,0,0,-0.9001308338892522,-0.8308836914871136,0.0,0.9462267917722805,-1.072267392022961,1,14.0,1,1,-0.9343577010349408,-0.9343577010349409
2016-01-11,air_f6b2489ccf873c3b,0,1,0,0,0,0,0,-1.0003991810862118,-1.1296579076556619,1.0,-0.49238530187898766,-0.9041081206902892,1,19.0,1,1,-1.2996750053908077,-1.2996750053908077
2016-01-12,air_f6b2489ccf873c3b,0,0,0,0,0,1,0,-1.4641402868721498,-1.6774106372980002,0.0,-1.310905975852985,-1.2524380398793955,1,12.0,1,1,-1.353947793424055,-1.353947793424055
2016-01-13,air_f6b2489ccf873c3b,0,0,0,0,0,0,1,-1.3513383962755703,-1.229249313045178,0.0,0.8470121646239172,-1.4686428173071167,1,15.0,1,1,-1.1481208048451361,-1.1481208048451363
2016-01-14,air_f6b2489ccf873c3b,0,0,0,0,1,0,0,-1.1382681584820313,-1.0176175765924562,0.0,0.9462267917722805,-1.3365176755457315,1,15.0,1,1,-1.0546794480897812,-1.0546794480897814
2016-01-15,air_f6b2489ccf873c3b,1,0,0,0,0,0,0,-1.188402332080511,-1.0798622049609037,0.0,0.6981902239013723,-1.1203128981180104,1,25.0,1,1,-0.7761474038436823,-0.7761474038436824
2016-01-16,air_f6b2489ccf873c3b,0,0,1,0,0,0,0,-1.0756004414839315,-0.9678218738976981,0.0,0.9462267917722805,-1.144335651165535,1,11.0,1,1,-0.6274092441865284,-0.6274092441865284
2016-01-17,air_f6b2489ccf873c3b,0,0,0,1,0,0,0,-1.163335245281271,-1.3661874954557625,0.0,-0.5419926154531692,-1.0842787685467237,1,22.0,1,1,-1.23541807238918,-1.23541807238918
2016-01-18,air_f6b2489ccf873c3b,0,1,0,0,0,0,0,-1.5393415472698695,-1.6649617116243107,0.0,-0.9636547808337134,-1.3365176755457315,1,11.0,1,1,-1.521118220715142,-1.521118220715142
2016-01-19,air_f6b2489ccf873c3b,0,0,0,0,0,1,0,-1.2510700490786109,-1.3661874954557625,0.0,0.9462267917722805,-1.2524380398793955,1,12.0,1,1,-1.2827787600597025,-1.2827787600597025
2016-01-20,air_f6b2489ccf873c3b,0,0,0,0,0,0,1,-1.3764054830748103,-1.303942867087315,0.0,0.9710304485593714,-1.4446200642595919,1,17.0,1,1,-1.1568249312278267,-1.156824931227827
2016-01-21,air_f6b2489ccf873c3b,0,0,0,0,1,0,0,-1.2134694188797508,-1.2541471643925568,0.0,0.5245646263917366,-1.2404266633556331,1,28.0,1,1,-1.0339431470016067,-1.0339431470016067
2016-01-22,air_f6b2489ccf873c3b,1,0,0,0,0,0,0,-1.163335245281271,-1.1545557590030406,0.0,0.6981902239013723,-1.0001991328803874,1,15.0,1,1,-0.7234106381132629,-0.7234106381132629
