visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-07-01,air_48ffd31594bc3263,1,0,0,0,0,0,0,0.9835932186158447,1.0538341186072078,0.0,-0.2179071532588339,0.9386877869185493,1,9.0,1,1,1.3420602103875094,1.3420602103875094
2016-07-02,air_48ffd31594bc3263,0,0,1,0,0,0,0,1.1426801349272742,1.1895978165029808,0.0,0.44991657405899893,1.0919043884644661,1,4.0,1,1,1.5077348825778547,1.5077348825778547
2016-07-03,air_48ffd31594bc3263,0,0,0,1,0,0,0,1.3926738605595208,1.5968889101903003,0.0,0.636907217707992,1.2232329040752523,1,5.0,1,1,-0.5608204144590168,-0.5608204144590168
2016-07-04,air_48ffd31594bc3263,0,1,0,0,0,0,0,1.2335869442480911,1.4158706463292692,0.0,0.5033424722444254,1.1137924743995973,1,1.0,1,1,-1.3646200202054768,-1.3646200202054768
2016-07-05,air_48ffd31594bc3263,0,0,0,0,0,1,0,0.5404225231768618,0.48815204404148593,0.0,-1.3932769133382197,0.7416950135023702,1,7.0,1,1,-0.6698169093210861,-0.6698169093210861
2016-07-06,air_48ffd31594bc3263,0,0,0,0,0,0,1,0.6995094394882917,0.6352293834285733,0.0,-0.298046000536974,0.7745271424050668,1,5.0,1,1,-0.19102503370879617,-0.19102503370879617
2016-07-07,air_48ffd31594bc3263,0,0,0,0,1,0,0,1.1881335395876824,1.7439662495773884,0.0,2.0259805705290845,0.9277437439509836,1,2.0,1,1,-0.26078279042052055,-0.26078279042052055
2016-07-08,air_48ffd31594bc3263,1,0,0,0,0,0,0,0.9495031651205382,0.9633249866766922,0.0,-0.8323049823912402,0.9496318298861149,1,4.0,1,1,1.127238027786631,1.127238027786631
2016-07-09,air_48ffd31594bc3263,0,0,1,0,0,0,0,0.6199659813325765,0.40895655360228456,0.0,-1.3932769133382197,0.7526390564699359,1,4.0,1,1,1.4439223892222433,1.4439223892222433
2016-07-10,air_48ffd31594bc3263,0,0,0,1,0,0,0,0.9835932186158447,1.1330296090464087,0.0,1.7321381305092376,0.7416950135023702,1,6.0,1,1,-0.39356033870704127,-0.39356033870704127
2016-07-11,air_48ffd31594bc3263,0,1,0,0,0,0,0,1.2563136465782954,1.3819297218553261,0.0,1.9458417232509444,0.9715199158212459,1,1.0,1,1,-1.4173346886296776,-1.4173346886296776
2016-07-12,air_48ffd31594bc3263,0,0,0,0,0,1,0,1.1540434860923765,1.1895978165029808,0.0,0.2896388795027189,1.2232329040752523,1,9.0,1,1,-0.653962873704785,-0.653962873704785
2016-07-13,air_48ffd31594bc3263,0,0,0,0,0,0,1,0.9267764627903341,0.7144248738677746,0.0,-1.3932769133382197,1.1028484314320317,1,10.0,1,1,-0.5774671518561327,-0.5774671518561327
2016-07-14,air_48ffd31594bc3263,0,0,0,0,1,0,0,1.0176832721111506,1.3140478729074394,0.0,-0.3514718987224006,0.8620794861455908,1,6.0,1,1,-0.3491690389813985,-0.3491690389813985
2016-07-15,air_48ffd31594bc3263,1,0,0,0,0,0,0,0.5972392790023724,0.3071337801804548,0.0,-1.3932769133382197,0.8292473572428943,1,5.0,1,1,0.902903423815972,0.902903423815972
2016-07-16,air_48ffd31594bc3263,0,0,1,0,0,0,0,0.8131429511393129,0.7257385153590888,0.0,-0.9658697278548067,0.730750970534805,1,4.0,1,1,1.3816952994282619,1.3816952994282619
2016-07-17,air_48ffd31594bc3263,0,0,0,1,0,0,0,1.0176832721111506,0.8501885717635478,0.0,-1.3665639642455065,1.1137924743995973,1,9.0,1,1,0.4027086001216758,0.4027086001216758
2016-07-18,air_48ffd31594bc3263,0,1,0,0,0,0,0,1.3358571047340102,1.3819297218553261,1.0,0.6101942686152787,1.2670090759455142,1,3.0,1,1,-1.2112322256177648,-1.2112322256177648
2016-07-19,air_48ffd31594bc3263,0,0,0,0,0,1,0,1.1767701884225805,1.2461660239595527,0.0,0.26292593041000567,1.1247365173671626,1,1.0,1,1,-1.0257400089070432,-1.0257400089070432
