visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Other,Shizuoka-ken Hamamatsu-shi Motoshirochō,total_area_visitors,total_genre_visitors
2016-01-05,air_a678e5b144ca24ce,0,0,0,0,0,1,0,-0.5558208508235037,-0.6473328772146398,0.0,0.11007100829525551,-0.5430133032414531,1,8.0,1,1,-1.4038826177080885,-1.4038826177080879
2016-01-06,air_a678e5b144ca24ce,0,0,0,0,0,0,1,-0.720286982708082,-0.8608670682807166,0.0,-1.3468739434763304,-0.53107631389708,1,11.0,1,1,-1.340525283950986,-1.3405252839509854
2016-01-07,air_a678e5b144ca24ce,0,0,0,0,1,0,0,-0.8594506327642635,-0.9362320768922733,0.0,0.7414138207296094,-0.781753090128915,1,20.0,1,1,-1.272159465311899,-1.2721594653118986
2016-01-08,air_a678e5b144ca24ce,1,0,0,0,0,0,0,-1.1124754510482298,-1.1246445984211646,0.0,-0.15703556619620182,-1.1040518024269885,1,6.0,1,1,-0.9418498873450286,-0.9418498873450282
2016-01-09,air_a678e5b144ca24ce,0,0,1,0,0,0,0,-1.0871729692198333,-1.049279589809608,0.0,0.8142610683181888,-1.020492877016377,1,24.0,1,1,-0.6869180068520233,-0.6869180068520228
2016-01-10,air_a678e5b144ca24ce,0,0,0,1,0,0,0,-1.074521728305635,-1.14976626795835,0.0,0.8385434841810485,-1.0324298663607498,1,35.0,1,1,-0.9691461299518436,-0.969146129951843
2016-01-11,air_a678e5b144ca24ce,0,1,0,0,0,0,0,-1.0618704873914364,-1.049279589809608,1.0,0.20720067174669465,-1.0324298663607498,1,28.0,1,1,-1.3265015262814297,-1.326501526281429
2016-01-13,air_a678e5b144ca24ce,0,0,0,0,0,0,1,-1.2263366192760148,-1.212570441801314,0.0,0.4985896621010117,-1.1517997598044807,1,12.0,1,1,-1.1782503737746919,-1.1782503737746912
2016-01-14,air_a678e5b144ca24ce,0,0,0,0,1,0,0,-1.2642903420186098,-1.3884221285616125,0.0,0.6200017414153105,-1.1995477171819733,1,36.0,1,1,-1.0868455246784767,-1.086845524678476
2016-01-15,air_a678e5b144ca24ce,1,0,0,0,0,0,0,-1.2769415829328081,-1.262813780875685,0.0,0.5957193255524508,-1.1040518024269885,1,14.0,1,1,-0.8143839470985259,-0.8143839470985255
2016-01-16,air_a678e5b144ca24ce,0,0,1,0,0,0,0,-1.2263366192760148,-1.14976626795835,0.0,0.9113907317696279,-1.3905395466919428,1,9.0,1,1,-0.6688874612768795,-0.668887461276879
2016-01-17,air_a678e5b144ca24ce,0,0,0,1,0,0,0,-1.1377779328766267,-1.0869620941153864,0.0,-0.13275315033334215,-1.3666655680031965,1,31.0,1,1,-1.2636450410125257,-1.263645041012525
2016-01-18,air_a678e5b144ca24ce,0,1,0,0,0,0,0,-0.8721018736784617,-1.061840424578201,0.0,-1.0554849531220132,-0.7101311540626764,1,31.0,1,1,-1.5431184974272545,-1.5431184974272538
2016-01-20,air_a678e5b144ca24ce,0,0,0,0,0,0,1,-1.6817812921871542,-1.6773213282392456,0.0,-0.30273006137336034,-1.5099094401356736,1,19.0,1,1,-1.1867647980740652,-1.1867647980740648
2016-01-21,air_a678e5b144ca24ce,0,0,0,0,1,0,0,-1.4161052329889896,-1.4261046328673905,0.0,0.1343534241581154,-1.295043631936958,1,15.0,1,1,-1.0665611609064398,-1.0665611609064394
2016-01-22,air_a678e5b144ca24ce,1,0,0,0,0,0,0,-1.3022440647612046,-1.1120837636525718,0.0,0.474307246238152,-1.1398627704601079,1,19.0,1,1,-0.7627965528140868,-0.7627965528140862
2016-01-23,air_a678e5b144ca24ce,0,0,1,0,0,0,0,-1.4540589557315846,-1.4512263024045762,0.0,-1.492568438653489,-1.1279257811157346,1,23.0,1,1,-0.6906743705135115,-0.6906743705135111
2016-01-24,air_a678e5b144ca24ce,0,0,0,1,0,0,0,-1.9221548695569222,-2.179754718982956,0.0,0.7899786524553292,-1.7605862163675086,1,41.0,1,1,-1.377087223589472,-1.3770872235894716
