visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Nerima-ku Toyotamakita,total_area_visitors,total_genre_visitors
2016-01-01,air_04341b588bde96cd,1,0,0,0,0,0,0,-0.9482816220913255,-0.9209552651048502,1.0,0.9698508197152171,-0.9818515890032361,1,10.0,1,1,-1.9904994351212033,-1.9904994351212033
2016-01-04,air_04341b588bde96cd,0,1,0,0,0,0,0,-0.7453856443749304,-0.47280582344838873,0.0,0.9193985888553656,-0.8914324421492333,1,23.0,1,1,-1.5031733487858225,-1.5031733487858225
2016-01-05,air_04341b588bde96cd,0,0,0,0,0,1,0,-0.5782948391967225,-0.47280582344838873,0.0,0.7428157808458842,-0.8010132952952305,1,35.0,1,1,-1.3721469953843286,-1.3721469953843286
2016-01-06,air_04341b588bde96cd,0,0,0,0,0,0,1,-0.805060931938576,-1.0860629541361781,0.0,-1.300499568978112,-0.5975702148737243,1,33.0,1,1,-1.307527760665853,-1.307527760665853
2016-01-07,air_04341b588bde96cd,0,0,0,0,1,0,0,-0.8647362195022217,-0.8030212015110445,0.0,0.18784124138751498,-0.9140372288627341,1,52.0,1,1,-1.2378002860486839,-1.2378002860486839
2016-01-08,air_04341b588bde96cd,1,0,0,0,0,0,0,-1.1273074847822624,-1.1332365795737005,0.0,0.9446247042852914,-1.0609683425004885,1,47.0,1,1,-0.9009118647298331,-0.9009118647298332
2016-01-09,air_04341b588bde96cd,0,0,1,0,0,0,0,-1.103437369756804,-1.0388893286986558,0.0,0.9446247042852914,-1.2305042428517436,1,71.0,1,1,-0.6409024538863228,-0.6409024538863229
2016-01-10,air_04341b588bde96cd,0,0,0,1,0,0,0,-0.9721517371167838,-0.7558475760735224,0.0,0.9698508197152171,-1.207899456138243,1,32.0,1,1,-0.9287517721777139,-0.9287517721777139
2016-01-11,air_04341b588bde96cd,0,1,0,0,0,0,0,-1.007956909654971,-1.145029985933081,1.0,-0.36713329807085443,-0.947944408932985,1,39.0,1,1,-1.2932246889495107,-1.2932246889495107
2016-01-12,air_04341b588bde96cd,0,0,0,0,0,1,0,-1.4256839226004905,-1.711113491183348,0.0,-1.3257256844080378,-1.241806636208494,1,44.0,1,1,-1.3473720318756641,-1.3473720318756641
2016-01-13,air_04341b588bde96cd,0,0,0,0,0,0,1,-1.4018138075750324,-1.2865508622456479,0.0,0.8689463579955136,-1.4452497166300005,1,24.0,1,1,-1.1420207879481765,-1.1420207879481767
2016-01-14,air_04341b588bde96cd,0,0,0,0,1,0,0,-1.2108528873713664,-0.9563354841829919,0.0,0.9446247042852914,-1.3774353564894983,1,15.0,1,1,-1.0487954097970162,-1.0487954097970162
2016-01-15,air_04341b588bde96cd,1,0,0,0,0,0,0,-1.1511775998077207,-1.145029985933081,0.0,0.41487628025684803,-1.015758769073487,1,55.0,1,1,-0.770907159308078,-0.7709071593080781
2016-01-16,air_04341b588bde96cd,0,0,1,0,0,0,0,-1.0318270246804295,-1.0506827350580366,0.0,0.8437202425655878,-1.0609683425004885,1,56.0,1,1,-0.6225127902510255,-0.6225127902510256
2016-01-17,air_04341b588bde96cd,0,0,0,1,0,0,0,-1.1631126573204498,-1.3808981131206923,0.0,-0.29145495178107683,-1.0270611624302375,1,39.0,1,1,-1.2291162782209044,-1.2291162782209046
2016-01-18,air_04341b588bde96cd,0,1,0,0,0,0,0,-1.5330994402150526,-1.6167662403083036,0.0,-1.0482384146788533,-1.1852946694247424,1,26.0,1,1,-1.514156064568014,-1.514156064568014
2016-01-19,air_04341b588bde96cd,0,0,0,0,0,1,0,-1.3182684049859283,-1.3926915194800729,0.0,1.0203030505750692,-1.241806636208494,1,42.0,1,1,-1.2763674972838215,-1.2763674972838215
2016-01-20,air_04341b588bde96cd,0,0,0,0,0,0,1,-1.4376189801132195,-1.3926915194800729,0.0,1.0203030505750692,-1.4113425365597492,1,7.0,1,1,-1.150704795775956,-1.150704795775956
2016-01-21,air_04341b588bde96cd,0,0,0,0,1,0,0,-1.270528174935012,-1.2983442686050284,0.0,0.7175896654159584,-1.43394732327325,1,32.0,1,1,-1.0281070382073068,-1.0281070382073068
2016-01-22,air_04341b588bde96cd,1,0,0,0,0,0,0,-1.1869827723459079,-1.2393772368081255,0.0,0.8689463579955136,-0.9592468022897354,1,42.0,1,1,-0.7182922883515327,-0.7182922883515327
2016-01-23,air_04341b588bde96cd,0,0,1,0,0,0,0,-1.3540735775241157,-1.5577992085114007,0.0,-1.0986906455387049,-1.0044563757167368,1,29.0,1,1,-0.6447336338103431,-0.6447336338103432
2016-01-24,air_04341b588bde96cd,0,0,0,1,0,0,0,-1.4734241526514071,-1.3455178940425507,0.0,0.9698508197152171,-1.5243664701272528,1,44.0,1,1,-1.3448179119263173,-1.3448179119263173
2016-01-25,air_04341b588bde96cd,0,1,0,0,0,0,0,-1.5808396702659693,-1.4162783321988341,0.0,1.1212075122947724,-1.693902370478508,1,34.0,1,1,-1.3695928754349818,-1.3695928754349818
2016-01-26,air_04341b588bde96cd,0,0,0,0,0,1,0,-1.4734241526514071,-1.2039970177299837,0.0,0.8689463579955136,-1.6034832236245053,1,30.0,1,1,-1.19616813087433,-1.1961681308743302
2016-01-27,air_04341b588bde96cd,0,0,0,0,0,0,1,-1.1392425422949914,-0.7794343887922834,0.0,1.045529166004995,-1.5017616834137522,1,23.0,1,1,-1.0439425818932573,-1.0439425818932573
2016-01-28,air_04341b588bde96cd,0,0,0,0,1,0,0,-0.996021852142242,-0.6968805442766195,0.0,1.0707552814349208,-1.3435281764192473,1,42.0,1,1,-1.0495616457818202,-1.0495616457818204
2016-01-29,air_04341b588bde96cd,1,0,0,0,0,0,0,-1.2227879448840955,-1.4988321767144979,0.0,-1.3257256844080378,-0.947944408932985,1,41.0,1,1,-0.9060201046285268,-0.9060201046285269
