visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri,total_area_visitors,total_genre_visitors
2016-01-01,air_db80363d35f10926,1,0,0,0,0,0,0,-0.816809817158537,-0.9639212166590064,1.0,-0.5999437095886859,-0.49514427102973396,1,8.0,1,1,-1.9943529548429253,-1.9943529548429253
2016-01-02,air_db80363d35f10926,0,0,1,0,0,0,0,-0.5481649829617138,-0.7666772595845406,1.0,-1.0683475706823726,-0.39650897411819724,1,94.0,1,1,-1.8445590367753544,-1.8445590367753544
2016-01-03,air_db80363d35f10926,0,0,0,1,0,0,0,-0.6735325722535646,-0.9063917291789538,1.0,-0.678011019770967,-0.38754212894442125,1,69.0,1,1,-1.708198414236686,-1.708198414236686
2016-01-04,air_db80363d35f10926,0,1,0,0,0,0,0,-0.85262912838478,-0.9639212166590064,0.0,-0.28767446885956127,-0.7462159358954636,1,24.0,1,1,-1.5107543158024428,-1.5107543158024428
2016-01-05,air_db80363d35f10926,0,0,0,0,0,1,0,-1.0138160289028737,-1.1611651737334723,0.0,-0.7300558932258211,-0.7820833165905678,1,5.0,1,1,-1.380730153418917,-1.380730153418917
2016-01-06,air_db80363d35f10926,0,0,0,0,0,0,1,-0.8794936118044623,-1.046106198773367,0.0,-1.0423251339549457,-0.6655143293314791,1,4.0,1,1,-1.316605176648874,-1.316605176648874
2016-01-07,air_db80363d35f10926,0,0,0,0,1,0,0,-0.9153129230307053,-1.0789801916191115,0.0,-0.6259661463161128,-0.6206801034625988,1,30.0,1,1,-1.247411031754717,-1.247411031754717
2016-01-08,air_db80363d35f10926,1,0,0,0,0,0,0,-0.8615839561913408,-1.0543246969848032,0.0,-0.9902802605000917,-0.6206801034625988,1,22.0,1,1,-0.9130993939693938,-0.9130993939693938
2016-01-09,air_db80363d35f10926,0,0,1,0,0,0,0,-0.96904188987007,-1.1447281773106002,0.0,-0.13153984849499897,-0.8269175424594482,1,71.0,1,1,-0.6550787364519876,-0.6550787364519876
2016-01-10,air_db80363d35f10926,0,0,0,1,0,0,0,-1.0048612010963132,-1.0954171880419836,0.0,-0.8341456401355293,-0.8717517683283285,1,72.0,1,1,-0.9407263602458155,-0.9407263602458155
2016-01-11,air_db80363d35f10926,0,1,0,0,0,0,0,-1.2466415518734537,-1.3830646254422463,1.0,-0.001427664857863849,-0.9883207555874174,1,25.0,1,1,-1.3024115059013546,-1.3024115059013546
2016-01-12,air_db80363d35f10926,0,0,0,0,0,1,0,-1.2197770684537717,-1.3090981415393217,0.0,-0.9642578237726646,-1.104889742846506,1,16.0,1,1,-1.3561446880169636,-1.3561446880169636
2016-01-13,air_db80363d35f10926,0,0,0,0,0,0,1,-1.0944094791619208,-1.1529466755220361,0.0,-0.9642578237726646,-0.9614202200660891,1,11.0,1,1,-1.152364129427578,-1.152364129427578
