visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-07-01,air_465bddfed3353b23,1,0,0,0,0,0,0,1.0719086941502165,1.1453120586819747,0.0,-0.18589032494524363,1.0196806910473792,1,29.0,1,1,1.4216437693501154,1.4216437693501154
2016-07-02,air_465bddfed3353b23,0,0,1,0,0,0,0,1.2334537558404113,1.2839788626836586,0.0,0.480804933297192,1.1738846606643112,1,55.0,1,1,1.5821900170869256,1.5821900170869256
2016-07-03,air_465bddfed3353b23,0,0,0,1,0,0,0,1.4873102813535748,1.6999792746887097,0.0,0.6674796056050738,1.3060594917645392,1,11.0,1,1,-0.42233358802889365,-0.42233358802889365
2016-07-04,air_465bddfed3353b23,0,1,0,0,0,0,0,1.32576521966338,1.5150902026864643,0.0,0.5341405539565867,1.1959137991810163,1,44.0,1,1,-1.2012517469050925,-1.2012517469050925
2016-07-05,air_465bddfed3353b23,0,0,0,0,0,1,0,0.6218903080132445,0.567533708674959,0.0,-1.3592739794519304,0.8214184443970377,1,24.0,1,1,-0.5279561194346898,-0.5279561194346898
2016-07-06,air_465bddfed3353b23,0,0,0,0,0,0,1,0.7834353697034399,0.7177560796767828,0.0,-0.26589375593433606,0.8544621521720948,1,20.0,1,1,-0.06398514511395602,-0.06398514511395602
2016-07-07,air_465bddfed3353b23,0,0,0,0,1,0,0,1.2796094877518955,1.8502016456905341,0.0,2.0542057427493403,1.0086661217890267,1,21.0,1,1,-0.13158356521366557,-0.13158356521366557
2016-07-08,air_465bddfed3353b23,1,0,0,0,0,0,0,1.0372918952166033,1.0528675226808522,0.0,-0.7992499625282845,1.0306952603057318,1,42.0,1,1,1.2134713619976008,1.2134713619976008
2016-07-09,air_465bddfed3353b23,0,0,1,0,0,0,0,0.702662838858342,0.4866447396739764,0.0,-1.3592739794519304,0.8324330136553901,1,58.0,1,1,1.5203528259729868,1.5203528259729868
2016-07-10,air_465bddfed3353b23,0,0,0,1,0,0,0,1.0719086941502165,1.226201027682957,0.0,1.760859829122668,0.8214184443970377,1,31.0,1,1,-0.26025101256254457,-0.26025101256254457
2016-07-11,air_465bddfed3353b23,0,1,0,0,0,0,0,1.348843085619122,1.4804235016860439,0.0,1.9742023117602476,1.0527243988224362,1,44.0,1,1,-1.2523346439122593,-1.2523346439122593
2016-07-12,air_465bddfed3353b23,0,0,0,0,0,1,0,1.2449926888182825,1.2839788626836586,0.0,0.3207980713190073,1.3060594917645392,1,36.0,1,1,-0.5125928421393013,-0.5125928421393013
2016-07-13,air_465bddfed3353b23,0,0,0,0,0,0,1,1.0142140292608612,0.7986450486777653,0.0,-1.3592739794519304,1.1848992299226637,1,43.0,1,1,-0.4384650291890516,-0.4384650291890516
2016-07-14,air_465bddfed3353b23,0,0,0,0,1,0,0,1.1065254930838295,1.4110900996852018,0.0,-0.31922937659373085,0.9425787062389132,1,28.0,1,1,-0.21723383613545666,-0.21723383613545666
2016-07-15,air_465bddfed3353b23,1,0,0,0,0,0,0,0.6795849729025999,0.38264463667271376,0.0,-1.3592739794519304,0.9095349984638562,1,44.0,1,1,0.996080988267853,0.996080988267853
2016-07-16,air_465bddfed3353b23,0,0,1,0,0,0,0,0.8988246994821505,0.8102006156779054,0.0,-0.9325890141767715,0.8104038751386856,1,20.0,1,1,1.4600519625885868,1.4600519625885868
2016-07-17,air_465bddfed3353b23,0,0,0,1,0,0,0,1.1065254930838295,0.937311852679449,0.0,-1.332606169122233,1.1959137991810163,1,24.0,1,1,0.5113695895983447,0.5113695895983447
2016-07-18,air_465bddfed3353b23,0,1,0,0,0,0,0,1.4296156164642195,1.4804235016860439,1.0,0.6408117952753765,1.3501177687979482,1,16.0,1,1,-1.0526120390722085,-1.0526120390722085
2016-07-19,air_465bddfed3353b23,0,0,0,0,0,1,0,1.2680705547740247,1.3417566976843596,0.0,0.29413026098930994,1.2069283684393683,1,46.0,1,1,-0.8728616947161625,-0.8728616947161625
2016-07-20,air_465bddfed3353b23,0,0,0,0,0,0,1,1.152681224995314,1.0644230896809923,0.0,-0.13255470428584898,1.1628700914059593,1,31.0,1,1,-0.37970049353419044,-0.37970049353419044
2016-07-21,air_465bddfed3353b23,0,0,0,0,1,0,0,0.6334292409911157,0.4173113376731348,0.0,-1.3592739794519304,0.8985204292055038,1,33.0,1,1,-0.15347623535959423,-0.15347623535959423
2016-07-22,air_465bddfed3353b23,1,0,0,0,0,0,0,0.5872735090796313,0.23242226567088956,0.0,-1.3592739794519304,0.8434475829137422,1,34.0,1,1,1.0613749167732542,1.0613749167732542
2016-07-23,air_465bddfed3353b23,0,0,1,0,0,0,0,0.702662838858342,0.7408672136770638,0.0,-0.9859246348361664,0.7773601673636287,1,33.0,1,1,1.3851559857735678,1.3851559857735678
2016-07-24,air_465bddfed3353b23,0,0,0,1,0,0,0,0.875746833526408,0.9604229866797296,0.0,0.5874761746159816,0.6892436132968102,1,49.0,1,1,-0.4449944220395917,-0.4449944220395917
2016-07-25,air_465bddfed3353b23,0,1,0,0,0,0,0,0.9680582973493767,0.8333117496781859,0.0,-1.145931496814351,0.9205495677222086,1,32.0,1,1,-1.1044630999441447,-1.1044630999441447
