Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,deepest_snowfall,total_snowfall
0,2016-01-01,1.8,3.2,-1.4,27,2
1,2016-01-02,3.7,5.8,-2.3,25,0
2,2016-01-03,4.3,5.7,2.4,15,1
3,2016-01-04,0.9,3.6,-1.1,27,18
4,2016-01-05,0.1,1.3,-1.1,26,1
5,2016-01-06,1.0,3.0,-0.4,24,3
6,2016-01-07,0.0,2.0,-1.5,29,11
7,2016-01-08,1.0,3.0,-0.4,28,3
8,2016-01-09,-0.5,1.4,-4.6,28,3
9,2016-01-10,-1.0,1.6,-3.5,31,6
10,2016-01-11,-3.5,-2.0,-5.1,35,12
11,2016-01-12,-3.1,-1.2,-4.8,40,8
12,2016-01-13,-2.2,1.0,-5.1,42,4
13,2016-01-14,-1.7,1.3,-4.0,47,12
14,2016-01-15,-1.9,0.4,-5.3,46,3
15,2016-01-16,-2.0,-0.2,-3.4,44,6
16,2016-01-17,-2.6,-0.1,-6.1,48,4
17,2016-01-18,-1.2,2.6,-8.8,44,2
18,2016-01-19,0.2,2.7,-3.7,40,3
19,2016-01-20,-0.5,2.7,-3.0,41,10
20,2016-01-21,-0.8,1.0,-3.5,60,19
21,2016-01-22,-2.0,0.5,-3.8,61,3
22,2016-01-23,-2.9,0.0,-5.9,63,3
23,2016-01-24,-3.6,1.4,-7.6,59,1
24,2016-01-25,-2.2,-0.5,-5.4,74,18
25,2016-01-26,0.8,3.7,-3.0,70,0
26,2016-01-27,1.6,3.7,0.1,63,0
27,2016-01-28,0.5,2.5,-0.9,56,1
28,2016-01-29,-0.9,0.5,-2.4,53,0
29,2016-01-30,-1.7,0.1,-3.6,52,3
30,2016-01-31,-2.2,-0.9,-3.4,54,7
31,2016-02-01,-3.6,-2.0,-4.8,65,14
32,2016-02-02,-3.1,-1.5,-5.9,73,11
33,2016-02-03,-1.4,0.5,-4.3,71,3
34,2016-02-04,-0.6,3.5,-4.7,67,5
35,2016-02-05,0.7,3.3,-1.6,64,0
36,2016-02-06,-2.2,0.3,-5.1,62,6
37,2016-02-07,-2.4,0.7,-5.0,62,5
38,2016-02-08,0.8,3.3,-3.0,64,3
39,2016-02-09,1.0,3.8,-2.1,63,7
40,2016-02-10,-0.5,1.1,-2.0,65,4
41,2016-02-11,-0.1,3.5,-3.5,65,2
42,2016-02-12,1.3,7.8,-5.7,61,0
43,2016-02-13,6.6,9.3,3.1,60,1
44,2016-02-14,6.8,13.3,0.9,54,1
45,2016-02-15,-2.5,1.4,-5.0,40,0
46,2016-02-16,-2.4,-0.3,-4.9,47,11
47,2016-02-17,-2.0,0.4,-3.5,54,10
48,2016-02-18,1.9,6.0,-2.6,51,0
49,2016-02-19,3.4,5.8,1.5,41,1
50,2016-02-20,2.8,5.9,-0.3,37,2
51,2016-02-21,1.4,5.2,-1.6,34,3
52,2016-02-22,-0.6,1.5,-3.9,32,1
53,2016-02-23,1.3,5.2,-2.8,35,7
54,2016-02-24,-2.5,0.3,-4.0,36,6
55,2016-02-25,-3.0,0.2,-5.8,41,13
56,2016-02-26,-2.5,-0.1,-4.9,44,4
57,2016-02-27,-1.5,1.2,-5.7,44,6
58,2016-02-28,-0.7,4.0,-7.3,38,1
59,2016-02-29,3.1,5.6,-0.7,35,0
60,2016-03-01,-1.5,1.0,-3.6,35,6
61,2016-03-02,-0.8,1.9,-4.7,35,7
62,2016-03-03,1.2,5.5,-4.6,35,1
63,2016-03-04,1.0,5.3,-3.2,31,0
64,2016-03-05,0.6,6.9,-6.2,28,0
65,2016-03-06,6.4,10.8,-1.3,24,0
66,2016-03-07,5.7,9.0,2.3,18,0
67,2016-03-08,4.8,12.0,1.0,8,0
68,2016-03-09,1.0,3.6,-1.0,0,0
69,2016-03-10,-0.4,2.6,-2.2,0,0
70,2016-03-11,-0.2,2.8,-1.8,2,3
71,2016-03-12,0.2,4.5,-3.0,1,2
72,2016-03-13,2.1,7.7,-3.4,0,0
73,2016-03-14,3.7,9.9,-1.1,0,0
74,2016-03-15,3.4,5.8,-0.7,0,0
75,2016-03-16,8.0,12.3,2.4,0,0
76,2016-03-17,10.0,17.0,2.9,0,0
77,2016-03-18,11.5,19.2,3.5,0,0
78,2016-03-19,8.9,11.2,6.4,0,0
79,2016-03-20,5.1,7.7,-0.6,0,0
80,2016-03-21,2.5,7.2,-2.4,0,0
81,2016-03-22,2.6,7.0,-0.7,2,3
82,2016-03-23,3.3,7.0,-1.0,0,0
83,2016-03-24,1.9,6.5,-0.3,4,4
84,2016-03-25,2.6,6.9,-1.8,0,0
85,2016-03-26,3.9,8.7,0.3,2,2
86,2016-03-27,6.0,12.4,1.5,0,0
87,2016-03-28,6.3,12.9,2.0,0,0
88,2016-03-29,7.7,14.4,1.0,0,0
89,2016-03-30,7.9,16.2,3.0,0,0
90,2016-03-31,6.8,10.5,1.4,0,0
91,2016-04-01,5.8,12.0,-1.1,0,0
92,2016-04-02,8.5,14.8,1.2,0,0
93,2016-04-03,8.9,11.3,6.0,0,0
94,2016-04-04,4.9,9.8,1.3,0,0
95,2016-04-05,8.4,16.0,0.0,0,0
96,2016-04-06,8.1,12.3,3.6,0,0
97,2016-04-07,8.0,13.3,3.0,0,0
98,2016-04-08,8.6,12.3,2.5,0,0
99,2016-04-09,9.2,16.1,2.4,0,0
100,2016-04-10,5.9,10.3,3.0,0,0
101,2016-04-11,4.0,7.1,0.9,0,0
102,2016-04-12,6.7,10.4,3.2,0,0
103,2016-04-13,11.8,19.3,3.8,0,0
104,2016-04-14,12.3,17.5,9.3,0,0
105,2016-04-15,6.8,9.3,3.7,0,0
106,2016-04-16,8.9,14.3,3.2,0,0
107,2016-04-17,11.3,16.3,5.9,0,0
108,2016-04-18,9.9,13.1,8.1,0,0
