Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature
0,2016-01-01,2.2,10.3,-3.8
1,2016-01-02,5.2,12.6,-1.7
2,2016-01-03,6.9,14.9,0.9
3,2016-01-04,6.9,15.0,0.1
4,2016-01-05,4.5,10.1,0.5
5,2016-01-06,4.5,9.8,0.2
6,2016-01-07,4.1,9.5,0.0
7,2016-01-08,3.1,7.1,-1.2
8,2016-01-09,2.2,8.4,-2.5
9,2016-01-10,2.4,9.6,-2.3
10,2016-01-11,3.8,10.8,-2.5
11,2016-01-12,5.0,8.8,2.4
12,2016-01-13,1.7,7.1,-2.8
13,2016-01-14,0.7,6.8,-4.4
14,2016-01-15,0.7,7.8,-4.2
15,2016-01-16,0.8,9.5,-5.5
16,2016-01-17,1.6,5.9,-2.8
17,2016-01-18,4.3,9.4,-0.5
18,2016-01-19,-1.2,1.4,-3.5
19,2016-01-20,0.7,5.2,-3.0
20,2016-01-21,1.3,6.5,-3.3
21,2016-01-22,2.7,7.6,-1.3
22,2016-01-23,1.2,6.2,-1.5
23,2016-01-24,-4.4,-1.1,-6.3
24,2016-01-25,-2.4,2.2,-9.6
25,2016-01-26,1.8,5.0,-1.9
26,2016-01-27,3.4,8.9,-1.4
27,2016-01-28,4.1,9.1,-1.8
28,2016-01-29,6.4,7.4,5.5
29,2016-01-30,6.2,8.4,2.0
30,2016-01-31,3.6,9.9,-1.4
31,2016-02-01,4.2,7.6,1.3
32,2016-02-02,3.6,8.5,-1.8
33,2016-02-03,2.8,7.8,-1.0
34,2016-02-04,2.0,8.8,-3.9
35,2016-02-05,2.0,9.2,-3.0
36,2016-02-06,1.5,7.1,-3.4
37,2016-02-07,1.0,7.1,-3.4
38,2016-02-08,2.1,8.4,-4.5
39,2016-02-09,5.1,9.0,-2.0
40,2016-02-10,2.1,11.3,-4.7
41,2016-02-11,3.2,12.9,-4.1
42,2016-02-12,6.3,13.6,-1.8
43,2016-02-13,10.6,12.7,8.1
44,2016-02-14,11.4,15.6,6.6
45,2016-02-15,2.6,6.6,-2.6
46,2016-02-16,1.3,5.5,-4.0
47,2016-02-17,2.1,5.6,-3.5
48,2016-02-18,1.1,9.5,-6.0
49,2016-02-19,5.1,12.4,-2.6
50,2016-02-20,6.0,7.5,5.0
51,2016-02-21,3.5,7.3,-1.3
52,2016-02-22,3.2,8.3,-2.9
53,2016-02-23,4.2,9.5,-0.5
54,2016-02-24,2.2,5.2,-0.2
55,2016-02-25,0.8,4.9,-3.1
56,2016-02-26,1.2,8.6,-5.1
57,2016-02-27,3.1,10.6,-2.0
58,2016-02-28,6.2,14.5,0.4
59,2016-02-29,4.3,12.0,-1.5
60,2016-03-01,-0.3,3.8,-3.0
61,2016-03-02,2.2,10.4,-4.4
62,2016-03-03,5.4,15.5,-3.0
63,2016-03-04,7.4,14.0,1.2
64,2016-03-05,11.5,19.7,3.1
65,2016-03-06,12.7,18.8,7.9
66,2016-03-07,14.0,21.4,8.4
67,2016-03-08,11.1,16.1,6.8
68,2016-03-09,7.0,10.5,3.4
69,2016-03-10,6.2,9.5,3.7
70,2016-03-11,5.0,9.7,0.2
71,2016-03-12,3.8,10.3,-1.9
72,2016-03-13,5.1,10.7,0.2
73,2016-03-14,5.8,9.5,3.6
74,2016-03-15,5.7,13.3,0.1
75,2016-03-16,6.6,15.3,0.7
76,2016-03-17,9.1,18.3,-0.6
77,2016-03-18,9.8,12.3,6.1
78,2016-03-19,12.4,18.1,7.7
79,2016-03-20,8.5,14.7,3.0
80,2016-03-21,6.5,14.5,-1.1
81,2016-03-22,7.0,17.0,-1.7
82,2016-03-23,9.6,18.3,0.5
83,2016-03-24,6.5,11.5,0.7
84,2016-03-25,4.3,11.3,-2.8
85,2016-03-26,4.4,12.6,-3.3
86,2016-03-27,6.0,12.4,0.4
87,2016-03-28,6.6,14.2,-0.7
88,2016-03-29,8.2,16.4,-1.8
89,2016-03-30,11.1,18.3,4.0
90,2016-03-31,11.9,19.2,4.0
91,2016-04-01,13.3,16.0,10.6
92,2016-04-02,14.1,19.7,8.8
93,2016-04-03,14.3,18.8,10.2
94,2016-04-04,14.1,18.9,10.4
95,2016-04-05,12.0,17.5,5.9
96,2016-04-06,12.6,20.9,4.0
97,2016-04-07,14.4,21.0,9.8
98,2016-04-08,13.6,20.6,8.4
99,2016-04-09,14.3,22.9,7.8
100,2016-04-10,14.4,21.6,8.7
101,2016-04-11,11.0,15.9,4.4
102,2016-04-12,8.7,17.3,0.1
103,2016-04-13,12.4,21.1,4.2
104,2016-04-14,17.2,23.3,12.9
105,2016-04-15,13.5,20.8,6.1
106,2016-04-16,13.8,23.3,3.7
107,2016-04-17,16.3,21.6,9.8
108,2016-04-18,11.4,16.6,4.8
109,2016-04-19,11.2,19.8,2.4
110,2016-04-20,13.3,21.3,3.2
111,2016-04-21,12.8,14.3,11.2
112,2016-04-22,17.2,24.2,11.4
113,2016-04-23,15.1,21.5,9.8
114,2016-04-24,14.8,20.7,9.2
115,2016-04-25,13.8,22.2,6.2
116,2016-04-26,16.5,26.0,7.4
117,2016-04-27,16.2,18.4,14.5
118,2016-04-28,14.4,18.7,9.4
119,2016-04-29,11.4,17.6,5.4
120,2016-04-30,13.2,21.5,3.3
121,2016-05-01,17.1,25.8,8.8
122,2016-05-02,17.7,25.7,9.0
123,2016-05-03,15.2,19.1,12.1
124,2016-05-04,17.9,23.5,10.2
125,2016-05-05,17.6,24.7,9.0
126,2016-05-06,14.3,16.4,13.0
127,2016-05-07,17.3,23.7,12.2
128,2016-05-08,16.2,23.1,8.0
129,2016-05-09,14.3,15.9,12.1
130,2016-05-10,17.4,20.5,14.9
131,2016-05-11,15.0,20.5,8.6
132,2016-05-12,15.5,24.9,5.7
133,2016-05-13,17.5,24.0,10.3
134,2016-05-14,18.4,26.2,10.5
135,2016-05-15,19.5,23.4,14.6
136,2016-05-16,15.9,21.7,9.6
137,2016-05-17,15.1,24.6,6.2
138,2016-05-18,17.2,26.7,7.9
139,2016-05-19,18.2,26.8,9.8
140,2016-05-20,19.8,27.6,12.1
141,2016-05-21,19.6,27.5,12.2
142,2016-05-22,19.3,27.2,11.9
143,2016-05-23,20.0,28.5,11.4
144,2016-05-24,19.8,26.6,11.6
145,2016-05-25,19.2,22.3,17.7
146,2016-05-26,22.1,25.3,17.6
147,2016-05-27,22.7,28.8,19.4
148,2016-05-28,19.8,22.9,17.5
149,2016-05-29,18.2,19.0,16.5
150,2016-05-30,20.9,26.0,16.1
151,2016-05-31,21.0,27.9,13.6
152,2016-06-01,19.9,25.2,14.5
153,2016-06-02,17.4,24.7,9.9
154,2016-06-03,18.0,26.7,8.9
155,2016-06-04,17.2,20.9,14.5
156,2016-06-05,17.4,20.2,15.3
157,2016-06-06,20.7,25.7,16.9
158,2016-06-07,19.8,23.4,18.1
159,2016-06-08,21.3,25.5,18.9
160,2016-06-09,20.9,25.4,18.1
161,2016-06-10,22.6,29.5,16.6
162,2016-06-11,23.0,28.0,18.1
163,2016-06-12,21.2,23.3,19.5
164,2016-06-13,22.2,26.4,19.7
165,2016-06-14,22.5,28.8,16.9
166,2016-06-15,23.0,28.0,18.0
167,2016-06-16,21.4,23.0,19.3
168,2016-06-17,21.9,26.4,17.7
169,2016-06-18,22.5,29.8,15.5
170,2016-06-19,21.8,25.6,19.7
171,2016-06-20,23.0,27.8,20.8
172,2016-06-21,23.0,27.3,19.8
173,2016-06-22,21.9,23.1,21.2
174,2016-06-23,24.6,29.9,21.1
175,2016-06-24,22.4,25.5,20.4
176,2016-06-25,21.2,25.5,17.1
177,2016-06-26,20.5,25.9,14.8
178,2016-06-27,19.7,24.9,14.9
179,2016-06-28,20.5,25.6,17.8
180,2016-06-29,20.9,22.3,19.6
181,2016-06-30,23.5,26.4,21.6
182,2016-07-01,25.3,30.4,20.6
183,2016-07-02,25.6,28.8,22.4
184,2016-07-03,26.5,32.5,23.1
185,2016-07-04,27.1,32.2,22.9
186,2016-07-05,27.2,32.3,22.9
187,2016-07-06,26.8,31.9,23.1
188,2016-07-07,26.6,32.3,21.9
189,2016-07-08,22.1,24.2,21.1
190,2016-07-09,24.2,29.6,20.6
191,2016-07-10,26.5,31.1,23.1
192,2016-07-11,25.1,28.2,23.0
193,2016-07-12,26.2,31.3,23.5
194,2016-07-13,24.3,26.1,23.1
195,2016-07-14,26.4,30.3,22.8
196,2016-07-15,22.3,25.4,20.8
197,2016-07-16,23.0,26.8,17.5
198,2016-07-17,25.4,30.6,21.9
199,2016-07-18,25.6,31.3,20.9
200,2016-07-19,25.9,32.3,20.5
201,2016-07-20,25.3,31.6,21.1
202,2016-07-21,25.8,31.7,21.5
203,2016-07-22,24.8,31.1,19.7
204,2016-07-23,25.4,31.6,20.5
205,2016-07-24,25.6,30.0,21.4
206,2016-07-25,25.2,28.1,22.9
207,2016-07-26,26.3,30.5,22.9
208,2016-07-27,26.1,31.4,21.6
209,2016-07-28,26.5,31.6,21.7
210,2016-07-29,26.4,32.2,21.9
211,2016-07-30,26.9,32.3,21.7
212,2016-07-31,25.5,32.5,22.1
213,2016-08-01,26.9,33.1,21.4
214,2016-08-02,25.6,32.6,22.0
215,2016-08-03,25.5,32.2,21.5
216,2016-08-04,26.5,33.8,21.6
217,2016-08-05,27.0,33.9,22.0
218,2016-08-06,27.6,34.3,22.3
219,2016-08-07,27.4,33.7,23.1
220,2016-08-08,27.0,34.8,22.7
221,2016-08-09,27.2,33.8,21.6
222,2016-08-10,26.8,34.1,18.8
223,2016-08-11,27.0,35.9,19.9
224,2016-08-12,27.0,35.3,20.8
225,2016-08-13,27.5,34.9,21.1
226,2016-08-14,27.9,34.4,22.4
227,2016-08-15,27.4,32.3,23.3
228,2016-08-16,26.1,31.1,23.4
229,2016-08-17,26.3,32.1,22.6
230,2016-08-18,26.4,33.6,20.5
231,2016-08-19,27.6,34.1,21.7
232,2016-08-20,27.5,33.2,23.4
233,2016-08-21,28.1,34.1,22.7
234,2016-08-22,27.6,33.3,23.2
235,2016-08-23,26.6,32.9,20.7
236,2016-08-24,26.3,31.7,22.1
237,2016-08-25,27.1,33.1,22.6
238,2016-08-26,26.1,33.4,22.0
239,2016-08-27,23.8,27.0,21.4
240,2016-08-28,23.0,26.1,20.6
241,2016-08-29,22.4,26.4,19.1
242,2016-08-30,21.0,26.1,15.2
243,2016-08-31,22.4,27.4,17.0
244,2016-09-01,21.6,28.2,16.0
245,2016-09-02,22.9,29.4,17.1
246,2016-09-03,24.2,30.3,17.8
247,2016-09-04,24.5,27.2,22.0
248,2016-09-05,23.6,26.5,22.1
249,2016-09-06,25.3,32.1,22.0
250,2016-09-07,24.8,29.7,21.7
251,2016-09-08,22.7,26.1,18.8
252,2016-09-09,22.6,29.5,17.2
253,2016-09-10,22.6,28.9,17.3
254,2016-09-11,24.2,30.6,19.0
255,2016-09-12,22.3,23.8,20.6
256,2016-09-13,22.9,27.8,19.9
257,2016-09-14,22.7,26.5,20.5
258,2016-09-15,23.6,28.4,20.8
259,2016-09-16,24.1,28.9,21.0
260,2016-09-17,24.5,29.1,20.9
261,2016-09-18,23.7,25.4,22.6
262,2016-09-19,21.4,25.1,18.0
263,2016-09-20,19.0,22.1,17.6
264,2016-09-21,19.8,23.0,16.9
265,2016-09-22,19.7,21.8,17.8
266,2016-09-23,20.7,25.9,16.8
267,2016-09-24,21.3,27.8,16.6
268,2016-09-25,21.7,24.7,18.6
269,2016-09-26,22.8,26.2,20.8
270,2016-09-27,24.8,30.5,20.2
271,2016-09-28,24.1,26.2,22.7
272,2016-09-29,20.7,23.3,17.9
273,2016-09-30,19.1,21.1,17.4
274,2016-10-01,21.2,23.5,19.4
275,2016-10-02,24.1,29.9,21.1
276,2016-10-03,23.9,28.6,21.5
277,2016-10-04,23.4,27.7,20.7
278,2016-10-05,22.1,27.1,19.4
279,2016-10-06,20.7,26.2,15.2
280,2016-10-07,17.3,22.5,11.9
281,2016-10-08,20.5,25.1,15.5
282,2016-10-09,18.1,22.3,12.5
283,2016-10-10,16.0,21.3,11.0
284,2016-10-11,14.3,18.3,11.1
285,2016-10-12,15.4,22.5,10.0
286,2016-10-13,14.6,20.1,11.4
287,2016-10-14,14.0,22.3,8.8
288,2016-10-15,13.7,22.7,6.2
289,2016-10-16,16.4,21.3,9.8
290,2016-10-17,19.4,24.3,17.0
291,2016-10-18,21.4,27.0,18.1
292,2016-10-19,19.9,23.5,17.2
293,2016-10-20,19.2,23.9,14.7
294,2016-10-21,16.1,19.5,12.5
295,2016-10-22,14.3,15.6,12.0
296,2016-10-23,15.8,18.8,12.7
297,2016-10-24,13.9,20.6,9.0
