Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature
0,2016-01-01,-0.4,3.1,-7.4
1,2016-01-02,1.8,5.9,-4.3
2,2016-01-03,3.7,7.1,0.9
3,2016-01-04,2.9,6.1,0.7
4,2016-01-05,0.4,2.7,-1.7
5,2016-01-06,0.3,2.5,-2.9
6,2016-01-07,0.2,2.4,-1.5
7,2016-01-08,0.1,3.2,-1.6
8,2016-01-09,-0.8,1.9,-2.0
9,2016-01-10,-0.4,3.8,-4.4
10,2016-01-11,-3.0,0.3,-8.4
11,2016-01-12,-3.2,-0.9,-7.9
12,2016-01-13,-2.1,1.3,-8.7
13,2016-01-14,-2.1,1.3,-8.6
14,2016-01-15,-4.3,1.0,-9.4
15,2016-01-16,-3.8,0.2,-10.0
16,2016-01-17,-2.1,1.8,-6.3
17,2016-01-18,-0.9,2.0,-3.8
18,2016-01-19,-0.3,2.2,-4.6
19,2016-01-20,-0.9,2.6,-5.7
20,2016-01-21,-0.1,1.6,-2.5
21,2016-01-22,-1.9,0.4,-5.6
22,2016-01-23,-2.9,1.5,-10.7
23,2016-01-24,-2.7,0.5,-6.2
24,2016-01-25,-2.1,-0.7,-4.4
25,2016-01-26,-0.3,2.9,-3.5
26,2016-01-27,1.6,4.9,-1.1
27,2016-01-28,0.9,4.3,-3.1
28,2016-01-29,-0.8,1.4,-3.4
29,2016-01-30,-2.3,0.9,-4.7
30,2016-01-31,-1.5,2.8,-5.0
31,2016-02-01,-2.7,-0.7,-4.5
32,2016-02-02,-3.3,-1.3,-6.8
33,2016-02-03,-1.0,2.5,-4.2
34,2016-02-04,-0.4,3.5,-6.8
35,2016-02-05,-0.6,3.6,-4.9
36,2016-02-06,-1.3,2.2,-6.4
37,2016-02-07,-2.6,0.1,-4.6
38,2016-02-08,-1.0,4.3,-6.8
39,2016-02-09,1.3,5.3,-2.3
40,2016-02-10,-1.3,0.2,-2.3
41,2016-02-11,-0.8,3.3,-7.9
42,2016-02-12,-1.5,5.9,-10.2
43,2016-02-13,2.4,6.1,-1.3
44,2016-02-14,5.8,12.4,1.4
45,2016-02-15,-0.8,5.7,-3.6
46,2016-02-16,-1.6,2.0,-4.4
47,2016-02-17,-1.4,0.6,-2.9
48,2016-02-18,1.7,8.3,-4.1
49,2016-02-19,2.8,8.9,-2.0
50,2016-02-20,2.9,5.6,0.2
51,2016-02-21,3.2,8.8,0.0
52,2016-02-22,0.5,3.9,-2.1
53,2016-02-23,-0.2,2.7,-3.2
54,2016-02-24,-1.8,1.2,-3.3
55,2016-02-25,-2.1,1.4,-3.9
56,2016-02-26,-1.6,2.3,-5.1
57,2016-02-27,-0.3,4.3,-5.0
58,2016-02-28,-0.3,3.4,-7.1
59,2016-02-29,2.6,4.6,0.3
60,2016-03-01,-2.0,1.7,-3.4
61,2016-03-02,-1.8,2.1,-5.8
62,2016-03-03,1.9,6.9,-4.9
63,2016-03-04,2.0,6.3,-2.7
64,2016-03-05,2.6,8.8,-2.5
65,2016-03-06,6.3,9.5,3.5
66,2016-03-07,8.1,12.0,5.0
67,2016-03-08,8.5,13.5,3.7
68,2016-03-09,2.9,5.5,1.4
69,2016-03-10,1.2,4.7,-1.7
