Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,deepest_snowfall,total_snowfall
0,2016-01-01,-7.7,-2.8,-13.3,2.5,14,1
1,2016-01-02,-4.1,2.1,-12.1,2.4,14,0
2,2016-01-03,-5.2,-0.8,-13.1,3.9,14,0
3,2016-01-04,-9.9,-1.9,-15.9,4.1,15,1
4,2016-01-05,-10.7,-2.9,-17.9,4.2,15,1
5,2016-01-06,-8.2,-0.4,-17.6,6.8,15,1
6,2016-01-07,-9.1,-2.9,-15.8,4.2,15,0
7,2016-01-08,-9.4,-1.8,-16.6,2.8,15,0
8,2016-01-09,-11.8,-2.2,-17.8,6.1,15,0
9,2016-01-10,-9.7,-0.7,-17.8,3.7,16,1
10,2016-01-11,-10.4,-6.5,-16.0,3.4,16,3
11,2016-01-12,-13.4,-4.9,-20.8,5.9,15,0
12,2016-01-13,-11.6,-2.8,-20.4,6.1,16,1
13,2016-01-14,-6.4,-3.0,-11.3,1.6,37,25
14,2016-01-15,-11.5,-7.0,-20.7,4.8,36,3
15,2016-01-16,-14.8,-5.4,-21.6,7.4,30,0
16,2016-01-17,-13.4,-3.9,-22.0,4.2,27,0
17,2016-01-18,-10.5,-3.1,-21.4,0.4,30,5
18,2016-01-19,-2.7,-1.9,-4.5,0.0,82,60
19,2016-01-20,-2.4,-1.6,-3.8,0.0,70,8
20,2016-01-21,-4.9,-3.8,-6.5,0.3,71,7
21,2016-01-22,-3.9,-1.3,-6.9,2.2,64,8
22,2016-01-23,-5.0,-2.1,-12.1,1.4,73,15
23,2016-01-24,-8.6,-5.8,-14.3,2.2,71,2
24,2016-01-25,-13.6,-8.0,-23.0,5.7,68,1
25,2016-01-26,-15.2,-3.4,-24.8,7.2,62,0
26,2016-01-27,-11.2,-1.3,-19.2,4.9,61,1
27,2016-01-28,-10.8,-3.2,-20.1,2.2,58,3
28,2016-01-29,-14.1,-5.8,-21.5,6.8,58,0
29,2016-01-30,-15.7,-6.8,-22.8,7.5,55,0
30,2016-01-31,-15.1,-6.1,-22.8,5.9,54,1
31,2016-02-01,-16.7,-7.0,-23.9,5.7,54,2
32,2016-02-02,-14.6,-4.7,-26.0,5.4,53,0
33,2016-02-03,-11.7,-4.9,-19.2,7.1,52,0
34,2016-02-04,-9.8,-1.8,-22.0,5.7,51,0
35,2016-02-05,-8.3,-0.8,-16.5,4.6,51,2
36,2016-02-06,-11.1,-1.8,-19.3,5.6,50,0
37,2016-02-07,-12.4,-5.4,-23.0,7.8,49,0
