Unnamed: 0,calendar_date,avg_wind_speed
0,2016-01-01,6.3
1,2016-01-02,3.0
2,2016-01-03,4.0
3,2016-01-04,3.1
4,2016-01-05,4.6
5,2016-01-06,7.8
6,2016-01-07,8.9
7,2016-01-08,10.4
8,2016-01-09,6.8
9,2016-01-10,3.1
10,2016-01-11,8.6
11,2016-01-12,9.9
12,2016-01-13,10.1
13,2016-01-14,8.7
14,2016-01-15,6.5
15,2016-01-16,6.1
16,2016-01-17,8.4
17,2016-01-18,9.9
18,2016-01-19,8.4
19,2016-01-20,7.4
20,2016-01-21,7.3
21,2016-01-22,6.5
22,2016-01-23,15.2
23,2016-01-24,14.8
24,2016-01-25,9.9
25,2016-01-26,4.3
26,2016-01-27,4.9
27,2016-01-28,5.6
28,2016-01-29,7.4
29,2016-01-30,8.8
30,2016-01-31,6.9
31,2016-02-01,10.8
32,2016-02-02,10.3
33,2016-02-03,8.8
34,2016-02-04,5.3
35,2016-02-05,12.3
36,2016-02-06,12.3
37,2016-02-07,9.0
38,2016-02-08,4.0
39,2016-02-09,1.8
40,2016-02-10,3.9
41,2016-02-11,6.4
42,2016-02-12,5.7
43,2016-02-13,5.7
44,2016-02-14,8.3
45,2016-02-15,11.5
46,2016-02-16,7.0
47,2016-02-17,6.9
48,2016-02-18,5.6
49,2016-02-19,5.8
50,2016-02-20,11.9
51,2016-02-21,7.1
52,2016-02-22,3.3
53,2016-02-23,10.3
54,2016-02-24,11.3
55,2016-02-25,8.9
56,2016-02-26,4.5
57,2016-02-27,5.8
58,2016-02-28,5.6
59,2016-02-29,10.0
60,2016-03-01,6.2
61,2016-03-02,2.6
62,2016-03-03,3.0
63,2016-03-04,2.7
64,2016-03-05,2.7
65,2016-03-06,2.3
66,2016-03-07,1.8
67,2016-03-08,4.9
68,2016-03-09,8.0
69,2016-03-10,11.1
70,2016-03-11,9.4
71,2016-03-12,4.9
72,2016-03-13,6.5
73,2016-03-14,11.3
74,2016-03-15,5.1
75,2016-03-16,3.0
76,2016-03-17,3.3
77,2016-03-18,6.0
78,2016-03-19,6.0
79,2016-03-20,5.9
80,2016-03-21,4.0
81,2016-03-22,2.9
82,2016-03-23,4.0
83,2016-03-24,11.2
84,2016-03-25,8.6
85,2016-03-26,9.2
86,2016-03-27,6.7
87,2016-03-28,4.7
88,2016-03-29,2.5
89,2016-03-30,2.8
90,2016-03-31,4.9
91,2016-04-01,4.8
92,2016-04-02,2.8
93,2016-04-03,4.2
94,2016-04-04,4.8
95,2016-04-05,2.0
96,2016-04-06,5.3
97,2016-04-07,5.9
98,2016-04-08,4.1
99,2016-04-09,3.4
100,2016-04-10,4.4
101,2016-04-11,5.6
102,2016-04-12,2.3
103,2016-04-13,3.7
104,2016-04-14,5.0
105,2016-04-15,5.2
106,2016-04-16,4.8
107,2016-04-17,4.4
108,2016-04-18,6.4
109,2016-04-19,5.2
110,2016-04-20,5.1
111,2016-04-21,6.0
112,2016-04-22,5.0
113,2016-04-23,5.6
114,2016-04-24,3.6
115,2016-04-25,2.1
116,2016-04-26,2.9
117,2016-04-27,4.5
118,2016-04-28,8.1
119,2016-04-29,5.6
120,2016-04-30,2.3
121,2016-05-01,2.9
122,2016-05-02,4.3
123,2016-05-03,6.4
124,2016-05-04,4.3
125,2016-05-05,5.6
126,2016-05-06,6.3
127,2016-05-07,5.3
128,2016-05-08,4.9
129,2016-05-09,5.1
130,2016-05-10,7.2
131,2016-05-11,7.5
132,2016-05-12,2.3
133,2016-05-13,4.2
134,2016-05-14,3.5
135,2016-05-15,4.1
136,2016-05-16,7.8
137,2016-05-17,7.4
138,2016-05-18,4.6
139,2016-05-19,6.5
140,2016-05-20,2.6
141,2016-05-21,2.3
142,2016-05-22,2.1
143,2016-05-23,3.6
144,2016-05-24,4.6
145,2016-05-25,4.0
146,2016-05-26,1.6
147,2016-05-27,4.0
148,2016-05-28,5.5
149,2016-05-29,2.6
150,2016-05-30,2.4
151,2016-05-31,2.2
152,2016-06-01,3.0
153,2016-06-02,4.2
154,2016-06-03,3.2
155,2016-06-04,2.3
156,2016-06-05,3.5
157,2016-06-06,2.3
158,2016-06-07,1.8
159,2016-06-08,1.8
160,2016-06-09,1.8
161,2016-06-10,3.0
162,2016-06-11,7.3
163,2016-06-12,6.3
164,2016-06-13,3.1
165,2016-06-14,2.9
166,2016-06-15,4.7
167,2016-06-16,6.3
168,2016-06-17,3.1
169,2016-06-18,4.2
170,2016-06-19,4.7
171,2016-06-20,5.1
172,2016-06-21,5.0
173,2016-06-22,4.9
174,2016-06-23,5.1
175,2016-06-24,5.5
176,2016-06-25,5.9
177,2016-06-26,4.2
178,2016-06-27,4.9
179,2016-06-28,6.2
180,2016-06-29,5.2
181,2016-06-30,3.4
182,2016-07-01,3.3
183,2016-07-02,4.1
184,2016-07-03,4.3
185,2016-07-04,3.9
186,2016-07-05,3.3
187,2016-07-06,3.6
188,2016-07-07,7.2
189,2016-07-08,6.6
190,2016-07-09,7.9
191,2016-07-10,7.5
192,2016-07-11,6.8
193,2016-07-12,7.0
194,2016-07-13,6.2
195,2016-07-14,5.2
196,2016-07-15,4.4
197,2016-07-16,4.4
198,2016-07-17,3.2
199,2016-07-18,2.6
200,2016-07-19,4.1
201,2016-07-20,4.9
202,2016-07-21,3.9
203,2016-07-22,3.1
204,2016-07-23,2.5
205,2016-07-24,2.0
206,2016-07-25,2.1
207,2016-07-26,1.8
208,2016-07-27,2.6
209,2016-07-28,2.9
210,2016-07-29,2.2
211,2016-07-30,2.8
212,2016-07-31,2.8
213,2016-08-01,4.9
214,2016-08-02,4.4
215,2016-08-03,2.4
216,2016-08-04,1.7
217,2016-08-05,3.4
218,2016-08-06,5.5
219,2016-08-07,4.6
220,2016-08-08,4.9
221,2016-08-09,3.0
222,2016-08-10,3.3
223,2016-08-11,4.2
224,2016-08-12,2.6
225,2016-08-13,1.9
226,2016-08-14,1.5
227,2016-08-15,1.4
228,2016-08-16,3.4
229,2016-08-17,4.6
230,2016-08-18,2.7
231,2016-08-19,2.5
232,2016-08-20,2.5
233,2016-08-21,2.2
234,2016-08-22,2.3
235,2016-08-23,2.9
236,2016-08-24,4.7
237,2016-08-25,5.4
238,2016-08-26,6.1
239,2016-08-27,5.1
240,2016-08-28,6.5
241,2016-08-29,7.3
242,2016-08-30,2.9
243,2016-08-31,2.2
244,2016-09-01,1.6
245,2016-09-02,2.5
246,2016-09-03,4.8
247,2016-09-04,4.7
248,2016-09-05,4.0
249,2016-09-06,3.0
250,2016-09-07,3.3
251,2016-09-08,3.0
252,2016-09-09,4.7
253,2016-09-10,1.7
254,2016-09-11,1.3
255,2016-09-12,3.7
256,2016-09-13,5.7
257,2016-09-14,7.0
258,2016-09-15,5.0
259,2016-09-16,3.5
260,2016-09-17,14.0
261,2016-09-18,8.1
