Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_local_pressure,avg_sea_pressure
0,2016-01-01,6.8,11.8,-0.2,5.1,1025.1,1028.6
1,2016-01-02,12.2,13.5,10.8,7.2,1018.7,1022.1
2,2016-01-03,11.0,14.5,5.5,8.0,1014.9,1018.3
3,2016-01-04,9.8,14.4,4.8,4.6,1014.6,1018.0
4,2016-01-05,7.2,10.3,4.3,1.0,1018.2,1021.7
5,2016-01-06,6.6,10.7,3.2,1.9,1016.4,1019.9
6,2016-01-07,5.6,8.3,3.7,1.0,1014.9,1018.4
7,2016-01-08,5.7,8.6,2.4,2.6,1013.7,1017.2
8,2016-01-09,5.1,8.2,2.2,1.5,1017.5,1021.0
9,2016-01-10,6.3,9.4,2.2,2.1,1018.7,1022.2
10,2016-01-11,5.0,9.6,2.9,2.0,1017.7,1021.2
11,2016-01-12,3.2,6.2,0.8,1.9,1015.1,1018.6
12,2016-01-13,4.3,7.5,0.5,4.9,1011.5,1015.0
13,2016-01-14,4.5,6.5,0.9,3.0,1013.7,1017.2
14,2016-01-15,3.2,7.6,0.5,2.6,1016.5,1020.1
15,2016-01-16,3.8,9.3,-0.3,4.1,1019.2,1022.7
16,2016-01-17,6.2,9.3,1.7,0.0,1014.7,1018.2
17,2016-01-18,6.0,9.6,-0.1,0.7,998.8,1002.2
18,2016-01-19,-0.9,0.9,-3.2,0.1,1004.7,1008.3
19,2016-01-20,3.5,6.7,0.5,5.2,1016.6,1020.1
20,2016-01-21,2.7,4.5,0.4,0.0,1019.1,1022.6
21,2016-01-22,2.5,5.3,0.4,2.7,1021.2,1024.8
22,2016-01-23,1.8,6.4,-1.6,1.0,1015.7,1019.3
23,2016-01-24,-2.9,-0.4,-5.7,1.2,1010.9,1014.5
24,2016-01-25,0.9,3.2,-2.0,1.7,1018.8,1022.4
25,2016-01-26,4.9,6.7,2.2,1.1,1019.6,1023.1
26,2016-01-27,6.3,8.4,4.0,2.2,1023.7,1027.2
27,2016-01-28,4.5,9.5,-0.4,0.0,1024.3,1027.9
28,2016-01-29,7.2,9.0,4.5,0.0,1018.3,1021.8
29,2016-01-30,5.9,7.5,4.3,0.0,1019.8,1023.3
30,2016-01-31,5.5,10.6,1.8,3.4,1020.0,1023.5
31,2016-02-01,3.7,4.8,2.6,0.0,1019.0,1022.5
32,2016-02-02,2.8,3.9,1.1,0.0,1019.5,1023.0
33,2016-02-03,2.1,6.7,-0.9,1.4,1021.1,1024.6
34,2016-02-04,4.8,8.4,0.1,3.9,1017.9,1021.4
35,2016-02-05,4.2,10.6,-0.9,5.8,1015.3,1018.8
36,2016-02-06,3.5,7.8,0.6,6.6,1014.0,1017.5
37,2016-02-07,1.0,5.0,-2.0,4.7,1017.4,1020.9
38,2016-02-08,3.1,7.3,-2.6,1.2,1013.1,1016.6
39,2016-02-09,5.6,9.4,2.5,3.5,1012.1,1015.6
40,2016-02-10,3.8,9.2,-0.8,4.2,1023.0,1026.5
41,2016-02-11,5.3,10.1,-1.7,8.8,1026.5,1030.0
42,2016-02-12,9.9,15.9,2.5,4.2,1020.9,1024.3
43,2016-02-13,13.0,16.5,10.0,0.8,1009.6,1013.0
44,2016-02-14,10.5,17.3,5.8,0.0,1000.7,1004.1
45,2016-02-15,2.1,6.2,-0.2,2.5,1008.8,1012.3
46,2016-02-16,2.3,4.9,-0.2,1.4,1011.4,1014.9
47,2016-02-17,2.8,5.8,-0.8,3.9,1017.1,1020.6
48,2016-02-18,6.3,9.9,-1.3,0.9,1019.6,1023.1
49,2016-02-19,9.7,12.6,6.9,8.2,1022.0,1025.4
50,2016-02-20,7.2,8.5,5.6,0.0,1015.3,1018.7
51,2016-02-21,4.0,6.8,-1.2,4.9,1022.1,1025.7
52,2016-02-22,3.2,8.3,-2.3,3.1,1027.1,1030.7
53,2016-02-23,5.8,10.8,2.2,1.1,1021.4,1025.0
54,2016-02-24,2.1,4.0,0.2,1.0,1025.8,1029.4
55,2016-02-25,1.5,6.2,-2.6,2.1,1026.6,1030.2
