Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,solar_radiation,avg_wind_speed,avg_local_pressure,avg_sea_pressure,cloud_cover
0,2016-01-01,0.9,2.8,-0.7,0.9,4.43,4.3,1023.1,1023.6,10.0
1,2016-01-02,3.8,5.6,-1.2,0.3,2.91,4.8,1015.6,1016.1,9.5
2,2016-01-03,3.9,4.8,2.7,0.0,2.16,3.6,1014.9,1015.4,9.8
3,2016-01-04,1.1,4.0,-1.2,0.0,2.2,3.3,1013.4,1013.9,9.8
4,2016-01-05,-0.4,1.0,-1.3,0.3,2.71,6.1,1016.4,1016.9,10.0
5,2016-01-06,0.7,3.6,-0.9,2.9,6.81,5.4,1016.1,1016.6,8.0
6,2016-01-07,-0.5,0.9,-1.7,0.0,2.61,4.9,1011.4,1011.9,9.3
7,2016-01-08,0.6,3.5,-1.0,4.8,7.52,5.8,1011.7,1012.2,8.5
8,2016-01-09,-0.9,0.7,-2.2,0.2,3.51,4.1,1016.2,1016.7,10.0
9,2016-01-10,-1.0,1.3,-3.6,0.1,2.97,5.4,1014.4,1014.9,10.0
10,2016-01-11,-4.0,-2.7,-5.1,0.2,2.46,4.1,1017.5,1018.0,8.8
11,2016-01-12,-3.2,-0.8,-4.6,0.9,5.37,5.5,1014.3,1014.8,10.0
12,2016-01-13,-1.8,1.7,-4.2,7.0,9.9,3.1,1010.8,1011.3,8.3
13,2016-01-14,-2.2,0.3,-3.8,0.3,2.58,4.5,1012.0,1012.5,10.0
14,2016-01-15,-2.2,-0.3,-3.7,0.6,4.44,4.3,1016.9,1017.4,9.0
15,2016-01-16,-2.5,-0.3,-3.5,0.4,4.09,4.8,1018.8,1019.3,10.0
16,2016-01-17,-2.9,-0.1,-6.1,0.2,4.63,3.6,1022.7,1023.2,9.8
17,2016-01-18,0.0,2.5,-7.0,0.0,0.76,7.0,1007.5,1008.0,10.0
18,2016-01-19,0.2,1.9,-2.4,0.6,4.07,3.2,996.5,997.0,8.8
19,2016-01-20,0.3,3.2,-2.5,3.1,6.26,3.4,1005.8,1006.3,8.3
20,2016-01-21,-1.0,0.7,-3.1,0.0,2.92,3.9,1015.1,1015.6,10.0
21,2016-01-22,-2.5,0.0,-4.2,3.3,7.66,5.4,1017.9,1018.4,10.0
22,2016-01-23,-2.7,0.2,-4.9,5.3,8.26,4.0,1016.4,1016.9,10.0
23,2016-01-24,-2.5,1.5,-6.4,3.0,6.5,3.0,1002.5,1003.0,8.5
24,2016-01-25,-2.2,-0.6,-3.1,0.2,3.6,4.4,1012.2,1012.7,10.0
25,2016-01-26,0.8,3.6,-2.1,1.0,5.23,4.1,1018.8,1019.3,9.3
26,2016-01-27,1.3,3.8,-0.2,3.1,7.64,5.4,1020.6,1021.1,9.8
27,2016-01-28,0.4,3.2,-0.9,2.5,6.21,5.0,1025.2,1025.7,9.8
28,2016-01-29,-1.1,0.5,-2.0,2.0,6.79,3.8,1027.2,1027.7,9.5
29,2016-01-30,-1.5,0.4,-2.9,2.2,7.43,2.8,1022.0,1022.5,10.0
30,2016-01-31,-2.7,-0.6,-4.3,1.4,6.89,5.1,1020.4,1020.9,10.0
31,2016-02-01,-3.7,-2.0,-4.7,0.2,5.2,4.1,1020.8,1021.3,10.0
32,2016-02-02,-3.5,-1.3,-4.7,0.4,5.62,4.3,1017.4,1017.9,10.0
33,2016-02-03,-1.8,0.6,-3.7,0.5,4.8,3.8,1021.4,1021.9,9.8
34,2016-02-04,0.6,3.5,-2.8,4.5,9.01,3.1,1016.7,1017.2,8.0
35,2016-02-05,0.7,3.6,-1.4,4.7,9.45,6.1,1014.6,1015.1,9.5
36,2016-02-06,-2.2,1.0,-5.0,1.7,6.5,4.5,1014.9,1015.4,7.8
37,2016-02-07,-3.3,-0.4,-5.7,3.4,8.49,4.7,1016.1,1016.6,8.3
38,2016-02-08,0.5,4.3,-2.1,6.1,11.21,2.2,1016.4,1016.9,7.3
39,2016-02-09,1.2,5.6,-2.4,2.8,5.81,3.7,1006.6,1007.1,9.0
40,2016-02-10,-0.7,1.0,-2.0,2.0,6.53,5.5,1016.9,1017.4,9.0
41,2016-02-11,-0.2,4.0,-3.4,4.7,9.45,3.3,1030.4,1030.9,5.8
42,2016-02-12,1.0,6.0,-4.4,8.0,10.46,1.8,1027.8,1028.3,8.3
43,2016-02-13,5.8,11.1,1.4,0.4,3.87,3.2,1014.3,1014.8,10.0
44,2016-02-14,6.1,14.7,1.0,2.5,7.29,6.1,993.9,994.4,10.0
45,2016-02-15,-2.7,1.3,-5.2,0.9,7.33,6.8,1004.3,1004.8,10.0
46,2016-02-16,-2.6,0.2,-5.4,2.0,8.35,4.5,1009.1,1009.6,10.0
47,2016-02-17,-2.1,0.6,-3.4,1.0,5.62,5.0,1012.7,1013.2,9.8
48,2016-02-18,2.4,7.2,-3.0,4.6,10.59,3.6,1019.5,1020.0,9.0
49,2016-02-19,4.0,8.3,1.0,2.9,7.99,4.3,1020.7,1021.2,7.5
50,2016-02-20,3.0,5.5,0.4,0.0,3.94,3.5,1022.2,1022.7,10.0
51,2016-02-21,1.5,5.6,-1.6,1.4,6.17,5.8,1012.0,1012.5,10.0
52,2016-02-22,-0.7,1.5,-3.5,0.2,6.79,4.6,1028.7,1029.2,10.0
53,2016-02-23,1.2,6.0,-3.5,0.6,7.0,3.4,1019.5,1020.0,10.0
54,2016-02-24,-3.0,0.7,-4.7,0.5,6.96,4.6,1023.9,1024.4,10.0
55,2016-02-25,-3.3,0.5,-5.4,1.3,7.85,4.0,1025.1,1025.6,8.3
56,2016-02-26,-2.4,0.7,-4.1,2.9,10.27,4.1,1023.5,1024.0,10.0
57,2016-02-27,-1.5,1.9,-6.0,3.9,12.5,3.3,1025.4,1025.9,8.8
58,2016-02-28,0.1,3.5,-3.5,9.1,16.31,2.3,1026.3,1026.8,5.5
59,2016-02-29,3.8,7.2,-0.1,0.0,3.45,7.0,1006.0,1006.5,10.0
60,2016-03-01,-1.7,1.9,-3.8,1.9,8.27,7.8,1011.2,1011.7,9.8
61,2016-03-02,-1.6,1.5,-4.0,2.1,9.42,4.2,1018.7,1019.2,8.3
62,2016-03-03,0.5,4.9,-4.0,1.1,5.23,2.5,1019.4,1019.9,9.8
63,2016-03-04,0.8,5.6,-2.6,6.9,15.07,2.4,1031.4,1031.9,5.0
64,2016-03-05,1.2,7.0,-4.8,10.5,17.98,3.1,1033.0,1033.5,2.5
65,2016-03-06,4.6,10.5,-1.2,0.2,4.19,1.7,1020.5,1021.0,10.0
66,2016-03-07,6.5,10.3,2.4,3.8,12.18,2.8,1018.5,1019.0,8.5
67,2016-03-08,5.3,12.5,0.2,5.6,14.66,5.2,1012.6,1013.1,10.0
68,2016-03-09,1.1,3.4,-0.5,0.1,6.56,4.3,1018.3,1018.8,10.0
69,2016-03-10,-0.1,3.7,-2.8,5.3,11.94,2.7,1019.7,1020.2,7.5
70,2016-03-11,-0.7,2.4,-2.7,3.5,11.58,4.2,1019.1,1019.6,8.5
71,2016-03-12,0.3,4.3,-2.8,4.9,13.89,3.3,1024.0,1024.5,8.8
72,2016-03-13,2.5,8.3,-4.2,5.5,13.06,2.6,1023.6,1024.1,7.5
73,2016-03-14,3.5,9.1,-2.1,7.2,15.24,2.1,1016.7,1017.2,6.0
74,2016-03-15,3.5,6.0,0.4,4.8,13.79,5.0,1015.1,1015.6,7.0
75,2016-03-16,7.8,12.5,2.7,10.4,18.08,6.0,1016.4,1016.9,4.0
76,2016-03-17,10.9,16.7,4.9,10.6,18.61,5.1,1018.6,1019.1,0.0
77,2016-03-18,10.2,18.4,4.2,5.3,13.69,3.0,1014.8,1015.3,10.0
78,2016-03-19,8.7,11.2,5.9,0.0,3.47,2.4,1006.8,1007.3,10.0
79,2016-03-20,4.9,7.9,1.5,0.6,7.23,4.2,1013.7,1014.2,9.3
80,2016-03-21,3.1,7.7,-1.9,6.5,15.73,4.7,1017.0,1017.5,5.8
81,2016-03-22,3.2,7.2,0.4,0.1,3.58,3.6,1011.6,1012.1,9.0
82,2016-03-23,3.2,7.1,0.8,0.5,7.85,4.9,1013.3,1013.8,9.0
83,2016-03-24,1.6,5.1,0.0,3.1,10.26,3.5,1016.3,1016.8,8.8
84,2016-03-25,2.7,7.3,-1.3,4.5,11.57,3.7,1017.0,1017.5,6.8
85,2016-03-26,4.5,9.9,0.2,8.6,18.91,3.3,1019.3,1019.8,4.5
86,2016-03-27,7.2,12.5,1.2,7.3,16.24,4.1,1018.2,1018.7,4.8
87,2016-03-28,7.5,13.7,2.4,8.0,16.28,4.8,1019.1,1019.6,3.0
88,2016-03-29,8.1,13.7,2.1,9.8,18.94,2.7,1021.7,1022.2,8.3
89,2016-03-30,7.3,16.3,2.6,3.1,7.99,3.6,1015.6,1016.1,8.0
90,2016-03-31,7.3,11.9,2.7,10.5,21.41,5.0,1017.3,1017.8,3.5
91,2016-04-01,5.8,10.0,-0.2,7.7,16.31,4.6,1024.0,1024.5,4.3
92,2016-04-02,8.7,13.9,3.1,10.8,21.16,4.9,1023.9,1024.4,6.3
93,2016-04-03,8.1,12.4,4.7,0.0,3.08,2.5,1018.5,1019.0,10.0
94,2016-04-04,5.6,10.0,3.3,4.8,10.4,2.9,1013.0,1013.5,7.0
95,2016-04-05,9.7,16.4,1.8,11.9,23.61,4.7,1011.1,1011.6,1.5
96,2016-04-06,8.5,13.4,3.2,11.0,23.8,4.9,1018.1,1018.6,2.3
97,2016-04-07,7.1,10.3,2.2,0.0,5.33,2.5,1011.1,1011.6,10.0
98,2016-04-08,9.0,13.7,3.6,1.0,5.87,3.8,1007.9,1008.4,6.8
