Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_wind_speed,avg_local_pressure,avg_sea_pressure
0,2016-01-01,7.9,14.7,1.8,8.5,4.0,1028.9,1030.7
1,2016-01-02,11.7,16.1,6.6,0.5,2.8,1023.6,1025.4
2,2016-01-03,14.6,18.7,12.2,3.7,2.7,1017.3,1019.1
3,2016-01-04,14.1,20.9,9.5,8.6,3.2,1017.6,1019.4
4,2016-01-05,13.1,17.6,10.6,0.8,3.2,1018.9,1020.7
5,2016-01-06,10.5,12.0,8.6,0.0,2.5,1017.2,1019.0
6,2016-01-07,9.3,13.8,6.4,8.5,3.7,1018.2,1020.0
7,2016-01-08,9.3,13.9,4.4,5.1,3.1,1017.8,1019.6
8,2016-01-09,7.9,13.8,3.9,8.6,4.0,1021.2,1023.0
9,2016-01-10,8.8,13.3,4.6,0.1,3.2,1021.8,1023.6
10,2016-01-11,8.8,10.0,8.0,0.0,3.0,1018.1,1019.9
11,2016-01-12,8.7,14.0,4.1,6.3,2.9,1015.4,1017.2
12,2016-01-13,7.5,12.8,3.8,7.6,3.1,1016.5,1018.3
13,2016-01-14,7.3,12.4,3.6,4.9,3.2,1018.1,1019.9
14,2016-01-15,7.5,11.7,3.8,3.4,3.3,1018.1,1019.9
15,2016-01-16,8.2,13.4,4.9,8.7,4.1,1019.2,1021.0
16,2016-01-17,9.8,15.6,4.9,0.0,3.7,1010.4,1012.2
17,2016-01-18,11.4,14.9,6.1,6.6,6.2,1005.0,1006.7
18,2016-01-19,6.0,10.2,3.9,7.9,7.3,1015.3,1017.1
19,2016-01-20,5.1,10.1,0.9,8.9,4.8,1021.8,1023.6
20,2016-01-21,4.6,8.5,1.3,0.0,3.3,1021.0,1022.8
21,2016-01-22,7.8,12.7,4.7,4.1,3.4,1020.2,1022.0
22,2016-01-23,8.0,12.5,2.6,1.4,3.7,1018.1,1019.9
