Unnamed: 0,calendar_date,avg_temperature,precipitation,hours_sunlight
0,2016-01-01,8.2,0.0,9.1
1,2016-01-02,10.6,0.0,3.0
2,2016-01-03,12.2,0.5,2.9
3,2016-01-04,13.2,0.0,8.9
4,2016-01-05,11.0,0.0,0.0
5,2016-01-06,10.9,1.5,0.1
6,2016-01-07,9.7,0.0,5.1
7,2016-01-08,7.9,0.0,4.7
8,2016-01-09,7.0,0.0,8.9
9,2016-01-10,8.1,0.0,7.9
10,2016-01-11,9.6,0.0,2.1
11,2016-01-12,8.7,0.0,4.7
12,2016-01-13,7.1,0.0,8.3
13,2016-01-14,6.5,0.0,8.0
14,2016-01-15,6.7,0.0,7.5
15,2016-01-16,7.4,0.0,8.7
16,2016-01-17,10.0,13.5,1.1
17,2016-01-18,11.4,8.0,7.6
18,2016-01-19,3.4,0.0,4.3
19,2016-01-20,3.8,0.0,7.0
20,2016-01-21,6.2,0.0,4.3
21,2016-01-22,7.8,0.0,5.6
22,2016-01-23,6.4,0.0,0.2
23,2016-01-24,0.4,0.0,6.6
24,2016-01-25,1.7,0.0,8.7
25,2016-01-26,4.8,0.0,6.6
26,2016-01-27,7.4,0.0,5.2
27,2016-01-28,9.3,0.5,1.5
28,2016-01-29,14.7,46.5,0.0
29,2016-01-30,13.5,5.5,0.0
30,2016-01-31,10.8,0.0,8.6
31,2016-02-01,8.2,0.0,0.0
32,2016-02-02,8.0,0.0,8.5
33,2016-02-03,7.8,0.0,8.4
34,2016-02-04,7.6,0.0,8.8
35,2016-02-05,9.7,0.0,6.6
36,2016-02-06,7.0,0.0,1.9
37,2016-02-07,6.6,0.0,8.9
38,2016-02-08,7.4,0.0,9.1
39,2016-02-09,8.9,0.0,9.3
40,2016-02-10,7.0,0.0,9.7
41,2016-02-11,9.5,0.0,9.5
42,2016-02-12,13.1,0.0,0.7
43,2016-02-13,17.0,64.0,0.0
44,2016-02-14,16.8,19.0,7.5
45,2016-02-15,7.5,0.0,6.9
46,2016-02-16,4.9,0.0,9.3
47,2016-02-17,6.2,0.0,7.7
48,2016-02-18,6.8,0.0,9.9
