Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,-0.5,0.6,-1.9,0.0,3.6,3.6,1017.4,61,1021.9
1,2016-01-02,2.5,4.6,-0.4,0.0,3.7,5.0,1008.7,69,1013.1
2,2016-01-03,0.0,1.3,-0.8,0.6,4.1,3.3,1010.0,54,1014.4
3,2016-01-04,-1.3,-0.4,-2.7,0.1,3.8,2.9,1008.9,53,1013.3
4,2016-01-05,-3.7,-1.5,-5.3,0.0,5.3,2.9,1010.9,62,1015.4
5,2016-01-06,-1.4,0.1,-3.1,0.1,4.6,3.2,1009.9,58,1014.3
6,2016-01-07,-2.7,-1.5,-4.0,0.0,4.6,3.0,1006.1,60,1010.6
7,2016-01-08,-1.7,-0.8,-2.3,0.0,4.7,2.9,1006.1,53,1010.5
8,2016-01-09,-2.7,0.1,-4.1,0.1,4.6,2.7,1010.5,55,1015.0
9,2016-01-10,-3.9,-0.6,-8.1,0.1,5.2,3.0,1009.1,64,1013.6
10,2016-01-11,-7.2,-6.3,-8.4,0.1,5.3,2.1,1012.1,59,1016.7
11,2016-01-12,-6.1,-5.1,-7.1,0.0,4.6,2.6,1008.8,68,1013.3
12,2016-01-13,-3.8,-2.4,-5.3,0.0,2.7,2.9,1005.9,62,1010.4
13,2016-01-14,-3.5,-2.3,-4.8,0.1,5.6,3.5,1006.1,73,1010.6
14,2016-01-15,-4.0,-2.6,-5.4,0.9,2.9,3.3,1011.1,72,1015.6
15,2016-01-16,-3.9,-2.3,-5.0,0.7,3.7,3.0,1013.1,66,1017.6
16,2016-01-17,-3.8,-1.7,-6.5,0.1,2.4,3.3,1017.6,71,1022.2
17,2016-01-18,-2.1,0.6,-6.2,0.0,5.0,3.9,1007.3,74,1011.8
18,2016-01-19,-1.2,1.3,-3.3,0.0,2.1,4.4,994.4,79,998.8
19,2016-01-20,0.1,1.3,-1.4,0.5,7.2,4.5,1004.0,73,1008.4
20,2016-01-21,-1.1,0.8,-2.8,1.5,6.4,3.7,1010.6,65,1015.0
21,2016-01-22,-2.4,-0.1,-4.7,0.8,3.3,4.0,1012.0,78,1016.4
22,2016-01-23,-4.1,-2.3,-7.0,1.8,2.1,3.2,1010.7,70,1015.2
23,2016-01-24,-3.1,-0.1,-7.5,4.7,3.0,3.2,998.1,66,1002.6
24,2016-01-25,-3.4,-2.1,-5.2,0.2,4.2,3.1,1007.4,65,1011.9
25,2016-01-26,-0.4,2.6,-4.2,0.5,2.6,4.4,1012.0,74,1016.5
26,2016-01-27,-1.0,1.2,-2.2,0.5,4.7,3.3,1014.8,57,1019.3
27,2016-01-28,-2.7,-0.7,-4.8,0.1,6.1,2.5,1019.8,51,1024.4
28,2016-01-29,-4.7,-3.8,-5.8,0.5,5.3,2.2,1022.7,52,1027.3
29,2016-01-30,-4.8,-3.5,-6.6,0.7,2.4,3.0,1018.2,71,1022.7
30,2016-01-31,-5.8,-4.4,-7.0,0.5,4.6,2.4,1015.4,61,1020.0
31,2016-02-01,-5.9,-4.9,-7.1,0.4,4.2,2.5,1015.6,65,1020.2
32,2016-02-02,-4.6,-3.4,-5.9,0.1,4.6,2.8,1011.9,65,1016.4
33,2016-02-03,-2.3,0.0,-4.3,0.0,3.8,3.0,1015.7,58,1020.2
34,2016-02-04,-0.8,1.1,-2.3,0.4,2.4,4.4,1010.5,76,1014.9
35,2016-02-05,-2.3,0.3,-4.7,0.4,4.5,2.9,1009.1,57,1013.6
36,2016-02-06,-4.7,-2.9,-6.7,0.3,4.0,2.7,1009.6,61,1014.1
37,2016-02-07,-3.4,-1.1,-6.4,1.0,5.1,2.7,1009.5,57,1014.0
38,2016-02-08,-2.5,0.0,-5.6,5.7,3.6,3.1,1011.9,60,1016.4
39,2016-02-09,1.1,3.2,-1.3,1.7,5.4,5.0,1000.1,76,1004.5
40,2016-02-10,-1.4,0.6,-3.5,0.9,8.0,3.5,1012.1,63,1016.6
41,2016-02-11,-1.1,0.7,-2.8,3.7,3.6,3.2,1025.9,56,1030.4
42,2016-02-12,1.4,4.4,-3.6,2.1,5.4,4.9,1022.1,71,1026.6
43,2016-02-13,4.9,7.0,2.4,0.0,4.0,7.3,1008.8,84,1013.2
44,2016-02-14,3.0,7.9,-1.7,0.0,6.2,6.8,989.1,87,993.4
45,2016-02-15,-6.5,-1.4,-9.4,0.2,5.6,2.5,998.8,67,1003.3
46,2016-02-16,-5.0,-2.7,-7.2,0.1,3.3,3.0,1002.6,71,1007.1
47,2016-02-17,-3.4,-0.1,-5.9,0.1,5.4,2.8,1005.9,58,1010.4
