Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,deepest_snowfall,total_snowfall
0,2016-01-01,0.8,3.8,-3.3,2.5,32,4
1,2016-01-02,3.3,8.1,-2.7,16.0,29,1
2,2016-01-03,2.3,5.4,0.8,4.5,15,1
3,2016-01-04,1.2,3.0,0.0,20.0,11,2
4,2016-01-05,0.6,2.0,-2.5,10.5,18,11
5,2016-01-06,0.1,2.8,-2.6,8.0,18,3
6,2016-01-07,0.5,1.5,-1.1,7.5,23,8
7,2016-01-08,-0.4,1.3,-2.9,11.5,35,17
8,2016-01-09,0.1,2.1,-0.7,3.5,35,13
9,2016-01-10,0.5,3.7,-1.7,10.0,37,14
10,2016-01-11,-1.1,0.0,-2.4,1.0,38,4
11,2016-01-12,-1.1,0.0,-2.1,3.0,39,4
12,2016-01-13,-0.6,3.0,-3.3,8.5,43,7
13,2016-01-14,-0.8,3.0,-2.7,3.0,39,7
14,2016-01-15,-2.3,0.3,-4.4,2.5,44,8
15,2016-01-16,-2.4,-0.2,-4.4,4.5,52,15
16,2016-01-17,-1.0,1.8,-4.6,2.5,53,3
17,2016-01-18,0.4,2.7,-2.7,7.0,52,10
18,2016-01-19,0.8,3.6,-1.4,26.5,56,14
19,2016-01-20,0.4,2.9,-2.0,13.5,62,8
20,2016-01-21,-0.2,1.2,-1.6,7.5,73,18
21,2016-01-22,-1.6,-0.2,-3.5,9.0,79,12
22,2016-01-23,-1.5,0.2,-3.9,0.5,79,4
23,2016-01-24,-2.6,1.0,-6.9,5.0,78,8
24,2016-01-25,-1.1,0.5,-2.6,3.5,79,6
25,2016-01-26,0.9,3.7,-1.0,4.0,80,2
26,2016-01-27,1.6,5.4,-0.4,17.0,72,3
27,2016-01-28,0.8,3.1,-0.7,7.5,70,4
28,2016-01-29,-1.1,0.8,-2.4,0.0,64,0
29,2016-01-30,-1.0,1.1,-2.5,1.0,64,4
30,2016-01-31,-0.4,1.9,-2.3,4.5,81,20
31,2016-02-01,-2.4,-1.1,-3.3,6.5,90,15
32,2016-02-02,-1.2,0.5,-2.7,3.0,89,3
33,2016-02-03,-1.2,1.4,-3.1,5.5,91,13
34,2016-02-04,0.7,4.2,-4.2,1.0,91,0
35,2016-02-05,1.2,3.4,-1.0,0.0,78,0
36,2016-02-06,-1.4,0.5,-3.5,6.0,83,17
37,2016-02-07,-2.5,-0.4,-4.1,7.0,90,11
38,2016-02-08,-1.1,4.2,-5.3,1.5,88,2
39,2016-02-09,1.1,3.5,-2.3,8.5,86,12
40,2016-02-10,-0.1,1.5,-1.6,2.0,88,3
41,2016-02-11,0.0,3.3,-5.1,0.0,82,0
42,2016-02-12,-0.5,9.2,-8.3,0.0,78,0
43,2016-02-13,2.7,5.2,0.1,0.0,75,1
44,2016-02-14,7.2,15.7,1.8,11.0,71,0
45,2016-02-15,-1.0,3.6,-3.6,4.5,54,6
46,2016-02-16,-1.9,0.9,-4.3,12.0,83,32
47,2016-02-17,-1.1,0.2,-2.7,7.0,90,9
48,2016-02-18,1.3,6.2,-2.9,0.5,82,1
49,2016-02-19,3.2,8.6,-3.7,12.5,67,0
50,2016-02-20,3.0,6.7,1.0,10.5,54,3
51,2016-02-21,3.5,9.0,0.5,12.5,49,1
52,2016-02-22,0.1,2.6,-3.4,0.0,43,0
53,2016-02-23,0.3,3.9,-2.4,12.5,44,3
54,2016-02-24,-2.0,2.4,-4.4,1.0,48,8
55,2016-02-25,-2.5,0.9,-5.1,5.5,56,15
56,2016-02-26,-1.6,1.0,-3.3,5.0,64,11
57,2016-02-27,-0.1,3.2,-3.0,8.5,69,18
58,2016-02-28,0.5,5.3,-7.4,0.5,69,2
59,2016-02-29,3.3,6.6,0.8,29.0,56,0
60,2016-03-01,-1.3,1.2,-2.7,1.5,53,8
61,2016-03-02,-0.7,3.5,-3.1,4.5,57,9
62,2016-03-03,2.8,6.6,-2.0,8.0,55,4
63,2016-03-04,0.9,5.3,-2.9,0.0,48,0
64,2016-03-05,3.7,11.1,-4.2,0.0,45,0
65,2016-03-06,7.6,13.8,3.2,1.0,40,0
66,2016-03-07,4.8,9.6,1.3,9.0,28,0
67,2016-03-08,4.8,9.9,-0.1,0.0,24,0
68,2016-03-09,2.3,4.1,0.3,0.0,16,2
69,2016-03-10,-0.1,2.3,-1.8,1.5,18,8
70,2016-03-11,-0.4,2.5,-3.3,2.5,20,7
71,2016-03-12,-0.2,4.0,-3.5,0.5,15,4
72,2016-03-13,1.5,7.7,-5.6,0.0,12,1
73,2016-03-14,3.3,8.2,-1.0,0.5,10,1
74,2016-03-15,3.1,5.4,0.3,0.5,5,0
75,2016-03-16,8.1,12.4,5.1,0.0,0,0
76,2016-03-17,8.8,14.5,0.8,0.0,0,0
