Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
0,2016-01-01,5.8,10.7,1.5,4.5,1011.8,50,1025.9,0.3
1,2016-01-02,6.0,12.9,1.0,4.2,1007.7,47,1021.7,3.3
2,2016-01-03,9.8,18.0,3.9,5.9,1002.4,51,1016.2,0.5
3,2016-01-04,10.3,15.8,3.4,6.1,999.7,50,1013.4,0.3
4,2016-01-05,10.6,17.8,4.3,5.5,1002.3,45,1016.1,2.5
5,2016-01-06,7.1,10.1,4.9,5.9,1003.3,58,1017.2,10.0
6,2016-01-07,5.5,10.1,2.2,4.9,999.2,55,1013.1,2.3
7,2016-01-08,4.4,10.2,-0.9,4.6,999.7,56,1013.7,1.5
8,2016-01-09,5.8,12.0,1.7,4.4,1003.3,49,1017.4,1.0
9,2016-01-10,6.6,14.9,1.1,4.3,1002.7,47,1016.6,1.5
10,2016-01-11,5.6,11.3,2.7,4.2,1003.3,48,1017.3,6.5
11,2016-01-12,3.7,7.7,-0.3,4.2,1001.0,53,1015.1,7.8
12,2016-01-13,2.3,8.6,-2.3,3.8,999.3,54,1013.4,0.0
13,2016-01-14,4.8,12.3,-0.7,3.9,998.0,47,1012.0,2.5
14,2016-01-15,4.5,11.4,-1.3,4.6,1002.2,56,1016.3,3.5
15,2016-01-16,4.5,11.7,-0.9,4.4,1005.1,55,1019.2,3.3
16,2016-01-17,4.0,8.5,-0.5,4.4,1008.1,55,1022.3,5.0
17,2016-01-18,1.9,5.7,0.1,6.3,986.6,91,1000.6,5.8
18,2016-01-19,3.2,6.5,-0.4,3.6,987.1,47,1001.0,0.5
19,2016-01-20,-0.1,5.5,-4.3,4.4,995.7,72,1009.9,3.5
20,2016-01-21,1.8,6.8,-4.0,4.1,1003.9,60,1018.2,5.3
21,2016-01-22,2.4,8.4,-1.8,3.7,1006.3,52,1020.5,4.3
22,2016-01-23,1.5,5.1,-1.5,3.9,1003.7,58,1017.9,10.0
23,2016-01-24,0.5,6.4,-3.6,3.0,990.9,50,1005.1,2.0
24,2016-01-25,0.2,6.0,-6.1,2.9,1002.6,47,1016.9,1.3
25,2016-01-26,1.8,9.1,-3.8,3.3,1008.8,49,1023.1,0.0
26,2016-01-27,4.5,12.5,-1.3,4.2,1009.7,52,1023.9,0.0
27,2016-01-28,6.4,13.6,0.3,4.9,1011.7,53,1025.7,0.3
28,2016-01-29,4.0,5.4,0.2,6.7,1010.1,82,1024.4,10.0
29,2016-01-30,2.6,4.9,0.4,6.6,1006.6,89,1020.8,10.0
30,2016-01-31,5.0,11.0,0.1,5.5,1006.4,66,1020.4,3.0
31,2016-02-01,4.5,9.1,1.9,4.1,1005.9,49,1020.0,10.0
32,2016-02-02,3.3,8.4,-0.4,3.8,1004.7,49,1018.8,2.8
33,2016-02-03,3.6,9.2,-1.6,3.7,1007.6,48,1021.7,2.5
34,2016-02-04,3.1,9.5,-2.4,3.7,1006.0,49,1020.2,1.3
35,2016-02-05,5.6,12.5,0.8,4.4,1001.9,50,1015.9,6.8
36,2016-02-06,5.4,11.8,1.0,4.8,998.8,55,1012.8,10.0
37,2016-02-07,3.3,7.2,0.8,3.1,1002.5,40,1016.6,4.5
38,2016-02-08,2.6,7.8,-1.3,4.0,1004.6,53,1018.8,6.5
39,2016-02-09,4.0,13.0,-1.1,4.6,996.4,59,1010.4,3.5
40,2016-02-10,3.5,8.2,0.1,3.9,1006.3,51,1020.5,2.3
41,2016-02-11,4.8,12.1,-1.4,3.6,1016.2,45,1030.4,0.0
42,2016-02-12,5.3,11.5,-0.9,4.8,1017.1,55,1031.3,4.0
43,2016-02-13,10.2,15.5,4.4,6.7,1005.6,55,1019.4,10.0
44,2016-02-14,12.9,22.9,7.9,10.1,986.1,68,999.5,7.8
45,2016-02-15,5.7,11.3,0.1,4.0,989.8,43,1003.6,7.5
46,2016-02-16,3.9,9.4,-1.3,3.5,997.6,45,1011.6,1.0
47,2016-02-17,3.3,8.5,-0.3,3.9,1001.6,52,1015.7,1.0
48,2016-02-18,4.0,10.1,-1.9,3.8,1010.9,49,1025.1,0.3
49,2016-02-19,8.7,18.0,1.2,4.2,1010.8,41,1024.8,3.5
50,2016-02-20,7.1,9.5,5.8,6.9,1006.4,68,1020.3,10.0
51,2016-02-21,8.7,12.8,4.4,5.6,1000.7,50,1014.5,3.3
52,2016-02-22,6.3,11.0,2.5,4.7,1014.7,49,1028.9,9.3
53,2016-02-23,6.7,11.4,3.3,6.5,1007.7,67,1021.7,4.5
