Unnamed: 0,calendar_date,avg_temperature,hours_sunlight,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,6.7,8.1,7.0,1030.1,72,1030.6
1,2016-01-02,11.4,0.4,9.6,1023.7,71,1024.2
2,2016-01-03,12.3,4.6,10.3,1018.8,73,1019.3
3,2016-01-04,11.6,7.2,8.4,1020.0,62,1020.5
4,2016-01-05,8.6,0.0,7.6,1022.7,69,1023.2
5,2016-01-06,7.6,3.5,6.2,1021.2,60,1021.7
6,2016-01-07,6.6,4.8,5.6,1021.1,57,1021.6
7,2016-01-08,5.2,0.1,5.0,1020.6,56,1021.1
8,2016-01-09,5.7,3.6,5.1,1023.5,56,1024.0
9,2016-01-10,5.9,8.1,5.8,1024.3,64,1024.8
10,2016-01-11,6.4,5.9,5.0,1022.0,53,1022.5
11,2016-01-12,5.1,8.2,4.5,1019.4,52,1019.9
12,2016-01-13,4.1,2.9,4.3,1018.6,53,1019.1
13,2016-01-14,4.3,1.7,4.6,1020.5,56,1021.0
14,2016-01-15,4.1,4.7,5.0,1020.7,63,1021.2
15,2016-01-16,6.5,0.7,7.8,1020.7,79,1021.2
16,2016-01-17,9.6,0.0,9.4,1013.6,79,1014.1
17,2016-01-18,5.4,2.6,5.8,1009.6,62,1010.1
18,2016-01-19,0.3,2.4,3.1,1017.2,50,1017.7
19,2016-01-20,0.6,8.7,3.3,1025.3,52,1025.8
20,2016-01-21,2.8,0.8,4.0,1023.7,55,1024.2
21,2016-01-22,4.2,7.3,4.3,1025.2,52,1025.7
22,2016-01-23,1.4,3.4,3.2,1024.5,47,1025.0
23,2016-01-24,-3.6,0.7,2.1,1021.4,44,1021.9
24,2016-01-25,1.3,1.7,3.7,1026.1,54,1026.6
25,2016-01-26,4.7,2.2,4.9,1026.2,58,1026.7
26,2016-01-27,6.6,2.4,6.2,1028.9,63,1029.4
27,2016-01-28,7.8,0.0,9.9,1025.9,93,1026.4
28,2016-01-29,8.4,0.0,10.1,1019.6,91,1020.1
29,2016-01-30,8.8,0.0,9.3,1021.6,82,1022.1
30,2016-01-31,6.6,8.2,7.0,1024.9,73,1025.4
31,2016-02-01,4.8,6.0,4.8,1024.0,56,1024.5
32,2016-02-02,3.2,7.7,4.4,1024.0,59,1024.5
33,2016-02-03,3.2,9.5,4.5,1025.0,61,1025.5
34,2016-02-04,4.4,7.1,4.8,1023.8,59,1024.3
35,2016-02-05,6.3,7.5,4.3,1020.6,46,1021.1
36,2016-02-06,3.7,2.8,4.1,1020.0,52,1020.5
37,2016-02-07,2.8,2.6,5.2,1020.3,69,1020.8
38,2016-02-08,6.6,7.0,5.1,1018.1,53,1018.6
39,2016-02-09,7.9,9.7,4.6,1020.1,44,1020.6
40,2016-02-10,6.1,9.7,5.7,1025.6,62,1026.1
41,2016-02-11,8.4,8.7,7.7,1026.5,72,1027.0
42,2016-02-12,13.4,0.1,12.7,1020.8,83,1021.3
43,2016-02-13,16.1,0.0,17.3,1009.8,95,1010.3
44,2016-02-14,7.3,0.8,7.6,1009.8,71,1010.3
45,2016-02-15,1.9,6.5,3.4,1018.0,48,1018.5
46,2016-02-16,4.4,2.7,4.4,1018.8,52,1019.3
47,2016-02-17,4.2,7.9,4.3,1023.4,53,1023.9
48,2016-02-18,6.7,7.7,6.2,1023.9,63,1024.4
49,2016-02-19,10.4,2.2,8.5,1025.5,68,1026.0
50,2016-02-20,8.4,0.0,9.3,1019.1,84,1019.6
51,2016-02-21,4.2,9.8,4.0,1028.0,49,1028.5
52,2016-02-22,6.0,0.4,6.5,1029.3,69,1029.8
53,2016-02-23,8.3,8.1,6.8,1025.8,65,1026.3
54,2016-02-24,5.4,6.9,4.6,1028.5,51,1029.0
55,2016-02-25,3.4,9.9,4.1,1032.1,53,1032.6
56,2016-02-26,6.8,7.7,5.7,1029.5,58,1030.0
57,2016-02-27,11.1,6.8,8.0,1023.9,62,1024.4
58,2016-02-28,11.9,1.8,10.3,1020.4,75,1020.9
59,2016-02-29,3.8,4.4,3.9,1022.2,47,1022.7
60,2016-03-01,2.4,9.9,3.7,1026.4,51,1026.9
61,2016-03-02,7.6,10.1,5.7,1025.8,55,1026.3
62,2016-03-03,13.0,8.2,10.0,1024.3,66,1024.8
63,2016-03-04,15.2,1.4,14.3,1025.0,83,1025.5
64,2016-03-05,16.4,8.3,13.3,1022.5,73,1023.0
65,2016-03-06,15.3,0.9,15.8,1017.5,91,1018.0
66,2016-03-07,12.6,3.8,11.9,1017.5,82,1018.0
67,2016-03-08,11.8,0.0,9.9,1018.1,71,1018.6
68,2016-03-09,8.3,1.4,8.8,1017.0,81,1017.5
69,2016-03-10,7.3,2.3,6.2,1020.4,61,1020.9
70,2016-03-11,4.0,10.1,4.4,1022.2,55,1022.7
71,2016-03-12,4.8,7.4,4.9,1023.7,59,1024.2
72,2016-03-13,7.2,0.0,7.0,1021.9,70,1022.4
73,2016-03-14,8.6,6.4,7.1,1018.5,64,1019.0
74,2016-03-15,8.2,10.1,6.8,1022.5,64,1023.0
75,2016-03-16,10.5,8.1,7.8,1021.4,63,1021.9
76,2016-03-17,13.0,9.4,10.6,1020.2,71,1020.7
77,2016-03-18,13.5,0.0,14.6,1011.4,95,1011.9
78,2016-03-19,13.6,10.3,11.4,1012.6,73,1013.1
79,2016-03-20,11.1,0.6,8.3,1020.3,63,1020.8
80,2016-03-21,9.5,7.8,7.2,1022.7,62,1023.2
81,2016-03-22,11.7,10.6,8.8,1018.0,65,1018.5
82,2016-03-23,11.9,4.9,9.6,1016.5,69,1017.0
83,2016-03-24,9.3,2.6,7.1,1021.3,61,1021.8
84,2016-03-25,9.2,1.0,6.2,1023.3,54,1023.8
85,2016-03-26,8.4,0.9,7.4,1020.3,68,1020.8
86,2016-03-27,9.8,9.9,6.0,1018.8,50,1019.3
87,2016-03-28,12.8,10.8,7.1,1021.3,49,1021.8
88,2016-03-29,14.4,2.1,9.4,1021.9,58,1022.4
89,2016-03-30,16.8,8.1,12.3,1019.0,65,1019.5
90,2016-03-31,14.3,0.2,14.0,1016.1,86,1016.6
91,2016-04-01,15.8,8.9,12.7,1014.0,72,1014.5
92,2016-04-02,15.9,5.3,14.7,1018.8,82,1019.3
93,2016-04-03,15.9,0.0,15.7,1016.2,88,1016.7
94,2016-04-04,12.9,0.0,12.7,1012.0,85,1012.5
95,2016-04-05,13.3,7.4,11.2,1015.6,75,1016.1
96,2016-04-06,13.5,3.9,11.5,1016.2,74,1016.7
97,2016-04-07,16.1,0.0,16.9,1006.8,91,1007.3
98,2016-04-08,14.8,8.0,13.0,1014.5,78,1015.0
99,2016-04-09,16.9,9.8,10.6,1013.7,55,1014.2
100,2016-04-10,14.3,5.9,10.9,1012.7,67,1013.2
101,2016-04-11,11.8,1.0,9.4,1019.3,68,1019.8
102,2016-04-12,13.3,5.3,10.2,1017.2,66,1017.7
103,2016-04-13,15.6,0.0,15.5,1007.5,88,1008.0
104,2016-04-14,18.2,11.1,14.7,1009.3,73,1009.8
105,2016-04-15,14.9,9.7,11.5,1019.3,69,1019.8
106,2016-04-16,14.9,0.8,13.7,1012.4,81,1012.9
107,2016-04-17,15.3,11.3,11.5,1006.9,66,1007.4
108,2016-04-18,14.7,2.7,8.5,1015.7,51,1016.2
109,2016-04-19,14.8,11.3,9.6,1022.2,59,1022.7
110,2016-04-20,15.1,8.7,12.6,1020.4,75,1020.9
111,2016-04-21,16.3,0.0,16.8,1005.8,90,1006.3
112,2016-04-22,18.4,10.0,14.2,1009.3,69,1009.8
113,2016-04-23,16.7,0.0,13.9,1011.7,73,1012.2
114,2016-04-24,15.0,5.9,12.0,1013.9,71,1014.4
115,2016-04-25,15.3,10.1,11.8,1016.5,70,1017.0
116,2016-04-26,16.1,7.5,13.8,1015.1,75,1015.6
117,2016-04-27,14.0,0.0,14.9,1006.2,93,1006.7
118,2016-04-28,13.1,0.0,12.5,1005.9,83,1006.4
119,2016-04-29,13.8,8.2,10.9,1013.1,70,1013.6
120,2016-04-30,17.3,11.7,11.5,1014.3,60,1014.8
121,2016-05-01,20.1,11.4,12.2,1015.6,53,1016.1
122,2016-05-02,20.3,8.4,16.9,1015.2,72,1015.7
123,2016-05-03,17.1,1.6,15.3,1002.9,78,1003.4
124,2016-05-04,19.0,11.8,12.0,1008.1,55,1008.6
125,2016-05-05,19.4,8.5,10.8,1015.4,48,1015.9
126,2016-05-06,18.2,0.0,19.1,1008.6,91,1009.1
127,2016-05-07,18.6,10.5,13.0,1011.7,62,1012.2
128,2016-05-08,16.9,6.2,13.9,1016.1,73,1016.6
129,2016-05-09,16.7,0.0,17.8,1010.1,93,1010.6
130,2016-05-10,16.1,0.0,17.5,1003.8,95,1004.3
131,2016-05-11,14.5,2.6,13.4,1009.4,82,1009.9
132,2016-05-12,16.6,11.9,13.4,1014.3,73,1014.8
133,2016-05-13,19.2,10.8,14.4,1019.0,66,1019.5
134,2016-05-14,17.1,4.5,15.2,1022.1,78,1022.6
135,2016-05-15,20.2,0.8,20.1,1013.3,85,1013.8
136,2016-05-16,16.1,3.4,14.8,1009.2,79,1009.7
137,2016-05-17,17.6,12.1,10.9,1015.0,55,1015.5
138,2016-05-18,16.0,11.7,11.0,1017.4,61,1017.9
139,2016-05-19,17.8,6.6,16.1,1017.5,78,1018.0
140,2016-05-20,19.5,12.2,15.9,1017.1,72,1017.6
141,2016-05-21,19.2,9.0,15.4,1017.7,71,1018.2
142,2016-05-22,18.4,9.3,16.9,1016.4,81,1016.9
143,2016-05-23,19.3,9.5,19.0,1013.9,85,1014.4
144,2016-05-24,20.5,0.0,19.3,1008.0,81,1008.5
145,2016-05-25,19.6,8.7,18.0,1009.3,80,1009.8
146,2016-05-26,21.0,10.1,16.3,1009.2,67,1009.7
147,2016-05-27,21.3,4.0,17.6,1010.7,70,1011.2
148,2016-05-28,18.9,0.7,17.8,1007.9,82,1008.4
149,2016-05-29,18.4,0.7,20.1,1003.9,95,1004.4
150,2016-05-30,20.2,12.4,18.6,1005.5,80,1006.0
151,2016-05-31,22.4,9.5,15.6,1006.2,61,1006.7
152,2016-06-01,20.4,7.6,16.7,1007.0,70,1007.5
153,2016-06-02,19.1,12.4,14.7,1010.4,67,1010.9
154,2016-06-03,19.6,11.2,16.5,1011.2,73,1011.7
155,2016-06-04,19.1,0.0,19.1,1008.5,86,1009.0
156,2016-06-05,19.6,0.0,20.4,1008.7,90,1009.2
157,2016-06-06,19.4,0.0,21.6,1011.9,96,1012.4
158,2016-06-07,20.4,1.5,22.1,1010.1,92,1010.6
159,2016-06-08,20.5,1.1,21.8,1009.6,91,1010.1
160,2016-06-09,21.0,2.1,22.1,1010.6,89,1011.1
161,2016-06-10,21.6,4.8,21.6,1012.6,84,1013.1
162,2016-06-11,22.4,6.2,23.5,1011.2,87,1011.7
163,2016-06-12,21.6,0.0,24.7,1005.7,96,1006.2
164,2016-06-13,21.7,0.7,23.4,1001.9,90,1002.4
165,2016-06-14,21.5,2.9,21.8,1004.1,86,1004.6
166,2016-06-15,23.5,3.5,23.4,1003.5,81,1004.0
167,2016-06-16,23.4,0.1,23.9,999.7,83,1000.2
168,2016-06-17,22.7,10.9,18.8,1008.2,69,1008.7
169,2016-06-18,22.6,7.8,22.2,1012.6,81,1013.1
170,2016-06-19,24.7,7.1,26.2,1008.7,85,1009.2
171,2016-06-20,23.3,0.1,26.3,1007.0,92,1007.5
172,2016-06-21,22.3,0.0,25.7,1007.2,96,1007.7
173,2016-06-22,22.0,0.0,25.4,1005.3,96,1005.8
174,2016-06-23,22.4,4.0,24.0,1006.3,89,1006.8
175,2016-06-24,23.8,0.0,26.7,1000.6,91,1001.1
176,2016-06-25,22.4,1.0,19.5,1005.2,72,1005.7
177,2016-06-26,23.6,12.0,19.5,1009.2,68,1009.7
178,2016-06-27,20.6,0.2,21.3,1010.4,88,1010.9
179,2016-06-28,20.6,0.0,21.5,1011.0,89,1011.5
180,2016-06-29,21.0,0.0,23.8,1011.5,96,1012.0
181,2016-06-30,24.2,3.9,25.8,1011.9,86,1012.4
182,2016-07-01,25.3,0.4,28.2,1009.9,88,1010.4
183,2016-07-02,26.8,0.0,30.1,1007.3,85,1007.8
184,2016-07-03,24.8,2.0,27.8,1009.6,89,1010.1
185,2016-07-04,27.7,2.9,30.7,1011.2,83,1011.7
186,2016-07-05,27.5,3.7,30.7,1013.9,84,1014.4
187,2016-07-06,27.6,6.1,29.3,1015.3,80,1015.8
188,2016-07-07,24.8,6.5,28.4,1014.6,91,1015.1
189,2016-07-08,24.6,1.6,27.8,1009.4,90,1009.9
190,2016-07-09,25.2,9.9,26.8,1006.0,84,1006.5
191,2016-07-10,25.7,3.8,29.0,1004.5,88,1005.0
192,2016-07-11,25.4,0.0,30.3,1004.6,94,1005.1
193,2016-07-12,25.2,0.2,29.7,1003.0,93,1003.5
