,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-4.2,-2.4,-8.2,,20.0,1.0,6.0
1,2016-01-02,-1.2,0.6,-6.1,,23.0,7.0,5.8
2,2016-01-03,-3.0,-1.6,-4.6,,22.0,3.0,9.2
3,2016-01-04,-4.5,-3.6,-5.6,,25.0,10.0,9.8
4,2016-01-05,-5.8,-4.1,-7.5,,16.0,8.0,10.5
5,2016-01-06,-4.9,-3.8,-5.8,,17.0,13.0,9.6
6,2016-01-07,-5.5,-4.2,-6.5,,12.0,2.0,8.5
7,2016-01-08,-4.4,-3.3,-6.0,,14.0,5.0,8.7
8,2016-01-09,-6.1,-4.0,-7.8,,19.0,9.0,8.0
9,2016-01-10,-6.3,-4.5,-8.2,,18.0,1.0,7.5
10,2016-01-11,-9.3,-6.6,-12.0,,22.0,7.0,5.6
11,2016-01-12,-8.5,-7.5,-10.3,,21.0,1.0,8.7
12,2016-01-13,-7.1,-5.6,-9.6,,31.0,14.0,4.1
13,2016-01-14,-8.1,-6.1,-11.2,,24.0,3.0,8.3
14,2016-01-15,-8.5,-5.6,-11.4,,36.0,16.0,4.1
15,2016-01-16,-7.3,-5.5,-10.8,,55.0,24.0,3.3
16,2016-01-17,-9.0,-4.7,-13.6,,56.0,2.0,
17,2016-01-18,-6.7,-1.6,-16.2,,48.0,5.0,6.4
18,2016-01-19,-2.2,-1.3,-2.9,,39.0,17.0,15.8
19,2016-01-20,-2.6,-1.6,-3.3,,26.0,2.0,11.7
20,2016-01-21,-2.6,-1.7,-3.3,,23.0,5.0,8.8
21,2016-01-22,-2.2,-0.3,-4.1,,42.0,15.0,7.8
22,2016-01-23,-5.0,-3.5,-7.0,,38.0,1.0,6.9
23,2016-01-24,-9.6,-6.7,-14.6,,33.0,1.0,5.3
24,2016-01-25,-8.4,-4.5,-14.5,,39.0,13.0,5.1
25,2016-01-26,-2.2,-0.9,-4.6,,41.0,2.0,8.6
26,2016-01-27,-4.3,-2.0,-5.6,,38.0,2.0,9.2
27,2016-01-28,-7.4,-4.8,-9.3,,36.0,,11.7
28,2016-01-29,-8.1,-6.2,-9.2,,29.0,3.0,8.3
29,2016-01-30,-10.2,-6.7,-14.2,,34.0,9.0,2.9
30,2016-01-31,-8.5,-7.2,-10.7,,41.0,11.0,7.2
31,2016-02-01,-9.5,-8.3,-11.1,,39.0,9.0,6.5
32,2016-02-02,-8.7,-6.4,-13.2,,44.0,8.0,6.6
33,2016-02-03,-7.3,-4.1,-12.2,,52.0,10.0,5.0
34,2016-02-04,-4.5,0.4,-13.9,,48.0,3.0,3.2
35,2016-02-05,-4.5,-1.7,-6.7,,48.0,3.0,8.7
36,2016-02-06,-7.5,-4.9,-11.1,,47.0,11.0,4.6
37,2016-02-07,-7.8,-5.6,-12.2,,49.0,14.0,6.9
38,2016-02-08,-10.8,-4.6,-15.8,,53.0,8.0,2.7
39,2016-02-09,-4.4,-1.4,-14.0,,48.0,5.0,5.2
40,2016-02-10,-2.5,-1.4,-3.4,,48.0,8.0,11.8
41,2016-02-11,-5.4,-2.7,-12.3,,35.0,2.0,5.2
42,2016-02-12,0.0,5.1,-12.7,,36.0,2.0,9.3
43,2016-02-13,3.4,5.7,-0.4,,26.0,0.0,7.8
44,2016-02-14,-5.5,-0.3,-8.0,,,,9.7
45,2016-02-15,-7.4,-4.5,-11.0,,49.0,32.0,6.3
46,2016-02-16,-7.6,-5.8,-8.9,,44.0,4.0,6.9
47,2016-02-17,-7.2,-5.5,-8.7,,48.0,13.0,10.9
48,2016-02-18,-3.9,-0.9,-7.7,,31.0,2.0,8.7
49,2016-02-19,-3.5,1.6,-8.2,,35.0,5.0,2.5
50,2016-02-20,-2.8,-0.2,-7.3,,37.0,7.0,7.0
51,2016-02-21,-4.1,-2.1,-6.2,,37.0,15.0,7.8
52,2016-02-22,-6.0,-3.9,-9.5,,51.0,16.0,6.4
53,2016-02-23,-6.3,-2.7,-10.6,,51.0,8.0,6.6
54,2016-02-24,-10.6,-8.4,-15.3,,51.0,4.0,5.7
55,2016-02-25,-8.4,-5.8,-11.3,,56.0,10.0,6.5
56,2016-02-26,-8.4,-6.0,-12.3,,53.0,1.0,5.2
57,2016-02-27,-8.5,-4.8,-13.7,,54.0,6.0,4.4
58,2016-02-28,-9.0,-2.7,-17.0,,54.0,3.0,2.8
59,2016-02-29,-5.3,-2.4,-14.5,,53.0,1.0,10.9
60,2016-03-01,-4.8,-2.4,-7.1,,40.0,27.0,13.2
61,2016-03-02,-5.1,-4.0,-8.7,,34.0,0.0,6.8
62,2016-03-03,-7.8,-3.9,-15.9,,34.0,2.0,3.7
63,2016-03-04,-6.8,-0.3,-12.8,,44.0,11.0,3.3
64,2016-03-05,-6.4,0.2,-13.6,,40.0,0.0,2.7
65,2016-03-06,-1.2,6.3,-6.5,,36.0,1.0,5.2
66,2016-03-07,1.9,6.2,-3.4,,33.0,0.0,7.5
67,2016-03-08,-0.4,4.8,-4.9,,33.0,6.0,5.6
68,2016-03-09,-1.9,-0.2,-5.6,,30.0,1.0,10.3
69,2016-03-10,-2.8,0.3,-7.4,,30.0,4.0,4.8
70,2016-03-11,-3.6,-1.0,-7.2,,32.0,2.0,5.8
71,2016-03-12,-2.5,-0.5,-5.6,,33.0,2.0,5.5
72,2016-03-13,-1.6,1.9,-6.3,,40.0,10.0,5.4
73,2016-03-14,0.2,1.7,-3.0,,41.0,3.0,5.1
74,2016-03-15,-4.6,0.4,-11.6,,35.0,0.0,6.1
75,2016-03-16,-0.4,4.8,-10.3,,34.0,0.0,5.6
76,2016-03-17,2.1,3.9,-1.0,,28.0,0.0,3.5
77,2016-03-18,5.3,9.4,1.4,,25.0,0.0,4.1
78,2016-03-19,2.5,6.9,-0.1,,20.0,0.0,6.5
79,2016-03-20,-1.3,0.0,-2.0,,15.0,0.0,9.9
