Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_local_pressure
0,2016-01-01,-2.6,2.0,-6.0,8.6,873.9
1,2016-01-02,1.0,6.3,-6.3,6.3,871.8
2,2016-01-03,4.0,8.6,-0.4,8.6,869.2
3,2016-01-04,3.9,9.7,-1.7,8.6,866.3
4,2016-01-05,2.3,5.5,0.5,7.4,867.8
5,2016-01-06,-1.1,0.9,-2.5,0.0,867.6
6,2016-01-07,-1.2,1.9,-6.2,6.6,863.3
7,2016-01-08,-1.7,2.0,-4.2,7.0,863.9
8,2016-01-09,-2.0,0.9,-5.7,8.8,867.2
9,2016-01-10,-0.8,2.2,-3.5,4.0,866.5
10,2016-01-11,-2.2,1.5,-5.4,7.4,866.7
11,2016-01-12,-4.3,-1.1,-8.6,1.8,863.7
12,2016-01-13,-5.0,-0.3,-9.8,8.4,862.5
13,2016-01-14,-2.7,0.8,-5.8,5.4,862.3
14,2016-01-15,-3.7,-0.6,-6.4,2.6,865.5
15,2016-01-16,-2.8,1.2,-7.4,7.9,867.7
16,2016-01-17,-3.5,-1.0,-6.9,4.4,870.7
17,2016-01-18,-1.4,2.8,-5.3,0.3,852.7
18,2016-01-19,-5.7,0.2,-10.1,4.7,850.7
19,2016-01-20,-7.0,-4.1,-11.5,0.1,857.0
20,2016-01-21,-5.0,-1.8,-9.2,6.7,865.5
21,2016-01-22,-6.0,-2.8,-11.1,4.7,867.2
22,2016-01-23,-6.0,-1.1,-11.0,4.3,865.2
23,2016-01-24,-7.8,-3.6,-12.1,3.4,853.1
24,2016-01-25,-8.8,-5.7,-12.6,1.0,862.9
25,2016-01-26,-7.3,-1.6,-12.6,9.2,870.7
26,2016-01-27,-2.1,1.8,-9.1,8.9,872.6
27,2016-01-28,-0.6,4.5,-6.4,7.7,875.3
28,2016-01-29,-2.1,-0.3,-4.5,0.0,873.0
29,2016-01-30,-3.6,-1.5,-5.8,0.0,868.6
30,2016-01-31,-3.3,1.4,-8.0,8.3,869.3
31,2016-02-01,-3.4,0.1,-7.4,2.6,868.1
32,2016-02-02,-5.4,-1.9,-10.7,6.8,866.2
33,2016-02-03,-6.7,-1.5,-12.1,7.4,869.2
