,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,7.2,12.2,2.3,,9.3,2.8,7.4,1026.2,75,1031.5
1,2016-01-02,11.5,15.6,6.4,3.5,0.1,2.5,11.2,1019.8,82,1025.0
2,2016-01-03,13.9,18.0,11.6,0.0,3.3,2.5,13.9,1014.2,88,1019.3
3,2016-01-04,13.2,17.3,8.4,,7.6,2.7,12.0,1015.8,80,1020.8
4,2016-01-05,11.3,14.4,7.5,10.5,0.2,3.9,11.5,1016.0,86,1021.1
5,2016-01-06,9.4,10.2,7.7,6.5,0.0,3.4,11.1,1014.6,94,1019.8
6,2016-01-07,9.7,11.9,7.9,0.0,1.2,3.6,8.1,1016.4,68,1021.6
7,2016-01-08,8.0,11.5,5.5,3.0,0.0,3.5,8.6,1015.8,81,1021.0
8,2016-01-09,7.3,9.9,5.6,0.0,1.0,3.2,6.9,1018.9,67,1024.1
9,2016-01-10,7.8,11.0,3.3,,0.6,3.0,7.5,1019.2,71,1024.4
10,2016-01-11,8.4,11.0,7.0,0.5,0.0,3.1,7.7,1015.5,70,1020.7
11,2016-01-12,7.7,10.1,5.7,0.0,0.3,3.1,7.6,1013.7,73,1018.8
12,2016-01-13,6.0,8.9,4.8,3.0,0.1,3.1,7.7,1014.5,82,1019.7
13,2016-01-14,6.9,9.7,3.7,0.0,3.1,3.3,7.0,1015.7,71,1020.9
14,2016-01-15,5.7,9.4,2.8,,0.9,3.3,5.3,1015.3,59,1020.5
15,2016-01-16,8.2,14.1,2.1,,9.5,2.9,6.0,1015.7,57,1020.9
16,2016-01-17,9.5,13.9,4.2,20.0,0.0,3.4,10.0,1005.9,83,1011.0
17,2016-01-18,9.2,11.6,5.3,3.5,0.8,7.3,8.9,1005.2,76,1010.3
18,2016-01-19,5.6,7.5,3.3,3.0,1.1,9.1,6.4,1014.0,71,1019.3
19,2016-01-20,4.2,6.6,1.1,0.0,1.5,4.1,5.2,1020.2,64,1025.5
20,2016-01-21,3.8,5.6,2.0,0.0,0.0,3.5,6.0,1018.5,75,1023.8
21,2016-01-22,6.3,8.7,3.7,,3.6,4.4,6.7,1018.0,70,1023.3
22,2016-01-23,5.4,8.8,1.0,0.5,1.0,4.0,6.8,1017.0,77,1022.3
23,2016-01-24,-0.3,2.4,-2.4,6.5,0.1,7.0,5.0,1016.0,84,1021.3
24,2016-01-25,0.1,2.4,-3.2,2.5,1.0,3.2,5.5,1022.5,89,1027.8
25,2016-01-26,5.0,9.2,1.9,1.5,0.2,2.5,7.5,1022.9,86,1028.2
26,2016-01-27,8.4,12.4,4.8,0.0,0.7,2.4,8.1,1024.9,74,1030.2
27,2016-01-28,12.8,17.1,7.4,1.5,0.0,2.5,11.7,1020.8,78,1025.9
28,2016-01-29,15.5,18.3,14.5,74.5,0.0,2.5,17.2,1012.0,98,1017.0
29,2016-01-30,11.4,15.5,8.1,0.5,3.4,3.6,11.6,1013.7,86,1018.8
30,2016-01-31,9.7,13.6,6.4,,5.9,2.7,8.9,1019.7,75,1024.9
31,2016-02-01,7.3,9.6,5.4,0.5,0.0,2.8,7.9,1018.4,76,1023.6
32,2016-02-02,6.4,8.8,5.2,,2.1,3.6,6.2,1017.8,64,1023.0
33,2016-02-03,6.4,10.9,2.9,,2.9,2.9,6.6,1019.8,70,1025.1
34,2016-02-04,7.0,10.6,3.6,,4.2,2.6,6.7,1019.5,68,1024.7
35,2016-02-05,7.4,11.4,4.4,,5.6,3.1,6.7,1015.7,66,1020.9
36,2016-02-06,6.3,8.3,4.1,0.0,1.2,3.9,6.0,1014.5,63,1019.7
37,2016-02-07,6.3,9.9,3.1,0.0,6.2,3.0,5.5,1015.1,58,1020.3
38,2016-02-08,6.8,11.6,2.9,0.0,5.2,2.7,6.5,1015.5,67,1020.7
39,2016-02-09,11.1,13.0,6.7,0.0,8.9,5.3,6.6,1016.9,50,1022.0
40,2016-02-10,9.0,13.9,5.8,,9.9,2.7,6.5,1020.4,57,1025.6
41,2016-02-11,11.5,17.2,4.4,,8.4,1.9,8.3,1021.7,60,1026.9
42,2016-02-12,15.9,18.1,12.4,1.5,0.0,3.0,13.0,1017.1,72,1022.2
43,2016-02-13,19.1,21.6,16.6,14.5,0.1,4.8,19.9,1007.9,90,1012.8
44,2016-02-14,11.3,17.5,7.2,3.0,0.0,5.7,11.7,1008.2,85,1013.3
45,2016-02-15,4.7,7.4,1.1,0.5,0.5,5.6,5.7,1013.6,67,1018.9
46,2016-02-16,3.1,5.5,0.3,7.5,0.2,2.9,7.1,1016.0,93,1021.3
47,2016-02-17,7.3,9.9,3.7,1.5,4.4,3.6,6.7,1018.5,66,1023.8
48,2016-02-18,7.7,12.1,3.7,,8.4,2.6,7.1,1020.7,68,1026.0
49,2016-02-19,10.8,15.0,5.7,1.0,3.1,2.5,9.6,1021.3,75,1026.4
50,2016-02-20,10.6,13.1,8.7,42.0,0.5,4.8,10.6,1012.3,84,1017.5
51,2016-02-21,8.0,10.2,4.3,0.0,8.6,4.6,5.9,1022.4,56,1027.6
52,2016-02-22,6.8,9.7,3.8,11.5,0.0,3.3,7.5,1023.8,75,1029.0
53,2016-02-23,9.1,11.3,7.8,11.0,0.4,5.2,9.9,1018.9,86,1024.1
54,2016-02-24,7.8,10.8,4.6,,5.5,4.3,6.5,1022.8,61,1028.0
55,2016-02-25,5.9,9.1,2.4,0.0,3.5,3.7,5.6,1026.1,60,1031.4
56,2016-02-26,5.4,11.1,1.3,,7.6,3.1,4.8,1026.1,55,1031.4
57,2016-02-27,9.2,13.7,3.4,0.0,0.1,2.3,7.2,1021.9,60,1027.1
58,2016-02-28,12.5,17.5,5.6,0.0,10.1,2.6,10.1,1018.1,70,1023.2
59,2016-02-29,8.0,15.7,3.0,0.0,1.2,6.5,7.2,1017.9,65,1023.1
60,2016-03-01,3.9,6.5,2.3,0.0,0.5,3.8,4.7,1021.8,58,1027.1
61,2016-03-02,6.8,12.2,2.1,,10.5,3.0,6.3,1022.3,65,1027.5
62,2016-03-03,11.0,17.6,3.5,,9.8,2.6,9.2,1021.5,70,1026.6
63,2016-03-04,15.9,21.6,11.0,,10.2,2.3,11.7,1021.5,66,1026.5
64,2016-03-05,17.5,22.4,11.6,,9.1,2.7,12.6,1019.4,64,1024.4
65,2016-03-06,19.5,24.4,16.3,0.0,2.7,2.3,15.7,1013.2,70,1018.2
66,2016-03-07,16.8,22.6,13.5,,10.5,2.8,16.2,1011.3,85,1016.2
67,2016-03-08,15.4,19.2,12.3,,9.5,2.2,15.4,1011.3,88,1016.4
68,2016-03-09,11.8,14.8,9.6,43.5,3.0,6.0,11.7,1006.2,84,1011.3
69,2016-03-10,10.3,13.0,8.4,0.0,0.0,4.2,9.0,1013.2,72,1018.3
70,2016-03-11,8.3,11.9,5.3,0.0,6.7,4.2,7.1,1015.6,65,1020.8
71,2016-03-12,7.5,12.0,3.8,,10.9,2.9,6.0,1017.9,59,1023.1
72,2016-03-13,7.9,11.1,4.2,8.5,0.0,3.4,8.9,1015.8,83,1021.0
73,2016-03-14,9.9,13.7,7.5,8.0,7.4,6.7,8.3,1009.8,70,1014.9
74,2016-03-15,9.7,14.6,6.1,,11.2,4.1,6.8,1016.5,58,1021.7
75,2016-03-16,11.4,17.5,6.1,0.0,3.9,2.5,9.4,1016.9,70,1022.1
76,2016-03-17,14.6,20.0,8.7,,10.3,2.3,11.7,1015.6,70,1020.7
77,2016-03-18,17.0,19.3,14.1,6.0,0.1,2.4,16.1,1007.7,83,1012.6
78,2016-03-19,15.6,18.2,11.3,0.0,1.7,2.6,16.0,1006.4,90,1011.4
79,2016-03-20,12.8,17.6,9.0,,11.0,4.3,9.5,1012.1,66,1017.2
80,2016-03-21,11.2,16.4,7.1,,11.3,4.5,7.3,1014.9,56,1020.0
81,2016-03-22,12.6,17.5,7.4,,11.2,2.7,10.9,1014.0,74,1019.1
82,2016-03-23,10.6,12.4,9.0,5.0,0.0,2.8,11.6,1011.1,90,1016.2
83,2016-03-24,11.4,15.7,8.0,,9.5,5.2,8.5,1012.3,64,1017.4
84,2016-03-25,9.4,14.1,5.3,,6.9,4.5,5.9,1016.1,51,1021.3
85,2016-03-26,10.8,15.9,5.4,0.0,9.7,3.4,7.0,1015.3,55,1020.4
86,2016-03-27,10.6,14.3,7.1,0.0,6.6,3.8,7.2,1015.6,57,1020.8
87,2016-03-28,11.0,16.6,5.2,0.0,11.7,2.9,8.1,1018.3,64,1023.4
88,2016-03-29,13.7,18.2,8.1,,4.9,2.6,9.8,1019.8,63,1024.9
89,2016-03-30,14.2,17.0,11.4,4.0,0.0,2.1,13.9,1017.0,85,1022.1
90,2016-03-31,13.6,15.7,11.6,11.5,0.0,2.8,15.2,1010.8,97,1015.9
91,2016-04-01,14.8,18.4,13.0,0.5,0.3,3.0,15.6,1007.1,93,1012.1
92,2016-04-02,16.9,22.4,11.9,,9.2,2.4,16.3,1013.9,85,1018.9
93,2016-04-03,18.0,23.2,14.9,4.0,0.1,1.9,17.6,1011.2,86,1016.1
94,2016-04-04,17.4,20.3,13.8,4.0,0.0,3.0,18.7,1004.8,93,1009.7
95,2016-04-05,15.3,19.1,12.4,,5.3,2.7,13.1,1010.8,77,1015.9
96,2016-04-06,17.2,22.6,11.5,1.0,0.5,2.6,15.0,1011.5,77,1016.5
97,2016-04-07,19.8,22.7,16.4,20.0,0.0,6.0,22.4,1005.8,96,1010.8
98,2016-04-08,16.7,19.9,14.0,0.0,2.1,2.2,16.6,1009.9,88,1014.9
99,2016-04-09,16.7,20.5,13.1,0.0,1.4,1.9,17.0,1009.5,90,1014.5
100,2016-04-10,15.9,18.8,14.4,3.5,0.1,1.8,16.2,1007.4,90,1012.4
101,2016-04-11,16.1,20.4,12.7,,7.8,3.7,13.4,1010.8,74,1015.8
102,2016-04-12,17.3,23.6,12.3,,10.9,2.9,12.3,1011.3,64,1016.3
103,2016-04-13,18.4,22.1,14.6,1.0,0.0,2.1,16.4,1003.3,77,1008.3
104,2016-04-14,18.3,23.2,16.2,0.0,7.8,3.7,18.4,1003.7,88,1008.7
105,2016-04-15,18.2,24.5,13.6,,11.4,2.7,13.3,1012.4,66,1017.3
106,2016-04-16,18.0,22.7,11.4,6.0,2.4,2.8,13.3,1009.9,65,1014.9
