Unnamed: 0,calendar_date,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,1.5,0.2,6.5
1,2016-01-02,6.5,4.4,5.0
2,2016-01-03,14.0,0.2,3.1
3,2016-01-04,24.5,0.3,4.4
4,2016-01-05,68.0,0.0,3.2
5,2016-01-06,21.5,1.1,6.1
6,2016-01-07,0.0,4.3,7.5
7,2016-01-08,52.0,0.0,8.3
8,2016-01-09,0.0,2.3,6.9
9,2016-01-10,3.5,2.1,4.8
10,2016-01-11,10.0,0.4,5.2
11,2016-01-12,0.0,1.5,7.4
12,2016-01-13,11.5,0.0,8.4
13,2016-01-14,2.0,0.0,7.8
14,2016-01-15,15.0,0.0,4.6
15,2016-01-16,60.0,0.0,4.6
16,2016-01-17,25.5,0.3,7.7
17,2016-01-18,2.0,5.3,7.7
18,2016-01-19,0.0,2.9,7.3
19,2016-01-20,1.0,0.5,6.9
20,2016-01-21,18.5,0.1,6.9
21,2016-01-22,1.0,1.5,5.0
22,2016-01-23,3.5,0.0,9.6
23,2016-01-24,0.0,0.0,11.7
24,2016-01-25,0.0,0.1,8.0
25,2016-01-26,0.0,9.6,4.3
26,2016-01-27,0.0,1.8,5.2
27,2016-01-28,0.0,0.8,6.4
28,2016-01-29,17.0,3.7,6.4
29,2016-01-30,19.0,0.1,5.9
30,2016-01-31,1.0,0.0,6.8
31,2016-02-01,6.5,0.0,8.1
32,2016-02-02,0.0,0.5,8.3
33,2016-02-03,0.0,0.9,6.9
34,2016-02-04,29.5,0.0,4.9
35,2016-02-05,20.5,0.6,8.9
36,2016-02-06,0.0,1.5,9.4
37,2016-02-07,0.0,5.0,7.1
38,2016-02-08,0.0,10.0,3.2
39,2016-02-09,0.0,10.2,2.0
40,2016-02-10,0.0,5.1,4.6
41,2016-02-11,0.0,4.4,7.6
42,2016-02-12,0.0,2.9,7.8
43,2016-02-13,0.0,6.7,6.2
44,2016-02-14,1.5,5.2,6.3
45,2016-02-15,0.0,0.0,9.2
46,2016-02-16,0.0,0.0,6.1
47,2016-02-17,0.0,0.0,6.2
48,2016-02-18,1.5,0.1,6.8
49,2016-02-19,13.5,1.1,6.7
50,2016-02-20,0.0,0.8,9.1
51,2016-02-21,0.0,5.5,6.6
52,2016-02-22,0.0,0.0,5.0
53,2016-02-23,12.0,0.0,6.8
54,2016-02-24,0.0,0.0,9.3
55,2016-02-25,0.0,0.0,7.9
56,2016-02-26,1.5,0.5,5.9
57,2016-02-27,12.5,0.2,5.0
58,2016-02-28,0.0,5.9,4.7
59,2016-02-29,0.0,5.9,7.5
60,2016-03-01,0.0,1.7,5.5
61,2016-03-02,0.0,5.6,3.4
62,2016-03-03,0.0,7.0,4.2
63,2016-03-04,1.0,0.4,4.5
64,2016-03-05,1.0,5.9,4.3
65,2016-03-06,0.5,5.0,2.2
66,2016-03-07,0.0,9.2,2.4
67,2016-03-08,0.0,6.3,4.5
68,2016-03-09,6.5,0.6,6.2
69,2016-03-10,6.0,0.0,8.1
70,2016-03-11,1.0,0.0,7.6
71,2016-03-12,1.5,0.0,6.0
72,2016-03-13,0.0,1.5,6.5
73,2016-03-14,40.5,0.0,7.6
74,2016-03-15,0.0,0.0,5.1
75,2016-03-16,0.0,0.3,3.2
76,2016-03-17,0.0,4.1,3.6
77,2016-03-18,0.0,2.0,5.9
78,2016-03-19,0.0,2.5,5.2
79,2016-03-20,0.0,5.5,5.1
80,2016-03-21,0.0,0.7,3.6
81,2016-03-22,0.0,3.2,3.9
82,2016-03-23,2.5,1.8,2.8
83,2016-03-24,0.0,0.0,8.2
84,2016-03-25,2.0,0.0,5.9
85,2016-03-26,0.5,4.4,7.2
86,2016-03-27,0.0,3.6,5.2
87,2016-03-28,0.0,10.6,4.3
88,2016-03-29,0.0,5.9,2.9
89,2016-03-30,0.0,8.4,3.1
90,2016-03-31,10.5,3.8,4.8
91,2016-04-01,0.0,6.5,5.0
92,2016-04-02,0.0,10.0,3.6
93,2016-04-03,0.0,1.6,3.7
94,2016-04-04,0.0,5.4,3.6
95,2016-04-05,0.0,7.0,2.4
96,2016-04-06,0.0,9.2,4.5
97,2016-04-07,0.0,7.1,4.5
98,2016-04-08,0.0,7.7,3.6
99,2016-04-09,0.0,7.9,3.3
100,2016-04-10,1.0,3.0,3.8
101,2016-04-11,0.5,0.0,3.7
102,2016-04-12,24.5,11.1,2.2
103,2016-04-13,16.5,2.2,5.2
104,2016-04-14,0.0,2.3,4.4
105,2016-04-15,3.0,0.3,5.9
106,2016-04-16,0.0,5.1,5.4
107,2016-04-17,0.0,5.6,4.7
108,2016-04-18,0.0,4.3,5.7
109,2016-04-19,0.0,1.6,5.8
110,2016-04-20,0.0,2.7,5.1
111,2016-04-21,0.0,6.5,5.0
112,2016-04-22,0.0,8.4,4.3
113,2016-04-23,0.0,9.1,5.6
114,2016-04-24,48.0,1.7,5.0
115,2016-04-25,0.0,5.3,3.7
116,2016-04-26,11.5,4.5,4.9
117,2016-04-27,78.5,1.9,4.7
118,2016-04-28,0.5,1.1,5.6
119,2016-04-29,0.0,7.6,5.0
120,2016-04-30,0.0,6.7,3.1
121,2016-05-01,0.0,0.0,3.5
122,2016-05-02,0.5,3.6,4.9
123,2016-05-03,0.0,5.8,5.7
124,2016-05-04,0.0,4.6,5.5
125,2016-05-05,0.0,5.0,5.0
126,2016-05-06,0.0,10.1,4.9
127,2016-05-07,0.0,11.5,3.9
128,2016-05-08,0.0,10.8,3.6
129,2016-05-09,0.0,6.3,4.4
130,2016-05-10,0.0,6.5,6.6
131,2016-05-11,12.5,1.2,5.6
132,2016-05-12,0.0,3.4,3.7
133,2016-05-13,0.0,8.1,4.0
134,2016-05-14,0.5,7.9,3.4
135,2016-05-15,0.5,11.4,3.3
136,2016-05-16,3.5,2.1,5.6
137,2016-05-17,1.5,0.0,6.0
