Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight
0,2016-01-01,1.0,5.6,-4.6,8.0
1,2016-01-02,3.8,10.4,-3.3,5.0
2,2016-01-03,7.7,13.6,1.3,6.8
3,2016-01-04,8.3,14.4,1.9,6.2
4,2016-01-05,5.3,10.3,1.3,6.3
5,2016-01-06,2.6,6.3,0.0,0.5
6,2016-01-07,2.3,5.5,-1.4,5.9
7,2016-01-08,1.2,8.4,-4.6,6.7
8,2016-01-09,1.1,5.8,-2.0,6.1
9,2016-01-10,2.0,7.2,-3.0,4.3
10,2016-01-11,0.1,3.2,-2.2,7.8
11,2016-01-12,-0.8,2.9,-5.1,1.0
12,2016-01-13,-1.8,5.9,-8.1,7.3
13,2016-01-14,0.2,6.4,-5.8,6.8
14,2016-01-15,-2.7,0.3,-7.6,1.0
15,2016-01-16,-2.4,3.6,-8.2,3.2
16,2016-01-17,-1.4,4.4,-7.6,5.0
17,2016-01-18,0.9,3.1,-1.0,0.0
18,2016-01-19,0.6,3.6,-4.5,8.3
19,2016-01-20,-0.8,3.0,-4.1,5.4
20,2016-01-21,-1.4,2.2,-8.2,6.1
21,2016-01-22,-0.5,2.3,-2.4,7.9
22,2016-01-23,-1.2,1.5,-2.9,1.2
23,2016-01-24,-2.1,2.0,-6.4,5.6
24,2016-01-25,-2.3,0.7,-7.9,8.3
25,2016-01-26,-1.7,5.5,-8.3,8.2
26,2016-01-27,1.8,6.7,-7.7,5.9
27,2016-01-28,3.7,8.3,-1.2,7.8
28,2016-01-29,-0.4,3.0,-2.8,0.0
29,2016-01-30,-1.3,1.5,-4.8,0.1
30,2016-01-31,-1.0,2.8,-7.6,7.0
31,2016-02-01,-1.2,2.0,-5.9,1.6
32,2016-02-02,-1.7,2.3,-7.6,6.2
33,2016-02-03,-1.8,3.7,-7.5,7.5
34,2016-02-04,-1.5,6.2,-10.6,7.7
35,2016-02-05,1.8,5.7,-1.8,7.8
36,2016-02-06,0.0,3.1,-2.6,1.1
37,2016-02-07,-2.6,1.1,-6.7,4.8
38,2016-02-08,-3.6,3.3,-10.7,3.3
39,2016-02-09,-0.2,7.8,-7.9,6.8
40,2016-02-10,-0.7,3.1,-4.1,8.3
41,2016-02-11,-2.0,4.3,-7.1,8.7
42,2016-02-12,1.4,9.8,-9.1,9.2
43,2016-02-13,9.0,17.8,2.6,4.6
44,2016-02-14,12.2,15.8,5.8,0.5
45,2016-02-15,1.1,6.0,-2.9,0.0
46,2016-02-16,-0.9,4.7,-5.5,6.7
47,2016-02-17,-1.0,6.4,-4.7,6.0
48,2016-02-18,1.3,8.4,-6.4,9.6
49,2016-02-19,4.0,11.5,-4.4,9.5
50,2016-02-20,4.4,10.3,-1.0,0.0
51,2016-02-21,5.1,8.6,0.9,6.9
52,2016-02-22,1.6,6.5,-1.5,6.3
53,2016-02-23,3.1,9.3,-0.6,4.7
54,2016-02-24,0.2,3.8,-3.0,5.6
55,2016-02-25,-2.0,2.8,-6.3,8.0
56,2016-02-26,0.3,5.4,-5.5,8.6
57,2016-02-27,2.3,8.1,-2.9,9.8
58,2016-02-28,3.2,8.5,1.2,4.1
59,2016-02-29,4.8,11.8,-2.5,0.4
60,2016-03-01,-1.4,1.6,-3.4,5.0
61,2016-03-02,-0.5,4.4,-5.8,3.3
62,2016-03-03,3.3,8.7,-3.8,4.3
63,2016-03-04,1.8,8.5,-2.9,8.2
64,2016-03-05,2.6,6.9,-3.1,0.2
65,2016-03-06,10.1,17.1,3.0,5.0
66,2016-03-07,12.9,15.9,10.0,0.0
67,2016-03-08,11.5,18.3,6.1,8.3
68,2016-03-09,2.7,9.1,-0.2,0.0
69,2016-03-10,0.7,4.0,-1.9,2.1
70,2016-03-11,-0.6,4.4,-4.1,3.7
71,2016-03-12,-0.5,3.8,-4.0,3.2
72,2016-03-13,2.1,6.7,-1.8,2.8
73,2016-03-14,1.9,4.2,0.5,0.0
74,2016-03-15,2.2,6.7,-1.9,7.0
75,2016-03-16,5.1,11.8,-3.0,7.9
76,2016-03-17,9.4,16.9,0.6,10.5
77,2016-03-18,10.8,20.2,-1.2,8.0
78,2016-03-19,12.0,17.8,8.3,2.1
79,2016-03-20,5.9,12.1,-1.1,5.5
80,2016-03-21,3.2,8.6,-2.3,7.0
81,2016-03-22,5.0,13.4,-2.7,9.7
82,2016-03-23,5.7,8.8,0.5,1.1
83,2016-03-24,1.7,6.6,-2.9,1.6
84,2016-03-25,0.4,7.8,-5.2,5.7
85,2016-03-26,2.9,9.8,-3.0,8.3
86,2016-03-27,3.0,10.7,-5.0,6.8
87,2016-03-28,5.3,13.5,-0.8,3.9
