,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
0,2016-01-01,-4.0,1.1,-9.4,,8.5,0.0,,2.8,2.9,1014.3,65.0,1019.4,1.0
1,2016-01-02,-3.0,2.9,-9.0,0.0,2.2,1.0,1.0,4.4,4.2,1006.9,82.0,1012.0,8.8
2,2016-01-03,1.4,2.3,0.0,,8.2,0.0,,9.8,3.4,1005.7,50.0,1010.7,3.3
3,2016-01-04,-0.6,1.9,-4.0,,5.9,,,6.4,2.8,1005.4,49.0,1010.4,4.3
4,2016-01-05,-3.4,-0.3,-9.6,,8.4,,,8.3,2.4,1006.4,51.0,1011.4,2.0
5,2016-01-06,-3.9,1.2,-12.8,,8.7,,,5.8,2.5,1006.3,55.0,1011.4,2.8
6,2016-01-07,-2.4,1.0,-8.5,,8.1,,,7.2,2.6,1001.8,52.0,1006.8,3.0
7,2016-01-08,-3.8,1.8,-12.1,,8.6,,,5.2,2.4,1003.2,55.0,1008.3,0.3
8,2016-01-09,-3.4,0.1,-8.8,,9.0,,,7.0,2.4,1007.5,52.0,1012.5,0.3
9,2016-01-10,-3.7,2.0,-10.2,,4.6,,,5.8,2.3,1005.1,50.0,1010.1,4.5
10,2016-01-11,-6.3,-2.2,-10.7,,7.6,,,5.4,1.9,1007.9,52.0,1013.0,1.0
11,2016-01-12,-7.4,-2.4,-14.8,,8.8,,,4.9,1.8,1006.1,54.0,1011.3,1.3
12,2016-01-13,-6.6,-0.8,-14.3,,8.9,,,3.3,2.1,1005.9,57.0,1011.1,4.8
13,2016-01-14,-4.0,0.3,-8.2,4.5,6.2,6.0,7.0,5.8,3.1,1002.6,70.0,1007.7,5.0
14,2016-01-15,-7.0,-4.0,-11.7,0.0,1.3,4.0,,4.2,2.7,1010.8,75.0,1015.9,7.0
15,2016-01-16,-7.4,-1.1,-13.0,0.0,8.5,3.0,,3.8,2.6,1011.1,73.0,1016.2,1.8
16,2016-01-17,-7.8,-1.0,-15.3,,9.2,3.0,,3.5,2.2,1016.9,67.0,1022.1,1.3
17,2016-01-18,-6.8,-1.9,-13.8,3.5,1.2,11.0,9.0,6.6,3.0,1014.8,79.0,1020.0,9.0
18,2016-01-19,-0.8,0.9,-2.8,24.0,0.0,30.0,12.0,12.5,4.9,988.8,86.0,993.7,10.0
19,2016-01-20,0.1,1.8,-1.5,0.0,2.0,27.0,,9.2,4.4,994.1,72.0,999.1,9.5
20,2016-01-21,-2.1,-0.8,-3.6,,2.6,24.0,,7.8,3.0,1004.9,57.0,1009.9,9.8
21,2016-01-22,-1.8,1.1,-7.6,0.0,3.3,22.0,,4.0,3.4,1006.4,64.0,1011.5,8.5
22,2016-01-23,-1.6,-0.1,-5.7,0.5,3.9,21.0,,4.3,3.9,1008.0,72.0,1013.1,9.5
23,2016-01-24,-6.7,-2.3,-10.5,0.0,4.9,20.0,,6.0,2.9,998.9,77.0,1004.0,5.0
24,2016-01-25,-8.2,-4.0,-14.0,,9.2,19.0,,4.7,1.8,1005.2,56.0,1010.4,2.5
25,2016-01-26,-6.4,1.6,-17.4,,9.4,19.0,,5.2,3.1,1010.9,74.0,1016.0,0.8
26,2016-01-27,-2.6,3.4,-9.3,,9.3,18.0,,6.5,2.9,1010.4,60.0,1015.5,4.0
27,2016-01-28,-2.5,1.1,-9.1,0.5,8.7,18.0,,8.7,2.6,1014.5,51.0,1019.6,0.5
28,2016-01-29,-8.6,-2.0,-15.4,,8.6,18.0,,3.8,1.9,1019.5,63.0,1024.8,4.5
