Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,0.6,4.9,-2.9,4.3,935.5,69,1027.9
1,2016-01-02,2.0,8.5,-4.2,4.4,932.9,64,1024.6
2,2016-01-03,3.9,13.2,-2.5,5.0,928.6,65,1019.2
3,2016-01-04,5.3,14.2,-2.6,5.0,926.5,60,1016.4
4,2016-01-05,5.2,10.6,-0.6,4.7,928.3,55,1018.4
5,2016-01-06,4.2,9.4,0.9,4.9,927.0,62,1017.3
6,2016-01-07,1.1,4.5,-2.1,5.2,924.0,78,1015.1
7,2016-01-08,1.5,6.4,-3.5,4.1,924.2,62,1015.2
8,2016-01-09,1.8,6.3,-1.9,4.4,927.2,64,1018.4
9,2016-01-10,1.6,7.5,-4.2,3.9,928.1,58,1019.4
10,2016-01-11,0.3,5.2,-2.3,4.5,927.3,72,1019.0
11,2016-01-12,-1.3,1.4,-4.4,3.9,924.4,71,1016.4
12,2016-01-13,-0.8,5.1,-6.8,3.1,922.9,58,1014.5
13,2016-01-14,0.7,5.4,-4.0,3.7,923.2,59,1014.4
14,2016-01-15,0.6,6.0,-3.4,3.9,925.6,63,1017.1
15,2016-01-16,-1.0,5.0,-6.0,3.7,928.3,66,1020.5
16,2016-01-17,-1.2,2.9,-6.6,3.8,929.8,70,1022.3
17,2016-01-18,1.1,3.5,-0.9,5.9,911.1,90,1000.9
18,2016-01-19,-2.4,2.2,-5.3,2.7,912.8,52,1004.1
19,2016-01-20,-3.7,0.9,-7.3,3.6,920.8,77,1013.3
20,2016-01-21,-4.6,0.6,-10.6,3.2,927.7,73,1021.3
21,2016-01-22,-3.0,1.5,-7.7,3.3,929.4,68,1022.5
22,2016-01-23,-3.6,-0.9,-6.6,3.8,926.3,81,1019.3
23,2016-01-24,-4.8,-1.7,-9.0,2.5,916.4,57,1008.9
24,2016-01-25,-6.6,0.4,-13.0,2.1,926.5,58,1020.7
25,2016-01-26,-5.2,2.5,-12.3,2.6,932.0,64,1026.2
26,2016-01-27,-1.8,6.4,-9.3,3.4,934.2,67,1027.4
27,2016-01-28,0.1,7.5,-7.4,3.9,935.7,66,1028.3
28,2016-01-29,1.2,2.6,0.2,6.4,931.3,97,1023.0
29,2016-01-30,0.1,2.0,-1.3,5.6,928.3,90,1020.2
30,2016-01-31,0.3,3.9,-3.5,4.7,930.2,75,1022.2
31,2016-02-01,-1.3,1.9,-3.2,4.5,929.0,81,1021.5
32,2016-02-02,-2.6,2.1,-5.9,3.8,928.0,75,1020.8
33,2016-02-03,-3.4,0.7,-7.7,3.3,930.4,69,1023.7
34,2016-02-04,-2.2,4.2,-9.0,3.2,929.1,64,1021.9
35,2016-02-05,-0.4,4.4,-5.4,3.8,925.9,66,1017.7
