Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,1.8,5.7,-2.1,5.4,4.5,5.1,1019.2,74,1024.7
1,2016-01-02,7.3,11.1,0.4,2.0,5.0,7.0,1013.6,69,1018.9
2,2016-01-03,8.4,11.9,5.4,5.8,3.0,8.1,1010.4,74,1015.6
3,2016-01-04,6.4,11.6,3.2,3.3,4.6,7.2,1007.8,74,1013.1
4,2016-01-05,3.2,6.2,-0.2,7.5,5.8,5.4,1012.2,70,1017.5
5,2016-01-06,3.0,6.3,0.1,3.2,4.0,5.2,1012.0,68,1017.4
6,2016-01-07,2.2,5.2,0.4,6.8,5.0,5.1,1007.3,72,1012.7
7,2016-01-08,3.2,6.7,0.3,4.7,3.5,4.7,1008.4,62,1013.8
8,2016-01-09,1.6,5.0,-1.5,8.1,4.0,4.9,1012.6,73,1018.0
9,2016-01-10,2.2,6.6,-0.6,3.4,4.4,5.2,1010.5,74,1015.9
10,2016-01-11,-0.1,2.9,-2.0,7.2,5.2,4.3,1013.3,72,1018.8
11,2016-01-12,-0.4,2.8,-2.2,2.4,4.5,4.4,1010.2,74,1015.7
12,2016-01-13,2.4,6.7,-2.3,6.8,4.0,5.0,1007.5,70,1012.8
13,2016-01-14,1.4,5.0,-2.3,8.2,5.1,4.7,1007.6,69,1013.0
14,2016-01-15,-0.7,4.1,-3.2,5.7,3.0,3.9,1013.2,69,1018.6
15,2016-01-16,-1.7,2.7,-4.4,2.8,3.6,4.3,1014.9,81,1020.4
16,2016-01-17,0.9,4.9,-2.7,4.5,3.6,4.4,1018.0,69,1023.4
17,2016-01-18,1.5,4.7,-1.6,0.0,7.5,6.2,998.0,91,1003.3
18,2016-01-19,1.0,2.5,-0.3,0.1,4.6,5.7,992.4,87,997.7
19,2016-01-20,0.6,4.6,-2.7,8.7,4.6,5.0,1000.6,79,1005.9
20,2016-01-21,0.7,4.0,-1.9,4.2,4.5,4.8,1011.0,76,1016.4
21,2016-01-22,0.1,3.4,-2.2,8.2,5.1,4.6,1013.4,74,1018.8
22,2016-01-23,0.0,2.6,-2.4,0.2,3.5,4.1,1012.5,68,1017.9
23,2016-01-24,-1.9,1.3,-3.6,5.3,4.8,4.3,997.8,82,1003.2
24,2016-01-25,-0.9,1.8,-3.2,6.7,4.0,4.3,1008.8,76,1014.2
25,2016-01-26,2.8,6.3,-1.6,6.4,2.5,5.0,1016.1,67,1021.5
26,2016-01-27,3.9,7.0,0.7,1.5,5.0,5.9,1016.6,73,1021.9
27,2016-01-28,3.6,7.4,0.2,6.7,4.6,5.7,1020.1,73,1025.5
28,2016-01-29,0.7,2.6,-1.7,0.0,3.7,3.9,1021.3,62,1026.8
29,2016-01-30,-1.7,0.3,-3.0,0.6,3.8,5.0,1016.8,92,1022.3
30,2016-01-31,0.0,4.0,-3.0,7.5,4.6,4.7,1015.5,78,1021.0
31,2016-02-01,-0.4,1.9,-1.9,6.2,3.9,4.2,1015.5,71,1020.9
32,2016-02-02,-0.3,3.2,-2.9,3.1,4.7,4.4,1012.6,75,1018.1
33,2016-02-03,0.2,4.6,-4.2,8.9,3.5,4.2,1016.6,68,1022.1
34,2016-02-04,1.7,6.3,-3.4,7.6,2.7,5.2,1013.8,76,1019.3
35,2016-02-05,2.9,6.5,0.1,7.7,4.9,5.1,1011.0,68,1016.4
36,2016-02-06,0.9,4.6,-2.2,2.2,3.3,4.6,1009.7,71,1015.1
37,2016-02-07,-1.4,2.4,-4.3,6.3,5.1,3.6,1011.8,66,1017.2
38,2016-02-08,1.7,4.8,-3.9,10.1,3.1,4.3,1013.6,62,1019.0
39,2016-02-09,3.5,7.8,-0.2,4.5,3.8,5.6,1003.1,72,1008.4
40,2016-02-10,0.6,3.8,-1.2,7.7,9.3,4.4,1011.6,70,1017.1
41,2016-02-11,1.0,6.1,-2.5,5.7,3.7,3.9,1025.1,61,1030.6
42,2016-02-12,2.1,6.6,-4.7,9.9,2.7,5.6,1025.3,77,1030.8
43,2016-02-13,6.9,13.8,1.7,4.3,2.4,8.1,1013.1,81,1018.4
44,2016-02-14,10.8,15.3,7.2,0.4,5.3,11.3,993.0,87,998.1
45,2016-02-15,1.9,7.7,-2.8,2.0,7.7,4.5,998.9,63,1004.3
46,2016-02-16,1.0,5.2,-3.3,8.1,4.5,4.2,1005.8,65,1011.1
47,2016-02-17,0.6,4.3,-1.9,6.7,5.4,4.8,1009.4,76,1014.9
48,2016-02-18,3.7,8.3,-2.8,9.8,5.1,5.7,1018.3,70,1023.7
49,2016-02-19,6.5,12.4,0.8,9.6,3.9,6.4,1018.7,67,1024.0
50,2016-02-20,6.9,9.7,4.1,0.0,3.2,8.3,1015.9,83,1021.2
51,2016-02-21,5.4,10.0,1.3,5.3,7.7,6.7,1007.3,75,1012.6
52,2016-02-22,2.0,5.9,-0.4,2.8,4.9,4.0,1024.2,57,1029.6
53,2016-02-23,3.9,8.1,-0.9,5.2,3.6,6.4,1015.9,78,1021.3
54,2016-02-24,0.1,4.1,-3.5,2.6,5.3,3.9,1018.4,63,1023.9
55,2016-02-25,-0.6,4.3,-4.2,9.7,3.7,3.6,1020.7,63,1026.2
56,2016-02-26,0.9,5.3,-2.7,6.3,3.7,4.2,1018.8,65,1024.3
57,2016-02-27,3.2,6.5,-1.9,7.1,4.6,5.1,1019.5,67,1024.9
58,2016-02-28,3.6,8.4,-0.7,7.6,4.0,5.5,1021.5,70,1026.9
59,2016-02-29,5.6,8.3,0.9,0.0,6.5,7.0,1004.6,74,1009.8
60,2016-03-01,-0.2,3.2,-2.6,7.9,7.0,4.4,1008.0,74,1013.4
61,2016-03-02,1.3,6.5,-3.6,7.8,4.5,4.5,1015.2,69,1020.6
62,2016-03-03,5.1,10.5,-1.0,3.9,6.9,5.5,1015.7,63,1021.1
63,2016-03-04,3.4,8.8,-1.7,5.6,2.8,4.8,1025.9,62,1031.3
64,2016-03-05,4.3,9.3,-2.1,7.3,3.9,6.2,1028.9,75,1034.3
65,2016-03-06,8.1,10.7,6.3,1.2,3.0,10.3,1020.2,95,1025.5
66,2016-03-07,9.7,13.4,7.1,0.0,3.4,11.2,1013.1,93,1018.4
67,2016-03-08,8.6,12.5,6.5,1.7,3.5,10.0,1008.7,89,1013.9
68,2016-03-09,4.3,6.7,2.7,0.0,5.4,4.2,1012.6,51,1017.9
69,2016-03-10,3.1,7.7,0.3,6.6,4.6,4.1,1013.7,55,1019.1
70,2016-03-11,2.1,8.3,-2.0,7.7,3.6,4.3,1014.4,62,1019.8
71,2016-03-12,2.3,7.9,-2.5,8.2,3.0,4.1,1019.2,59,1024.6
72,2016-03-13,3.4,6.7,-2.4,4.5,3.8,5.3,1020.1,67,1025.5
73,2016-03-14,5.1,7.3,3.2,0.0,2.1,8.0,1011.4,92,1016.8
74,2016-03-15,4.8,10.0,1.2,10.0,6.3,5.0,1009.5,60,1014.8
75,2016-03-16,7.0,10.4,2.7,6.8,4.7,6.8,1015.7,68,1021.0
76,2016-03-17,9.6,16.7,3.9,10.9,4.0,6.3,1016.1,54,1021.4
77,2016-03-18,10.0,14.3,2.9,7.4,3.2,9.2,1012.5,75,1017.8
78,2016-03-19,10.7,15.0,7.8,0.4,3.8,10.9,1002.3,85,1007.5
79,2016-03-20,7.2,11.0,3.4,1.3,5.5,6.2,1007.5,61,1012.7
80,2016-03-21,5.1,9.6,1.2,10.0,5.3,4.3,1012.7,50,1018.0
81,2016-03-22,7.5,11.3,3.0,4.0,5.1,6.6,1008.5,63,1013.7
82,2016-03-23,6.5,10.8,2.6,9.3,6.3,5.0,1009.5,53,1014.8
83,2016-03-24,4.5,9.6,0.0,5.8,4.1,4.2,1011.1,51,1016.4
84,2016-03-25,3.7,9.7,-1.0,7.6,5.0,4.6,1012.6,59,1018.0
85,2016-03-26,5.5,10.8,0.9,8.9,4.0,5.0,1015.1,58,1020.5
86,2016-03-27,5.7,10.5,-2.0,11.2,3.8,6.7,1015.0,72,1020.3
87,2016-03-28,7.7,15.8,1.6,9.6,3.4,7.6,1014.6,75,1019.9
88,2016-03-29,7.8,13.6,2.0,11.4,4.4,7.5,1018.2,71,1023.6
89,2016-03-30,10.2,14.9,6.1,9.3,3.8,10.0,1013.0,81,1018.3
90,2016-03-31,10.3,15.9,2.9,11.6,5.2,5.4,1012.9,46,1018.1
91,2016-04-01,7.3,12.6,1.8,10.4,5.0,6.4,1018.7,64,1024.0
92,2016-04-02,7.7,9.3,5.2,0.0,4.1,8.1,1022.5,76,1027.8
93,2016-04-03,11.5,14.6,9.2,3.1,4.1,11.7,1015.7,86,1020.9
94,2016-04-04,7.9,12.2,5.5,0.0,4.6,9.8,1005.3,92,1010.6
95,2016-04-05,7.4,11.8,2.8,10.4,3.3,7.0,1008.5,70,1013.7
96,2016-04-06,11.1,17.1,5.2,11.9,4.4,5.5,1013.6,45,1018.8
97,2016-04-07,10.0,11.8,5.7,0.0,5.5,11.1,1006.3,89,1011.5
98,2016-04-08,11.9,15.6,8.1,2.5,5.9,9.8,1003.6,71,1008.7
99,2016-04-09,12.2,17.8,6.9,10.6,3.8,9.9,1006.6,70,1011.8
100,2016-04-10,9.3,12.0,6.9,5.0,5.0,7.7,1005.6,67,1010.8
101,2016-04-11,4.8,9.8,1.4,5.5,6.6,5.6,1008.7,67,1014.0
