,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
0,2016-01-01,3.5,7.3,0.2,0.0,5.2,8.17,,,3.0,4.9,1016.7,63.0,1025.5,4.3
1,2016-01-02,6.1,12.5,-0.9,0.0,4.1,9.0,,,2.2,6.5,1011.3,69.0,1019.8,7.8
2,2016-01-03,7.3,11.5,4.1,0.0,0.6,3.98,,,1.1,8.6,1007.6,84.0,1016.1,7.5
3,2016-01-04,8.2,15.9,4.5,0.0,3.5,6.26,,,2.3,7.8,1004.7,73.0,1013.2,8.0
4,2016-01-05,5.9,7.4,3.6,0.0,2.1,6.34,,,2.5,5.7,1009.1,61.0,1017.7,10.0
5,2016-01-06,5.1,7.3,3.2,0.0,1.1,5.39,,,1.8,5.5,1008.9,63.0,1017.5,8.0
6,2016-01-07,3.7,5.9,1.9,0.0,1.0,3.82,,,3.2,5.5,1004.7,69.0,1013.3,6.0
7,2016-01-08,4.0,7.5,0.3,0.0,4.5,7.01,,,1.3,5.6,1005.4,69.0,1014.0,8.3
8,2016-01-09,3.0,5.2,-0.1,0.0,0.4,3.63,,,2.5,5.0,1009.7,67.0,1018.3,7.5
9,2016-01-10,4.8,8.4,0.0,0.0,3.1,6.91,,,2.5,5.7,1007.7,67.0,1016.3,8.3
10,2016-01-11,1.9,3.2,-0.5,0.0,0.3,3.55,,,3.5,4.3,1010.5,62.0,1019.2,6.5
11,2016-01-12,1.6,4.8,-0.6,0.0,4.3,6.84,,,3.9,4.1,1007.3,60.0,1016.0,6.0
12,2016-01-13,2.5,7.9,-1.1,0.0,5.8,9.12,,,1.3,4.2,1004.4,59.0,1013.0,7.5
13,2016-01-14,2.5,5.0,-0.9,0.5,1.6,5.0,2.0,2.0,2.4,4.9,1004.6,67.0,1013.2,8.0
14,2016-01-15,0.0,3.9,-3.0,3.0,4.6,8.92,6.0,4.0,1.2,4.7,1009.8,77.0,1018.6,5.8
15,2016-01-16,-0.4,3.8,-4.0,0.0,0.7,4.04,0.0,,2.2,4.2,1011.8,72.0,1020.6,6.8
16,2016-01-17,1.0,5.5,-3.8,0.5,4.3,7.05,1.0,1.0,1.7,4.5,1014.8,69.0,1023.6,7.5
17,2016-01-18,1.3,4.4,-0.5,57.0,0.0,0.92,22.0,21.0,2.3,6.0,995.0,90.0,1003.6,10.0
18,2016-01-19,3.4,6.4,0.7,0.0,6.3,10.15,7.0,,3.0,4.1,989.9,54.0,998.3,7.3
19,2016-01-20,1.3,5.7,-3.1,0.0,4.7,9.73,8.0,2.0,2.5,4.4,998.6,66.0,1007.3,7.3
20,2016-01-21,2.4,5.7,0.1,0.0,7.4,11.43,9.0,2.0,3.9,4.4,1008.1,61.0,1016.7,4.5
21,2016-01-22,1.1,4.4,-2.8,0.0,7.4,9.71,7.0,,2.9,4.0,1010.9,60.0,1019.7,2.0
22,2016-01-23,1.1,3.4,-0.8,0.0,0.7,5.85,6.0,1.0,2.6,4.1,1009.3,62.0,1018.0,10.0
